,entity,classes
0,2,"TimePeriod,Year"
1,420,"TimePeriod,Year"
2,1776,"TimePeriod,Year"
3,DBPEDIA_ID/2001_in_spaceflight,"TimePeriod,YearInSpaceflight"
4,DBPEDIA_ID/2002_in_spaceflight,"TimePeriod,YearInSpaceflight"
5,1909,"TimePeriod,Year"
6,1345,"TimePeriod,Year"
7,DBPEDIA_ID/2013_in_spaceflight,"TimePeriod,YearInSpaceflight"
8,DBPEDIA_ID/1993_in_spaceflight,"TimePeriod,YearInSpaceflight"
9,DBPEDIA_ID/Adam_Braz__1,"TimePeriod,CareerStation"
10,DBPEDIA_ID/Adam_Braz__2,"TimePeriod,CareerStation"
11,DBPEDIA_ID/Adam_Braz__3,"TimePeriod,CareerStation"
12,DBPEDIA_ID/Adam_Braz__4,"TimePeriod,CareerStation"
13,DBPEDIA_ID/Adam_Braz__5,"TimePeriod,CareerStation"
14,DBPEDIA_ID/Adam_Braz__6,"TimePeriod,CareerStation"
15,DBPEDIA_ID/Adam_Braz__7,"TimePeriod,CareerStation"
16,DBPEDIA_ID/Adam_El-Abd__1,"TimePeriod,CareerStation"
17,DBPEDIA_ID/Adam_El-Abd__2,"TimePeriod,CareerStation"
18,DBPEDIA_ID/Adam_El-Abd__3,"TimePeriod,CareerStation"
19,DBPEDIA_ID/Adam_El-Abd__4,"TimePeriod,CareerStation"
20,DBPEDIA_ID/Adam_El-Abd__5,"TimePeriod,CareerStation"
21,DBPEDIA_ID/Adam_El-Abd__6,"TimePeriod,CareerStation"
22,DBPEDIA_ID/Adam_El-Abd__7,"TimePeriod,CareerStation"
23,DBPEDIA_ID/Adam_El-Abd__8,"TimePeriod,CareerStation"
24,DBPEDIA_ID/Ahmed_Shafik__1,TimePeriod
25,DBPEDIA_ID/Ahmed_Shafik__2,TimePeriod
26,DBPEDIA_ID/Ahmed_Shafik__3,TimePeriod
27,DBPEDIA_ID/Aitor_Karanka__10,"TimePeriod,CareerStation"
28,DBPEDIA_ID/Aitor_Karanka__11,"TimePeriod,CareerStation"
29,DBPEDIA_ID/Aitor_Karanka__12,"TimePeriod,CareerStation"
30,DBPEDIA_ID/Aitor_Karanka__13,"TimePeriod,CareerStation"
31,DBPEDIA_ID/Aitor_Karanka__14,"TimePeriod,CareerStation"
32,DBPEDIA_ID/Aitor_Karanka__2,"TimePeriod,CareerStation"
33,DBPEDIA_ID/Aitor_Karanka__3,"TimePeriod,CareerStation"
34,DBPEDIA_ID/Aitor_Karanka__4,"TimePeriod,CareerStation"
35,DBPEDIA_ID/Aitor_Karanka__5,"TimePeriod,CareerStation"
36,DBPEDIA_ID/Aitor_Karanka__6,"TimePeriod,CareerStation"
37,DBPEDIA_ID/Aitor_Karanka__7,"TimePeriod,CareerStation"
38,DBPEDIA_ID/Aitor_Karanka__8,"TimePeriod,CareerStation"
39,DBPEDIA_ID/Aitor_Karanka__9,"TimePeriod,CareerStation"
40,DBPEDIA_ID/Al_Gore__1,TimePeriod
41,DBPEDIA_ID/Al_Gore__2,TimePeriod
42,DBPEDIA_ID/Al_Gore__3,TimePeriod
43,DBPEDIA_ID/Al_Gore__4,TimePeriod
44,DBPEDIA_ID/Alan_Tate__1,"TimePeriod,CareerStation"
45,DBPEDIA_ID/Alan_Tate__10,"TimePeriod,CareerStation"
46,DBPEDIA_ID/Alan_Tate__2,"TimePeriod,CareerStation"
47,DBPEDIA_ID/Alan_Tate__3,"TimePeriod,CareerStation"
48,DBPEDIA_ID/Alan_Tate__4,"TimePeriod,CareerStation"
49,DBPEDIA_ID/Alan_Tate__5,"TimePeriod,CareerStation"
50,DBPEDIA_ID/Alan_Tate__6,"TimePeriod,CareerStation"
51,DBPEDIA_ID/Alan_Tate__7,"TimePeriod,CareerStation"
52,DBPEDIA_ID/Alan_Tate__8,"TimePeriod,CareerStation"
53,DBPEDIA_ID/Alan_Tate__9,"TimePeriod,CareerStation"
54,DBPEDIA_ID/Aleksandr_Maslov__1,"TimePeriod,CareerStation"
55,DBPEDIA_ID/Aleksandr_Maslov__11,"TimePeriod,CareerStation"
56,DBPEDIA_ID/Aleksandr_Maslov__12,"TimePeriod,CareerStation"
57,DBPEDIA_ID/Aleksandr_Maslov__2,"TimePeriod,CareerStation"
58,DBPEDIA_ID/Aleksandr_Maslov__3,"TimePeriod,CareerStation"
59,DBPEDIA_ID/Aleksandr_Maslov__4,"TimePeriod,CareerStation"
60,DBPEDIA_ID/Aleksandr_Maslov__5,"TimePeriod,CareerStation"
61,DBPEDIA_ID/Aleksandr_Maslov__6,"TimePeriod,CareerStation"
62,DBPEDIA_ID/Aleksandr_Maslov__7,"TimePeriod,CareerStation"
63,DBPEDIA_ID/Aleksandr_Maslov__8,"TimePeriod,CareerStation"
64,DBPEDIA_ID/Aleksandr_Maslov__9,"TimePeriod,CareerStation"
65,DBPEDIA_ID/Alessandro_Gamberini__1,"TimePeriod,CareerStation"
66,DBPEDIA_ID/Alessandro_Gamberini__10,"TimePeriod,CareerStation"
67,DBPEDIA_ID/Alessandro_Gamberini__2,"TimePeriod,CareerStation"
68,DBPEDIA_ID/Alessandro_Gamberini__3,"TimePeriod,CareerStation"
69,DBPEDIA_ID/Alessandro_Gamberini__4,"TimePeriod,CareerStation"
70,DBPEDIA_ID/Alessandro_Gamberini__5,"TimePeriod,CareerStation"
71,DBPEDIA_ID/Alessandro_Gamberini__6,"TimePeriod,CareerStation"
72,DBPEDIA_ID/Alessandro_Gamberini__7,"TimePeriod,CareerStation"
73,DBPEDIA_ID/Alessandro_Gamberini__8,"TimePeriod,CareerStation"
74,DBPEDIA_ID/Alessandro_Gamberini__9,"TimePeriod,CareerStation"
75,DBPEDIA_ID/Alexander_Buckner__1,TimePeriod
76,DBPEDIA_ID/Alva_M._Lumpkin__1,TimePeriod
77,DBPEDIA_ID/Alva_M._Lumpkin__2,TimePeriod
78,DBPEDIA_ID/Alva_M._Lumpkin__3,TimePeriod
79,DBPEDIA_ID/Alva_M._Lumpkin__4,TimePeriod
80,DBPEDIA_ID/Alva_M._Lumpkin__5,TimePeriod
81,DBPEDIA_ID/Alva_M._Lumpkin__6,TimePeriod
82,DBPEDIA_ID/Andrey_Tikhonov__1,"TimePeriod,CareerStation"
83,DBPEDIA_ID/Andrey_Tikhonov__10,"TimePeriod,CareerStation"
84,DBPEDIA_ID/Andrey_Tikhonov__11,"TimePeriod,CareerStation"
85,DBPEDIA_ID/Andrey_Tikhonov__12,"TimePeriod,CareerStation"
86,DBPEDIA_ID/Andrey_Tikhonov__13,"TimePeriod,CareerStation"
87,DBPEDIA_ID/Andrey_Tikhonov__14,"TimePeriod,CareerStation"
88,DBPEDIA_ID/Andrey_Tikhonov__2,"TimePeriod,CareerStation"
89,DBPEDIA_ID/Andrey_Tikhonov__3,"TimePeriod,CareerStation"
90,DBPEDIA_ID/Andrey_Tikhonov__4,"TimePeriod,CareerStation"
91,DBPEDIA_ID/Andrey_Tikhonov__5,"TimePeriod,CareerStation"
92,DBPEDIA_ID/Andrey_Tikhonov__6,"TimePeriod,CareerStation"
93,DBPEDIA_ID/Andrey_Tikhonov__7,"TimePeriod,CareerStation"
94,DBPEDIA_ID/Andrey_Tikhonov__8,"TimePeriod,CareerStation"
95,DBPEDIA_ID/Andrey_Tikhonov__9,"TimePeriod,CareerStation"
96,DBPEDIA_ID/Andy_Preece__10,"TimePeriod,CareerStation"
97,DBPEDIA_ID/Andy_Preece__11,"TimePeriod,CareerStation"
98,DBPEDIA_ID/Andy_Preece__12,"TimePeriod,CareerStation"
99,DBPEDIA_ID/Andy_Preece__13,"TimePeriod,CareerStation"
100,DBPEDIA_ID/Andy_Preece__15,"TimePeriod,CareerStation"
101,DBPEDIA_ID/Andy_Preece__16,"TimePeriod,CareerStation"
102,DBPEDIA_ID/Andy_Preece__17,"TimePeriod,CareerStation"
103,DBPEDIA_ID/Andy_Preece__18,"TimePeriod,CareerStation"
104,DBPEDIA_ID/Andy_Preece__2,"TimePeriod,CareerStation"
105,DBPEDIA_ID/Andy_Preece__3,"TimePeriod,CareerStation"
106,DBPEDIA_ID/Andy_Preece__4,"TimePeriod,CareerStation"
107,DBPEDIA_ID/Andy_Preece__5,"TimePeriod,CareerStation"
108,DBPEDIA_ID/Andy_Preece__6,"TimePeriod,CareerStation"
109,DBPEDIA_ID/Andy_Preece__7,"TimePeriod,CareerStation"
110,DBPEDIA_ID/Andy_Preece__8,"TimePeriod,CareerStation"
111,DBPEDIA_ID/Andy_Preece__9,"TimePeriod,CareerStation"
112,DBPEDIA_ID/Antonio_Lang__1,TimePeriod
113,DBPEDIA_ID/Antonio_Lang__10,TimePeriod
114,DBPEDIA_ID/Antonio_Lang__2,TimePeriod
115,DBPEDIA_ID/Antonio_Lang__3,TimePeriod
116,DBPEDIA_ID/Antonio_Lang__4,TimePeriod
117,DBPEDIA_ID/Antonio_Lang__5,TimePeriod
118,DBPEDIA_ID/Antonio_Lang__6,TimePeriod
119,DBPEDIA_ID/Antonio_Lang__7,TimePeriod
120,DBPEDIA_ID/Antonio_Lang__8,TimePeriod
121,DBPEDIA_ID/Antonio_Lang__9,TimePeriod
122,DBPEDIA_ID/Antonio_de_Nigris__1,"TimePeriod,CareerStation"
123,DBPEDIA_ID/Antonio_de_Nigris__10,"TimePeriod,CareerStation"
124,DBPEDIA_ID/Antonio_de_Nigris__11,"TimePeriod,CareerStation"
125,DBPEDIA_ID/Antonio_de_Nigris__12,"TimePeriod,CareerStation"
126,DBPEDIA_ID/Antonio_de_Nigris__13,"TimePeriod,CareerStation"
127,DBPEDIA_ID/Antonio_de_Nigris__14,"TimePeriod,CareerStation"
128,DBPEDIA_ID/Antonio_de_Nigris__15,"TimePeriod,CareerStation"
129,DBPEDIA_ID/Antonio_de_Nigris__2,"TimePeriod,CareerStation"
130,DBPEDIA_ID/Antonio_de_Nigris__3,"TimePeriod,CareerStation"
131,DBPEDIA_ID/Antonio_de_Nigris__4,"TimePeriod,CareerStation"
132,DBPEDIA_ID/Antonio_de_Nigris__5,"TimePeriod,CareerStation"
133,DBPEDIA_ID/Antonio_de_Nigris__6,"TimePeriod,CareerStation"
134,DBPEDIA_ID/Antonio_de_Nigris__7,"TimePeriod,CareerStation"
135,DBPEDIA_ID/Antonio_de_Nigris__8,"TimePeriod,CareerStation"
136,DBPEDIA_ID/Antonio_de_Nigris__9,"TimePeriod,CareerStation"
137,DBPEDIA_ID/Asbury_Latimer__1,TimePeriod
138,DBPEDIA_ID/Asbury_Latimer__2,TimePeriod
139,DBPEDIA_ID/Bob_Rule__1,TimePeriod
140,DBPEDIA_ID/Bob_Rule__2,TimePeriod
141,DBPEDIA_ID/Bob_Rule__3,TimePeriod
142,DBPEDIA_ID/Bob_Rule__4,TimePeriod
143,DBPEDIA_ID/Boban_Babunski__10,"TimePeriod,CareerStation"
144,DBPEDIA_ID/Boban_Babunski__11,"TimePeriod,CareerStation"
145,DBPEDIA_ID/Boban_Babunski__12,"TimePeriod,CareerStation"
146,DBPEDIA_ID/Boban_Babunski__13,"TimePeriod,CareerStation"
147,DBPEDIA_ID/Boban_Babunski__14,"TimePeriod,CareerStation"
148,DBPEDIA_ID/Boban_Babunski__15,"TimePeriod,CareerStation"
149,DBPEDIA_ID/Boban_Babunski__16,"TimePeriod,CareerStation"
150,DBPEDIA_ID/Boban_Babunski__17,"TimePeriod,CareerStation"
151,DBPEDIA_ID/Boban_Babunski__18,"TimePeriod,CareerStation"
152,DBPEDIA_ID/Boban_Babunski__19,"TimePeriod,CareerStation"
153,DBPEDIA_ID/Boban_Babunski__2,"TimePeriod,CareerStation"
154,DBPEDIA_ID/Boban_Babunski__20,"TimePeriod,CareerStation"
155,DBPEDIA_ID/Boban_Babunski__3,"TimePeriod,CareerStation"
156,DBPEDIA_ID/Boban_Babunski__4,"TimePeriod,CareerStation"
157,DBPEDIA_ID/Boban_Babunski__5,"TimePeriod,CareerStation"
158,DBPEDIA_ID/Boban_Babunski__6,"TimePeriod,CareerStation"
159,DBPEDIA_ID/Boban_Babunski__7,"TimePeriod,CareerStation"
160,DBPEDIA_ID/Boban_Babunski__8,"TimePeriod,CareerStation"
161,DBPEDIA_ID/Boban_Babunski__9,"TimePeriod,CareerStation"
162,DBPEDIA_ID/Bolesław_Habowski__2,"TimePeriod,CareerStation"
163,DBPEDIA_ID/Bolesław_Habowski__3,"TimePeriod,CareerStation"
164,DBPEDIA_ID/Bolesław_Habowski__4,"TimePeriod,CareerStation"
165,DBPEDIA_ID/Bolesław_Habowski__5,"TimePeriod,CareerStation"
166,DBPEDIA_ID/Bolesław_Habowski__6,"TimePeriod,CareerStation"
167,DBPEDIA_ID/Bolesław_Habowski__7,"TimePeriod,CareerStation"
168,DBPEDIA_ID/Bruno_Labbadia__1,"TimePeriod,CareerStation"
169,DBPEDIA_ID/Bruno_Labbadia__10,"TimePeriod,CareerStation"
170,DBPEDIA_ID/Bruno_Labbadia__11,"TimePeriod,CareerStation"
171,DBPEDIA_ID/Bruno_Labbadia__12,"TimePeriod,CareerStation"
172,DBPEDIA_ID/Bruno_Labbadia__13,"TimePeriod,CareerStation"
173,DBPEDIA_ID/Bruno_Labbadia__14,"TimePeriod,CareerStation"
174,DBPEDIA_ID/Bruno_Labbadia__15,"TimePeriod,CareerStation"
175,DBPEDIA_ID/Bruno_Labbadia__16,"TimePeriod,CareerStation"
176,DBPEDIA_ID/Bruno_Labbadia__17,"TimePeriod,CareerStation"
177,DBPEDIA_ID/Bruno_Labbadia__18,"TimePeriod,CareerStation"
178,DBPEDIA_ID/Bruno_Labbadia__19,"TimePeriod,CareerStation"
179,DBPEDIA_ID/Bruno_Labbadia__2,"TimePeriod,CareerStation"
180,DBPEDIA_ID/Bruno_Labbadia__3,"TimePeriod,CareerStation"
181,DBPEDIA_ID/Bruno_Labbadia__4,"TimePeriod,CareerStation"
182,DBPEDIA_ID/Bruno_Labbadia__5,"TimePeriod,CareerStation"
183,DBPEDIA_ID/Bruno_Labbadia__6,"TimePeriod,CareerStation"
184,DBPEDIA_ID/Bruno_Labbadia__7,"TimePeriod,CareerStation"
185,DBPEDIA_ID/Bruno_Labbadia__8,"TimePeriod,CareerStation"
186,DBPEDIA_ID/Bruno_Labbadia__9,"TimePeriod,CareerStation"
187,DBPEDIA_ID/Cai_E__1,TimePeriod
188,DBPEDIA_ID/Cappie_Pondexter__1,TimePeriod
189,DBPEDIA_ID/Cappie_Pondexter__2,TimePeriod
190,DBPEDIA_ID/Cappie_Pondexter__3,TimePeriod
191,DBPEDIA_ID/Cappie_Pondexter__4,TimePeriod
192,DBPEDIA_ID/Cappie_Pondexter__5,TimePeriod
193,DBPEDIA_ID/Cappie_Pondexter__6,TimePeriod
194,DBPEDIA_ID/Cappie_Pondexter__7,TimePeriod
195,DBPEDIA_ID/Carlos_Bea__1,TimePeriod
196,DBPEDIA_ID/Carlos_Edwards__1,"TimePeriod,CareerStation"
197,DBPEDIA_ID/Carlos_Edwards__10,"TimePeriod,CareerStation"
198,DBPEDIA_ID/Carlos_Edwards__11,"TimePeriod,CareerStation"
199,DBPEDIA_ID/Carlos_Edwards__12,"TimePeriod,CareerStation"
200,DBPEDIA_ID/Carlos_Edwards__2,"TimePeriod,CareerStation"
201,DBPEDIA_ID/Carlos_Edwards__3,"TimePeriod,CareerStation"
202,DBPEDIA_ID/Carlos_Edwards__4,"TimePeriod,CareerStation"
203,DBPEDIA_ID/Carlos_Edwards__5,"TimePeriod,CareerStation"
204,DBPEDIA_ID/Carlos_Edwards__6,"TimePeriod,CareerStation"
205,DBPEDIA_ID/Carlos_Edwards__7,"TimePeriod,CareerStation"
206,DBPEDIA_ID/Carlos_Edwards__8,"TimePeriod,CareerStation"
207,DBPEDIA_ID/Carlos_Edwards__9,"TimePeriod,CareerStation"
208,DBPEDIA_ID/Charles_D._Drake__1,TimePeriod
