,entity,classes
0,DBPEDIA_ID/1970_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
1,DBPEDIA_ID/1974_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
2,DBPEDIA_ID/1986_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
3,DBPEDIA_ID/1990_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
4,DBPEDIA_ID/1994_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
5,DBPEDIA_ID/2006_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
6,DBPEDIA_ID/Toto_Japan_Classic,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
7,DBPEDIA_ID/Bob_Hope_British_Classic,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
8,DBPEDIA_ID/CareerBuilder_Challenge,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
9,DBPEDIA_ID/Doral_Open,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
10,DBPEDIA_ID/Dutch_Open_(tennis),"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
11,DBPEDIA_ID/ELF_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
12,DBPEDIA_ID/Frankfurt_Grand_Prix_(tennis),"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
13,DBPEDIA_ID/Open_de_Nice_Côte_d'Azur,"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
14,DBPEDIA_ID/Singapore_Open_(men's_tennis),"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
15,DBPEDIA_ID/WTA_Singapore_Open,"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
16,DBPEDIA_ID/Valero_Texas_Open,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
17,DBPEDIA_ID/1999_World_Cup_of_Golf,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
18,DBPEDIA_ID/2011_World_Cup_(men's_golf),"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
19,DBPEDIA_ID/John_Deere_Classic,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
20,DBPEDIA_ID/Munsingwear_Open_KSB_Cup,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
21,DBPEDIA_ID/World_Covered_Court_Championships,"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
22,DBPEDIA_ID/1895–96_Scottish_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
23,DBPEDIA_ID/1904_Copa_del_Rey,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
24,DBPEDIA_ID/1905_Svenska_Mästerskapet,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
25,DBPEDIA_ID/1906_Svenska_Mästerskapet,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
26,DBPEDIA_ID/1908_Svenska_Mästerskapet,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
27,DBPEDIA_ID/1934_Copa_del_Presidente_de_la_República,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
28,DBPEDIA_ID/1941_PGA_Championship,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
29,DBPEDIA_ID/1942_Copa_del_Generalísimo,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
30,DBPEDIA_ID/1953_CCCF_Championship,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
31,DBPEDIA_ID/1960_Albanian_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
32,DBPEDIA_ID/1961–62_Israel_State_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
33,DBPEDIA_ID/1962_Chatham_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
34,DBPEDIA_ID/1965–66_Israel_State_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
35,DBPEDIA_ID/1965–66_Women's_European_Cup_(handball),"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
36,DBPEDIA_ID/1966_Copa_Libertadores,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
37,DBPEDIA_ID/1972_Merdeka_Tournament,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
38,DBPEDIA_ID/1974_Iran_International_Tournament,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
39,DBPEDIA_ID/1974–75_Scottish_League_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
40,DBPEDIA_ID/1984_Nabisco_Dinah_Shore,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
41,DBPEDIA_ID/1987_African_U-16_Qualifying_for_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
42,DBPEDIA_ID/1988–89_European_Cup_Winners'_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
43,DBPEDIA_ID/1991_CONCACAF_Women's_Championship,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
44,DBPEDIA_ID/1991_Uganda_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
45,DBPEDIA_ID/1992–93_Estonian_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
46,DBPEDIA_ID/1995_AFC_Women's_Championship,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
47,DBPEDIA_ID/1995–96_Israel_State_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
48,DBPEDIA_ID/1996_Women's_U.S._Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
49,DBPEDIA_ID/1997_Singapore_League_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
50,DBPEDIA_ID/1999_UEFA_Regions'_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
51,DBPEDIA_ID/2000_LPGA_Championship,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
52,DBPEDIA_ID/2001_Copa_Libertadores,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
53,DBPEDIA_ID/2006_CONCACAF_Beach_Soccer_Championship,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
54,DBPEDIA_ID/2007_African_Youth_Championship,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
55,DBPEDIA_ID/2008_Faroe_Islands_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
56,DBPEDIA_ID/2008_Myanmar_Grand_Royal_Challenge_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
