,entity,classes
0,DBPEDIA_ID/Lighthouse_of_Alexandria,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
1,DBPEDIA_ID/Eddystone_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
2,DBPEDIA_ID/Bressay_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
3,DBPEDIA_ID/Longships_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
4,DBPEDIA_ID/Ambrose_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
5,DBPEDIA_ID/Barnegat_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
6,DBPEDIA_ID/Choptank_River_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
7,DBPEDIA_ID/Deepwater_Shoals_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
8,DBPEDIA_ID/Monomoy_Point_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
9,DBPEDIA_ID/Penfield_Reef_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
10,DBPEDIA_ID/Pigeon_Point_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
11,DBPEDIA_ID/Rose_Island_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
12,DBPEDIA_ID/Sand_Point_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
13,DBPEDIA_ID/Winterton_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
14,"DBPEDIA_ID/Coquet_Island,_England","ArchitecturalStructure,Lighthouse,Place,Tower,Location"
15,"DBPEDIA_ID/Lighthouse,_Chennai","ArchitecturalStructure,Lighthouse,Place,Tower,Location"
16,DBPEDIA_ID/Charlotte_Harbor_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
17,DBPEDIA_ID/Montauk_Point_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
18,DBPEDIA_ID/North_Head_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
19,DBPEDIA_ID/Point_Danger_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
20,DBPEDIA_ID/Pooles_Island_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
21,DBPEDIA_ID/Stella_Maris_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
22,DBPEDIA_ID/Turtle_Rock_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
23,DBPEDIA_ID/Wolf_Rock_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
24,DBPEDIA_ID/Wyre_Light_(Fleetwood),"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
25,DBPEDIA_ID/Bastøy_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
26,DBPEDIA_ID/Block_Island_Southeast_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
27,DBPEDIA_ID/Bogskär_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
28,DBPEDIA_ID/Fugløykalven_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
29,DBPEDIA_ID/Heligoland_lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
30,DBPEDIA_ID/Holyhead_Breakwater_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
31,DBPEDIA_ID/Block_Island_North_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
32,DBPEDIA_ID/Manana_Island_Sound_Signal_Station,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
33,DBPEDIA_ID/Point_Pinos_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
34,DBPEDIA_ID/Ulvesund_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
35,DBPEDIA_ID/West_Blockhouse_Point_Beacons,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
36,DBPEDIA_ID/Grand_Island_North_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
37,DBPEDIA_ID/Offer_Wadham_lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
38,DBPEDIA_ID/Tue_Marshes_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
39,DBPEDIA_ID/Warren_Landing_Lower_Range_Lights,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
40,DBPEDIA_ID/Warren_Landing_Upper_Range_Lights,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
41,DBPEDIA_ID/Chambers_Island_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
42,DBPEDIA_ID/Big_Sable_Point_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
43,DBPEDIA_ID/Eagle_Bluff_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
44,DBPEDIA_ID/Grand_Traverse_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
45,DBPEDIA_ID/Kewaunee_Pierhead_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
46,DBPEDIA_ID/Manitowoc_Breakwater_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
47,DBPEDIA_ID/Pilot_Island_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
48,DBPEDIA_ID/Sherwood_Point_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
49,DBPEDIA_ID/Sturgeon_Bay_Canal_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
50,DBPEDIA_ID/Sturgeon_Bay_Canal_North_Pierhead_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
51,DBPEDIA_ID/Tarbat_Ness_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
52,DBPEDIA_ID/Cape_Pembroke,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
53,DBPEDIA_ID/George_Island_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
54,DBPEDIA_ID/Happisburgh_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
55,DBPEDIA_ID/Loop_Head,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
56,DBPEDIA_ID/Avery_Point_Light,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
57,DBPEDIA_ID/Bøkfjord_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
58,DBPEDIA_ID/Favàritx_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
59,DBPEDIA_ID/Harlingen_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
60,DBPEDIA_ID/Kullen_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
61,DBPEDIA_ID/Lighthouse_of_Port_Said,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
62,DBPEDIA_ID/Nordøyan_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
63,DBPEDIA_ID/Seaton_Carew_lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
64,DBPEDIA_ID/St_Bees_Lighthouse,"ArchitecturalStructure,Lighthouse,Place,Tower,Location"
