,entity,classes
0,Aalen,"Town,PopulatedPlace,Settlement,Place,Location"
1,Abensberg,"Town,PopulatedPlace,Settlement,Place,Location"
2,"DBPEDIA_ID/Dedham,_Massachusetts","Town,PopulatedPlace,Settlement,Place,Location"
3,"DBPEDIA_ID/Fairmount,_Indiana","Town,PopulatedPlace,Settlement,Place,Location"
4,Glasnevin,"Town,PopulatedPlace,Settlement,Place,Location"
5,"DBPEDIA_ID/Hanover,_New_Hampshire","Town,PopulatedPlace,Settlement,Place,Location"
6,"DBPEDIA_ID/Harwich,_Massachusetts","Town,PopulatedPlace,Settlement,Place,Location"
7,Hastings,"Town,PopulatedPlace,Settlement,Place,Location"
8,Keflavík,"Town,PopulatedPlace,Settlement,Place,Location"
9,DBPEDIA_ID/Limburg_an_der_Lahn,"Town,PopulatedPlace,Settlement,Place,Location"
10,"DBPEDIA_ID/Lincoln,_New_Hampshire","Town,PopulatedPlace,Settlement,Place,Location"
11,"DBPEDIA_ID/Longmeadow,_Massachusetts","Town,PopulatedPlace,Settlement,Place,Location"
12,"DBPEDIA_ID/Quantico,_Virginia","Town,PopulatedPlace,Settlement,Place,Location"
13,"DBPEDIA_ID/Elberta,_Alabama","Town,PopulatedPlace,Settlement,Place,Location"
14,Fehmarn,"Town,PopulatedPlace,Settlement,Place,Location"
15,DBPEDIA_ID/Frankfurt_(Oder),"Town,PopulatedPlace,Settlement,Place,Location"
16,Friedrichshafen,"Town,PopulatedPlace,Settlement,Place,Location"
17,"DBPEDIA_ID/Loxley,_Alabama","Town,PopulatedPlace,Settlement,Place,Location"
18,"DBPEDIA_ID/Silverhill,_Alabama","Town,PopulatedPlace,Settlement,Place,Location"
19,"DBPEDIA_ID/Summerdale,_Alabama","Town,PopulatedPlace,Settlement,Place,Location"
20,"DBPEDIA_ID/Farmville,_Virginia","Town,PopulatedPlace,Settlement,Place,Location"
21,"DBPEDIA_ID/Jarratt,_Virginia","Town,PopulatedPlace,Settlement,Place,Location"
22,"DBPEDIA_ID/Adrian,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
23,"DBPEDIA_ID/Ahnapee,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
24,Alfeld,"Town,PopulatedPlace,Settlement,Place,Location"
25,"DBPEDIA_ID/Algoma,_Winnebago_County,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
26,"DBPEDIA_ID/Altamont,_Utah","Town,PopulatedPlace,Settlement,Place,Location"
27,"DBPEDIA_ID/Amalga,_Utah","Town,PopulatedPlace,Settlement,Place,Location"
28,"DBPEDIA_ID/Amnicon,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
29,Anklam,"Town,PopulatedPlace,Settlement,Place,Location"
30,"DBPEDIA_ID/Annabella,_Utah","Town,PopulatedPlace,Settlement,Place,Location"
31,"DBPEDIA_ID/Antimony,_Utah","Town,PopulatedPlace,Settlement,Place,Location"
32,"DBPEDIA_ID/Apple_River,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
33,"DBPEDIA_ID/Arthur,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
34,Awjila,"Town,PopulatedPlace,Settlement,Place,Location"
35,"DBPEDIA_ID/Bagley,_Oconto_County,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
36,"DBPEDIA_ID/Bakersfield,_Vermont","Town,PopulatedPlace,Settlement,Place,Location"
37,"DBPEDIA_ID/Barnard,_Vermont","Town,PopulatedPlace,Settlement,Place,Location"
38,"DBPEDIA_ID/Barnes,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
39,"DBPEDIA_ID/Barnet,_Vermont","Town,PopulatedPlace,Settlement,Place,Location"
40,"DBPEDIA_ID/Bartelme,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
41,"DBPEDIA_ID/Bashaw,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
42,"DBPEDIA_ID/Bass_Lake,_Sawyer_County,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
43,"DBPEDIA_ID/Bass_Lake,_Washburn_County,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
44,"DBPEDIA_ID/Bayview,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
45,"DBPEDIA_ID/Bear_Bluff,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
46,"DBPEDIA_ID/Beaver,_Clark_County,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
47,Belišće,"Town,PopulatedPlace,Settlement,Place,Location"
48,"DBPEDIA_ID/Bergen,_Marathon_County,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
49,"DBPEDIA_ID/Bergen,_Vernon_County,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
50,"DBPEDIA_ID/Bern,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
51,"DBPEDIA_ID/Berry,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
52,"DBPEDIA_ID/Berryville,_Virginia","Town,PopulatedPlace,Settlement,Place,Location"
53,"DBPEDIA_ID/Bethel,_Connecticut","Town,PopulatedPlace,Settlement,Place,Location"
54,"DBPEDIA_ID/Bethel,_Vermont","Town,PopulatedPlace,Settlement,Place,Location"
55,"DBPEDIA_ID/Bicknell,_Utah","Town,PopulatedPlace,Settlement,Place,Location"
56,"DBPEDIA_ID/Big_Water,_Utah","Town,PopulatedPlace,Settlement,Place,Location"
57,"DBPEDIA_ID/Bismark,_Germany","Town,PopulatedPlace,Settlement,Place,Location"
58,"DBPEDIA_ID/Black_Brook,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
59,"DBPEDIA_ID/Blanchard,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
60,"DBPEDIA_ID/Bloom,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
61,"DBPEDIA_ID/Bone_Lake,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
62,"DBPEDIA_ID/Boykins,_Virginia","Town,PopulatedPlace,Settlement,Place,Location"
63,"DBPEDIA_ID/Bradley,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
64,Bregenz,"Town,PopulatedPlace,Settlement,Place,Location"
65,"DBPEDIA_ID/Bridge_Creek,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
66,"DBPEDIA_ID/Bridport,_Vermont","Town,PopulatedPlace,Settlement,Place,Location"
67,"DBPEDIA_ID/Brigham,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
68,"DBPEDIA_ID/Brownington,_Vermont","Town,PopulatedPlace,Settlement,Place,Location"
69,"DBPEDIA_ID/Bullard,_Texas","Town,PopulatedPlace,Settlement,Place,Location"
70,"DBPEDIA_ID/Burnside,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
71,Bückeburg,"Town,PopulatedPlace,Settlement,Place,Location"
72,"DBPEDIA_ID/Cadiz,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
73,"DBPEDIA_ID/Cady,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
74,"DBPEDIA_ID/Calais,_Vermont","Town,PopulatedPlace,Settlement,Place,Location"
75,"DBPEDIA_ID/Calhoun,_Tennessee","Town,PopulatedPlace,Settlement,Place,Location"
76,"DBPEDIA_ID/Canaan,_Vermont","Town,PopulatedPlace,Settlement,Place,Location"
77,"DBPEDIA_ID/Cannonville,_Utah","Town,PopulatedPlace,Settlement,Place,Location"
78,"DBPEDIA_ID/Carbon,_Texas","Town,PopulatedPlace,Settlement,Place,Location"
79,"DBPEDIA_ID/Carey,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
80,"DBPEDIA_ID/Cassel,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
81,"DBPEDIA_ID/Cassian,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
82,"DBPEDIA_ID/Castle_Valley,_Utah","Town,PopulatedPlace,Settlement,Place,Location"
83,"DBPEDIA_ID/Caswell,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
84,"DBPEDIA_ID/Cedar_Fort,_Utah","Town,PopulatedPlace,Settlement,Place,Location"
85,"DBPEDIA_ID/Cedar_Rapids,_Wisconsin","Town,PopulatedPlace,Settlement,Place,Location"
