,entity,classes
0,DBPEDIA_ID/Equity_(trade_union),"Organisation,TradeUnion,Agent"
1,DBPEDIA_ID/Agricultural_Workers_Organization,"Organisation,TradeUnion,Agent"
2,DBPEDIA_ID/Constructional_Engineering_Union,"Organisation,TradeUnion,Agent"
3,DBPEDIA_ID/SAFA_(architecture),"Organisation,TradeUnion,Agent"
4,DBPEDIA_ID/Sailors'_Union_of_the_Pacific,"Organisation,TradeUnion,Agent"
5,DBPEDIA_ID/The_Association_for_Science_Education,"Organisation,TradeUnion,Agent"
6,DBPEDIA_ID/Art_Directors_Guild,"Organisation,TradeUnion,Agent"
7,DBPEDIA_ID/Association_of_Educational_Psychologists,"Organisation,TradeUnion,Agent"
8,DBPEDIA_ID/Association_of_University_Staff_of_New_Zealand,"Organisation,TradeUnion,Agent"
9,DBPEDIA_ID/Central_Autónoma_de_Trabajadores_Salvadoreños,"Organisation,TradeUnion,Agent"
10,DBPEDIA_ID/Community_(trade_union),"Organisation,TradeUnion,Agent"
11,DBPEDIA_ID/Confederación_General_de_Trabajadores_del_Perú,"Organisation,TradeUnion,Agent"
12,DBPEDIA_ID/Confederación_de_Trabajadores_de_Venezuela,"Organisation,TradeUnion,Agent"
13,DBPEDIA_ID/Confederation_of_Labour_of_Kazakhstan,"Organisation,TradeUnion,Agent"
14,DBPEDIA_ID/French_Confederation_of_Christian_Workers,"Organisation,TradeUnion,Agent"
15,DBPEDIA_ID/Gambian_Workers'_Confederation,"Organisation,TradeUnion,Agent"
16,DBPEDIA_ID/Guild_of_Drama_Adjudicators,"Organisation,TradeUnion,Agent"
17,DBPEDIA_ID/Hong_Kong_Professional_Teachers'_Union,"Organisation,TradeUnion,Agent"
18,DBPEDIA_ID/Mauritius_Labour_Congress,"Organisation,TradeUnion,Agent"
19,"DBPEDIA_ID/Metal_Trades_Department,_AFL–CIO","Organisation,TradeUnion,Agent"
20,DBPEDIA_ID/Musicians_Union_of_South_Africa,"Organisation,TradeUnion,Agent"
21,DBPEDIA_ID/National_Distribution_Union,"Organisation,TradeUnion,Agent"
22,DBPEDIA_ID/Northern_Rhodesian_African_Mineworkers'_Union,"Organisation,TradeUnion,Agent"
23,DBPEDIA_ID/Nova_Scotia_Paramedic_Society,"Organisation,TradeUnion,Agent"
24,DBPEDIA_ID/Pan-European_Regional_Council,"Organisation,TradeUnion,Agent"
25,DBPEDIA_ID/Society_of_Radiographers,"Organisation,TradeUnion,Agent"
26,DBPEDIA_ID/Solidarity_Federation,"Organisation,TradeUnion,Agent"
