,entity,classes
0,DBPEDIA_ID/Big_Dig,"ArchitecturalStructure,Tunnel,Place,Location"
1,DBPEDIA_ID/Airport_Tunnel_(Los_Angeles),"ArchitecturalStructure,Tunnel,Place,Location"
2,DBPEDIA_ID/Kingwood_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
3,DBPEDIA_ID/Grønnlifjell_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
4,DBPEDIA_ID/Sjønståfjell_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
5,DBPEDIA_ID/Acheson_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
6,DBPEDIA_ID/Oneida_Number_One_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
7,DBPEDIA_ID/Rullestad_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
8,DBPEDIA_ID/Logans_Ferry_Mine_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
9,DBPEDIA_ID/Grand_Rapids_Medical_Corridor_North_Pedestrian_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
10,Tingstadstunneln,"ArchitecturalStructure,Tunnel,Place,Location"
11,DBPEDIA_ID/Mount_Ovit_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
12,DBPEDIA_ID/Tunnel_des_Tuileries,"ArchitecturalStructure,Tunnel,Place,Location"
13,DBPEDIA_ID/Green_Mountain_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
14,DBPEDIA_ID/Bortne_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
15,DBPEDIA_ID/Horda_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
16,DBPEDIA_ID/Amur_River_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
17,DBPEDIA_ID/Stordal_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
18,DBPEDIA_ID/Larut_Rail_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
19,IJtunnel,"ArchitecturalStructure,Tunnel,Place,Location"
20,DBPEDIA_ID/Tyne_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
21,DBPEDIA_ID/Victoria_Tunnel_(Newcastle),"ArchitecturalStructure,Tunnel,Place,Location"
22,DBPEDIA_ID/Traforo_del_Gran_Sasso,"ArchitecturalStructure,Tunnel,Place,Location"
23,Rogfast,"ArchitecturalStructure,Tunnel,Place,Location"
24,DBPEDIA_ID/Guadarrama_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
25,DBPEDIA_ID/Skansen_Tunnel_(Trondheim),"ArchitecturalStructure,Tunnel,Place,Location"
26,DBPEDIA_ID/Lee_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
27,DBPEDIA_ID/Ibestad_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
28,DBPEDIA_ID/Stokkviknakken_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
29,DBPEDIA_ID/East_Side_Trolley_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
30,DBPEDIA_ID/Genesee_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
31,DBPEDIA_ID/Gudvanga_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
32,DBPEDIA_ID/Pittsburgh_and_Castle_Shannon_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
33,DBPEDIA_ID/Tunnel_de_la_Croix-Rousse,"ArchitecturalStructure,Tunnel,Place,Location"
34,DBPEDIA_ID/Fannefjord_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
35,DBPEDIA_ID/Karmøy_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
36,DBPEDIA_ID/Catawissa_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
37,DBPEDIA_ID/Eikefet_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
38,DBPEDIA_ID/Haukeli_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
39,DBPEDIA_ID/Mount_Kop_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
40,DBPEDIA_ID/Oneida_Number_Three_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
41,DBPEDIA_ID/Røldal_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
42,DBPEDIA_ID/Selçukgazi_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
43,DBPEDIA_ID/Howard_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
44,DBPEDIA_ID/Rove_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
45,DBPEDIA_ID/Fjæra_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
46,DBPEDIA_ID/Åkrafjord_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
47,DBPEDIA_ID/Van_Buren_Street_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
48,DBPEDIA_ID/Bukit_Berapit_Rail_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
49,DBPEDIA_ID/Paw_Paw_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
50,Noordtunnel,"ArchitecturalStructure,Tunnel,Place,Location"
51,DBPEDIA_ID/Drammen_Spiral,"ArchitecturalStructure,Tunnel,Place,Location"
52,DBPEDIA_ID/Quakake_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
53,"DBPEDIA_ID/Williams_Way,_Gibraltar","ArchitecturalStructure,Tunnel,Place,Location"
54,DBPEDIA_ID/Suruç_Water_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
55,DBPEDIA_ID/Jeddo_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
56,DBPEDIA_ID/Maursund_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
57,DBPEDIA_ID/Qiaozhong_Road_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
58,DBPEDIA_ID/University_Link_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
59,DBPEDIA_ID/Audenried_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
60,DBPEDIA_ID/Aktio–Preveza_Undersea_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
61,DBPEDIA_ID/Nada_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
62,DBPEDIA_ID/Engaña_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
63,DBPEDIA_ID/Flathead_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
64,DBPEDIA_ID/Waterloo_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
65,DBPEDIA_ID/Burro_Schmidt_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
66,DBPEDIA_ID/Korgfjell_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
67,DBPEDIA_ID/Board_Tree_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
68,DBPEDIA_ID/Cowan_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
69,DBPEDIA_ID/Liffey_Service_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
70,DBPEDIA_ID/Freifjord_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
71,DBPEDIA_ID/Harecastle_railway_tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
72,DBPEDIA_ID/AROW_Street,"ArchitecturalStructure,Tunnel,Place,Location"
73,DBPEDIA_ID/Fordham's_Accommodation,"ArchitecturalStructure,Tunnel,Place,Location"
74,DBPEDIA_ID/Tunnel_of_Eupalinos,"ArchitecturalStructure,Tunnel,Place,Location"
75,"DBPEDIA_ID/Beacon_Hill_Tunnel_(Seattle,_Washington)","ArchitecturalStructure,Tunnel,Place,Location"
76,DBPEDIA_ID/Atlantic_Ocean_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
77,DBPEDIA_ID/Hårskolten_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
78,DBPEDIA_ID/Markhus_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
79,DBPEDIA_ID/Hoffman_tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
80,DBPEDIA_ID/Admiralty_Tunnel,"ArchitecturalStructure,Tunnel,Place,Location"
81,DBPEDIA_ID/Kaladan_Multi-modal_Transit_Transport_Project,"ArchitecturalStructure,Tunnel,Place,Location"
