,entity,classes
0,DBPEDIA_ID/American_University_of_Beirut,"Organisation,EducationalInstitution,University,Agent"
1,DBPEDIA_ID/An-Najah_National_University,"Organisation,EducationalInstitution,University,Agent"
2,DBPEDIA_ID/Australian_National_University,"Organisation,EducationalInstitution,University,Agent"
3,DBPEDIA_ID/Banaras_Hindu_University,"Organisation,EducationalInstitution,University,Agent"
4,DBPEDIA_ID/Carleton_University,"Organisation,EducationalInstitution,University,Agent"
5,DBPEDIA_ID/Chulalongkorn_University,"Organisation,EducationalInstitution,University,Agent"
6,DBPEDIA_ID/Columbia_University,"Organisation,EducationalInstitution,University,Agent"
7,DBPEDIA_ID/De_Montfort_University,"Organisation,EducationalInstitution,University,Agent"
8,DBPEDIA_ID/ETH_Zurich,"Organisation,EducationalInstitution,University,Agent"
9,DBPEDIA_ID/Eindhoven_University_of_Technology,"Organisation,EducationalInstitution,University,Agent"
10,DBPEDIA_ID/Gadjah_Mada_University,"Organisation,EducationalInstitution,University,Agent"
11,DBPEDIA_ID/King's_College_London,"Organisation,EducationalInstitution,University,Agent"
12,DBPEDIA_ID/Leipzig_University,"Organisation,EducationalInstitution,University,Agent"
13,DBPEDIA_ID/Massey_University,"Organisation,EducationalInstitution,University,Agent"
14,DBPEDIA_ID/McMaster_University,"Organisation,EducationalInstitution,University,Agent"
15,DBPEDIA_ID/Middlesex_University,"Organisation,EducationalInstitution,University,Agent"
16,DBPEDIA_ID/Monash_University,"Organisation,EducationalInstitution,University,Agent"
17,DBPEDIA_ID/National_Taiwan_University,"Organisation,EducationalInstitution,University,Agent"
18,DBPEDIA_ID/Oxford_Brookes_University,"Organisation,EducationalInstitution,University,Agent"
19,DBPEDIA_ID/Peking_University,"Organisation,EducationalInstitution,University,Agent"
20,DBPEDIA_ID/Poznań_University_of_Technology,"Organisation,EducationalInstitution,University,Agent"
21,DBPEDIA_ID/Queen's_University,"Organisation,EducationalInstitution,University,Agent"
22,DBPEDIA_ID/Sheffield_Hallam_University,"Organisation,EducationalInstitution,University,Agent"
23,DBPEDIA_ID/Technical_University_of_Denmark,"Organisation,EducationalInstitution,University,Agent"
24,DBPEDIA_ID/University_College_Cork,"Organisation,EducationalInstitution,University,Agent"
25,DBPEDIA_ID/University_of_Aberdeen,"Organisation,EducationalInstitution,University,Agent"
26,DBPEDIA_ID/University_of_Adelaide,"Organisation,EducationalInstitution,University,Agent"
27,DBPEDIA_ID/University_of_Alberta,"Organisation,EducationalInstitution,University,Agent"
28,DBPEDIA_ID/University_of_Bergen,"Organisation,EducationalInstitution,University,Agent"
29,DBPEDIA_ID/University_of_Bremen,"Organisation,EducationalInstitution,University,Agent"
30,DBPEDIA_ID/University_of_Brighton,"Organisation,EducationalInstitution,University,Agent"
31,DBPEDIA_ID/University_of_Bristol,"Organisation,EducationalInstitution,University,Agent"
32,DBPEDIA_ID/University_of_Calgary,"Organisation,EducationalInstitution,University,Agent"
33,DBPEDIA_ID/University_of_Cologne,"Organisation,EducationalInstitution,University,Agent"
34,DBPEDIA_ID/University_of_Duisburg-Essen,"Organisation,EducationalInstitution,University,Agent"
35,DBPEDIA_ID/University_of_Florida,"Organisation,EducationalInstitution,University,Agent"
36,DBPEDIA_ID/University_of_Glasgow,"Organisation,EducationalInstitution,University,Agent"
37,DBPEDIA_ID/University_of_Hamburg,"Organisation,EducationalInstitution,University,Agent"
38,DBPEDIA_ID/University_of_Helsinki,"Organisation,EducationalInstitution,University,Agent"
39,DBPEDIA_ID/University_of_Konstanz,"Organisation,EducationalInstitution,University,Agent"
40,DBPEDIA_ID/University_of_Lausanne,"Organisation,EducationalInstitution,University,Agent"
41,DBPEDIA_ID/University_of_Limerick,"Organisation,EducationalInstitution,University,Agent"
42,DBPEDIA_ID/University_of_Lincoln,"Organisation,EducationalInstitution,University,Agent"
43,DBPEDIA_ID/University_of_Manitoba,"Organisation,EducationalInstitution,University,Agent"
44,DBPEDIA_ID/University_of_Maribor,"Organisation,EducationalInstitution,University,Agent"
45,DBPEDIA_ID/University_of_Michigan,"Organisation,EducationalInstitution,University,Agent"
46,DBPEDIA_ID/University_of_New_South_Wales,"Organisation,EducationalInstitution,University,Agent"
47,DBPEDIA_ID/University_of_Ottawa,"Organisation,EducationalInstitution,University,Agent"
48,DBPEDIA_ID/University_of_Oxford,"Organisation,EducationalInstitution,University,Agent"
49,DBPEDIA_ID/University_of_Pretoria,"Organisation,EducationalInstitution,University,Agent"
50,DBPEDIA_ID/University_of_Stirling,"Organisation,EducationalInstitution,University,Agent"
51,DBPEDIA_ID/University_of_Surrey,"Organisation,EducationalInstitution,University,Agent"
52,DBPEDIA_ID/University_of_Sussex,"Organisation,EducationalInstitution,University,Agent"
53,DBPEDIA_ID/University_of_Tampere,"Organisation,EducationalInstitution,University,Agent"
54,DBPEDIA_ID/University_of_Tehran,"Organisation,EducationalInstitution,University,Agent"
55,DBPEDIA_ID/University_of_Toronto,"Organisation,EducationalInstitution,University,Agent"
56,DBPEDIA_ID/University_of_Tromsø,"Organisation,EducationalInstitution,University,Agent"
57,DBPEDIA_ID/University_of_Victoria,"Organisation,EducationalInstitution,University,Agent"
58,DBPEDIA_ID/University_of_Vienna,"Organisation,EducationalInstitution,University,Agent"
59,DBPEDIA_ID/University_of_Virginia,"Organisation,EducationalInstitution,University,Agent"
60,DBPEDIA_ID/University_of_Warwick,"Organisation,EducationalInstitution,University,Agent"
61,DBPEDIA_ID/University_of_Western_Ontario,"Organisation,EducationalInstitution,University,Agent"
62,DBPEDIA_ID/University_of_Zurich,"Organisation,EducationalInstitution,University,Agent"
63,DBPEDIA_ID/Acadia_University,"Organisation,EducationalInstitution,University,Agent"
64,DBPEDIA_ID/Arizona_State_University,"Organisation,EducationalInstitution,University,Agent"
65,DBPEDIA_ID/BI_Norwegian_Business_School,"Organisation,EducationalInstitution,University,Agent"
66,DBPEDIA_ID/Barnard_College,"Organisation,EducationalInstitution,University,Agent"
67,DBPEDIA_ID/Bob_Jones_University,"Organisation,EducationalInstitution,University,Agent"
68,DBPEDIA_ID/Brown_University,"Organisation,EducationalInstitution,University,Agent"
69,DBPEDIA_ID/California_Institute_of_Technology,"Organisation,EducationalInstitution,University,Agent"
70,DBPEDIA_ID/Chalmers_University_of_Technology,"Organisation,EducationalInstitution,University,Agent"
71,DBPEDIA_ID/City_University_of_New_York,"Organisation,EducationalInstitution,University,Agent"
72,DBPEDIA_ID/Crandall_University,"Organisation,EducationalInstitution,University,Agent"
73,DBPEDIA_ID/Dalhousie_University,"Organisation,EducationalInstitution,University,Agent"
74,DBPEDIA_ID/Dartmouth_College,"Organisation,EducationalInstitution,University,Agent"
75,DBPEDIA_ID/Drexel_University,"Organisation,EducationalInstitution,University,Agent"
76,DBPEDIA_ID/Geneva_College,"Organisation,EducationalInstitution,University,Agent"
77,DBPEDIA_ID/George_Mason_University,"Organisation,EducationalInstitution,University,Agent"
78,DBPEDIA_ID/Grinnell_College,"Organisation,EducationalInstitution,University,Agent"
79,DBPEDIA_ID/Harvey_Mudd_College,"Organisation,EducationalInstitution,University,Agent"
80,DBPEDIA_ID/Hunter_College,"Organisation,EducationalInstitution,University,Agent"
81,DBPEDIA_ID/Indian_Institute_of_Technology_Kanpur,"Organisation,EducationalInstitution,University,Agent"
82,DBPEDIA_ID/Iowa_State_University,"Organisation,EducationalInstitution,University,Agent"
83,DBPEDIA_ID/Ithaca_College,"Organisation,EducationalInstitution,University,Agent"
84,DBPEDIA_ID/Jadavpur_University,"Organisation,EducationalInstitution,University,Agent"
85,DBPEDIA_ID/James_Madison_University,"Organisation,EducationalInstitution,University,Agent"
86,KAIST,"Organisation,EducationalInstitution,University,Agent"
87,DBPEDIA_ID/Kansas_State_University,"Organisation,EducationalInstitution,University,Agent"
88,DBPEDIA_ID/Kent_State_University,"Organisation,EducationalInstitution,University,Agent"
89,DBPEDIA_ID/Lund_University,"Organisation,EducationalInstitution,University,Agent"
90,DBPEDIA_ID/Macquarie_University,"Organisation,EducationalInstitution,University,Agent"
91,DBPEDIA_ID/Massachusetts_Institute_of_Technology,"Organisation,EducationalInstitution,University,Agent"
92,DBPEDIA_ID/Millsaps_College,"Organisation,EducationalInstitution,University,Agent"
93,DBPEDIA_ID/Mount_Saint_Vincent_University,"Organisation,EducationalInstitution,University,Agent"
94,DBPEDIA_ID/National_War_College,"Organisation,EducationalInstitution,University,Agent"
95,DBPEDIA_ID/Northern_Michigan_University,"Organisation,EducationalInstitution,University,Agent"
96,DBPEDIA_ID/Oberlin_College,"Organisation,EducationalInstitution,University,Agent"
97,DBPEDIA_ID/Occidental_College,"Organisation,EducationalInstitution,University,Agent"
98,DBPEDIA_ID/Ohio_State_University,"Organisation,EducationalInstitution,University,Agent"
99,DBPEDIA_ID/Princeton_University,"Organisation,EducationalInstitution,University,Agent"
100,DBPEDIA_ID/Purdue_University,"Organisation,EducationalInstitution,University,Agent"
101,DBPEDIA_ID/Reed_College,"Organisation,EducationalInstitution,University,Agent"
102,DBPEDIA_ID/Rice_University,"Organisation,EducationalInstitution,University,Agent"
103,DBPEDIA_ID/Royal_Institute_of_Technology,"Organisation,EducationalInstitution,University,Agent"
104,DBPEDIA_ID/Simon_Fraser_University,"Organisation,EducationalInstitution,University,Agent"
105,DBPEDIA_ID/St._John_Fisher_College,"Organisation,EducationalInstitution,University,Agent"
106,DBPEDIA_ID/Stanford_University,"Organisation,EducationalInstitution,University,Agent"
107,DBPEDIA_ID/Stockholm_School_of_Economics,"Organisation,EducationalInstitution,University,Agent"
108,DBPEDIA_ID/Stockholm_University,"Organisation,EducationalInstitution,University,Agent"
109,DBPEDIA_ID/University_of_Gothenburg,"Organisation,EducationalInstitution,University,Agent"
110,DBPEDIA_ID/Unification_Theological_Seminary,"Organisation,EducationalInstitution,University,Agent"
111,DBPEDIA_ID/King's_College_London_GKT_School_of_Medical_Education,"Organisation,EducationalInstitution,University,Agent"
112,DBPEDIA_ID/Ripon_College_(Wisconsin),"Organisation,EducationalInstitution,University,Agent"
113,DBPEDIA_ID/Royal_Academy_of_Dramatic_Art,"Organisation,EducationalInstitution,University,Agent"
114,DBPEDIA_ID/University_of_Illinois_system,"Organisation,EducationalInstitution,University,Agent"
115,DBPEDIA_ID/Adolfo_Ibáñez_University,"Organisation,EducationalInstitution,University,Agent"
116,DBPEDIA_ID/African_School_of_Economics,"Organisation,EducationalInstitution,University,Agent"
117,DBPEDIA_ID/Allan_Hancock_College,"Organisation,EducationalInstitution,University,Agent"
118,DBPEDIA_ID/Amity_School_of_Engineering,"Organisation,EducationalInstitution,University,Agent"
119,DBPEDIA_ID/Bard_College_Berlin,"Organisation,EducationalInstitution,University,Agent"
120,DBPEDIA_ID/Bow_Valley_College,"Organisation,EducationalInstitution,University,Agent"
121,DBPEDIA_ID/Capital_Normal_University,"Organisation,EducationalInstitution,University,Agent"
122,DBPEDIA_ID/Chia_Nan_University_of_Pharmacy_and_Science,"Organisation,EducationalInstitution,University,Agent"
123,DBPEDIA_ID/Higher_University_of_San_Andrés,"Organisation,EducationalInstitution,University,Agent"
124,DBPEDIA_ID/Hope_International_University,"Organisation,EducationalInstitution,University,Agent"
125,"DBPEDIA_ID/Institute_of_Business_Administration,_Jahangirnagar_University","Organisation,EducationalInstitution,University,Agent"
