,entity,classes
0,DBPEDIA_ID/Azygos_vein,"Vein,AnatomicalStructure"
1,DBPEDIA_ID/Inferior_vena_cava,"Vein,AnatomicalStructure"
2,DBPEDIA_ID/Dorsal_scapular_vein,"Vein,AnatomicalStructure"
3,DBPEDIA_ID/Iliolumbar_vein,"Vein,AnatomicalStructure"
4,DBPEDIA_ID/Inferior_gluteal_veins,"Vein,AnatomicalStructure"
5,DBPEDIA_ID/Inferior_petrosal_sinus,"Vein,AnatomicalStructure"
6,DBPEDIA_ID/Inferior_phrenic_vein,"Vein,AnatomicalStructure"
7,DBPEDIA_ID/Inferior_thyroid_veins,"Vein,AnatomicalStructure"
8,DBPEDIA_ID/Internal_iliac_vein,"Vein,AnatomicalStructure"
9,DBPEDIA_ID/Left_gastroepiploic_vein,"Vein,AnatomicalStructure"
10,DBPEDIA_ID/Posterior_auricular_vein,"Vein,AnatomicalStructure"
11,DBPEDIA_ID/Posterior_intercostal_veins,"Vein,AnatomicalStructure"
12,DBPEDIA_ID/Superficial_temporal_vein,"Vein,AnatomicalStructure"
13,DBPEDIA_ID/Superior_gluteal_veins,"Vein,AnatomicalStructure"
14,DBPEDIA_ID/Superior_ophthalmic_vein,"Vein,AnatomicalStructure"
15,DBPEDIA_ID/Superior_petrosal_sinus,"Vein,AnatomicalStructure"
16,DBPEDIA_ID/Superior_thyroid_vein,"Vein,AnatomicalStructure"
17,DBPEDIA_ID/Supraorbital_vein,"Vein,AnatomicalStructure"
18,DBPEDIA_ID/Suprarenal_veins,"Vein,AnatomicalStructure"
19,DBPEDIA_ID/Supreme_intercostal_vein,"Vein,AnatomicalStructure"
20,DBPEDIA_ID/Umbilical_vein,"Vein,AnatomicalStructure"
21,DBPEDIA_ID/Dorsal_digital_veins_of_the_foot,"Vein,AnatomicalStructure"
22,DBPEDIA_ID/Dorsal_metatarsal_veins,"Vein,AnatomicalStructure"
23,DBPEDIA_ID/Dorsal_venous_network_of_hand,"Vein,AnatomicalStructure"
24,DBPEDIA_ID/Internal_jugular_vein,"Vein,AnatomicalStructure"
25,DBPEDIA_ID/Left_gastric_vein,"Vein,AnatomicalStructure"
26,DBPEDIA_ID/Plantar_metatarsal_veins,"Vein,AnatomicalStructure"
27,DBPEDIA_ID/Right_gastric_vein,"Vein,AnatomicalStructure"
28,DBPEDIA_ID/Superficial_epigastric_vein,"Vein,AnatomicalStructure"
29,DBPEDIA_ID/Ileocolic_vein,"Vein,AnatomicalStructure"
30,DBPEDIA_ID/Deep_cervical_vein,"Vein,AnatomicalStructure"
31,DBPEDIA_ID/Deep_dorsal_vein_of_clitoris,"Vein,AnatomicalStructure"
32,DBPEDIA_ID/Accessory_hemiazygos_vein,"Vein,AnatomicalStructure"
33,DBPEDIA_ID/Anterior_jugular_vein,"Vein,AnatomicalStructure"
34,DBPEDIA_ID/Common_facial_vein,"Vein,AnatomicalStructure"
35,DBPEDIA_ID/Gonadal_vein,"Vein,AnatomicalStructure"
36,DBPEDIA_ID/Hemiazygos_vein,"Vein,AnatomicalStructure"
37,DBPEDIA_ID/Inferior_ophthalmic_vein,"Vein,AnatomicalStructure"
38,DBPEDIA_ID/Intercavernous_sinuses,"Vein,AnatomicalStructure"
39,DBPEDIA_ID/Maxillary_veins,"Vein,AnatomicalStructure"
40,DBPEDIA_ID/Middle_thyroid_vein,"Vein,AnatomicalStructure"
41,DBPEDIA_ID/Posterior_external_jugular_vein,"Vein,AnatomicalStructure"
42,DBPEDIA_ID/Pterygoid_plexus,"Vein,AnatomicalStructure"
43,DBPEDIA_ID/Small_cardiac_vein,"Vein,AnatomicalStructure"
44,DBPEDIA_ID/Transverse_sinuses,"Vein,AnatomicalStructure"
45,DBPEDIA_ID/Vertebral_vein,"Vein,AnatomicalStructure"
46,DBPEDIA_ID/Lateral_thoracic_vein,"Vein,AnatomicalStructure"
47,DBPEDIA_ID/Deep_middle_cerebral_vein,"Vein,AnatomicalStructure"
48,DBPEDIA_ID/External_pudendal_veins,"Vein,AnatomicalStructure"
49,DBPEDIA_ID/Superficial_middle_cerebral_vein,"Vein,AnatomicalStructure"
50,DBPEDIA_ID/Dorsal_veins_of_the_penis,"Vein,AnatomicalStructure"
51,DBPEDIA_ID/Intervertebral_veins,"Vein,AnatomicalStructure"
52,DBPEDIA_ID/Spinal_veins,"Vein,AnatomicalStructure"
