,entity,classes
0,DBPEDIA_ID/Fenway_Park,"ArchitecturalStructure,Place,Venue,Location"
1,DBPEDIA_ID/ARK_Theatre_Company,"ArchitecturalStructure,Place,Venue,Location"
2,DBPEDIA_ID/Lenin_Stadium_(Khabarovsk),"ArchitecturalStructure,Place,Venue,Location"
3,DBPEDIA_ID/AFAS_Stadion,"ArchitecturalStructure,Place,Venue,Location"
4,DBPEDIA_ID/Arena_Joondalup,"ArchitecturalStructure,Place,Venue,Location"
5,DBPEDIA_ID/Baghdad_Stadium,"ArchitecturalStructure,Place,Venue,Location"
6,DBPEDIA_ID/Barbican_Centre,"ArchitecturalStructure,Place,Venue,Location,Theatre"
7,DBPEDIA_ID/Birmingham_Hippodrome,"ArchitecturalStructure,Place,Venue,Location"
8,DBPEDIA_ID/Bluebird_Cafe,"ArchitecturalStructure,Place,Venue,Location"
9,DBPEDIA_ID/Britannia_Theatre,"ArchitecturalStructure,Place,Venue,Location"
10,DBPEDIA_ID/Burlington_Memorial_Auditorium,"ArchitecturalStructure,Place,Venue,Location"
11,DBPEDIA_ID/Convocation_Center_(University_of_Texas_at_San_Antonio),"ArchitecturalStructure,Place,Venue,Location"
12,DBPEDIA_ID/Crocodile_Cafe,"ArchitecturalStructure,Place,Venue,Location"
13,DBPEDIA_ID/Dudley_Hippodrome,"ArchitecturalStructure,Place,Venue,Location,Theatre"
14,DBPEDIA_ID/Estadio_Monumental_de_Maturín,"ArchitecturalStructure,Place,Venue,Location"
15,DBPEDIA_ID/Estadio_de_Vallehermoso,"ArchitecturalStructure,Place,Venue,Location"
16,DBPEDIA_ID/Filoil_Flying_V_Center,"ArchitecturalStructure,Place,Venue,Location"
17,DBPEDIA_ID/Garneau_Theatre,"ArchitecturalStructure,Place,Venue,Location,Theatre"
18,DBPEDIA_ID/Globe_Theatre_(Newcastle_Street),"ArchitecturalStructure,Place,Venue,Location"
19,DBPEDIA_ID/Grill_Music_Venue,"ArchitecturalStructure,Place,Venue,Location"
20,DBPEDIA_ID/Hare_Field,"ArchitecturalStructure,Place,Venue,Location"
21,DBPEDIA_ID/Heaven_(nightclub),"ArchitecturalStructure,Place,Venue,Location"
22,DBPEDIA_ID/Herbst_Theatre,"ArchitecturalStructure,Place,Venue,Location,Theatre"
23,DBPEDIA_ID/Hippodrome_Theatre_(Baltimore),"ArchitecturalStructure,Place,Venue,Location,Theatre"
24,DBPEDIA_ID/Home_(nightclub),"ArchitecturalStructure,Place,Venue,Location"
25,DBPEDIA_ID/Hulme_Hippodrome,"ArchitecturalStructure,Place,Venue,Location"
26,"DBPEDIA_ID/Imperial_Theater,_Copenhagen","ArchitecturalStructure,Place,Venue,Location"
27,DBPEDIA_ID/John_Clark_Field,"ArchitecturalStructure,Place,Venue,Location"
28,DBPEDIA_ID/Karma_Nightclub_&_Cabaret,"ArchitecturalStructure,Place,Venue,Location"
29,DBPEDIA_ID/Korakuen_Velodrome,"ArchitecturalStructure,Place,Venue,Location"
30,DBPEDIA_ID/Le_Trianon_(theatre),"ArchitecturalStructure,Place,Venue,Location,Theatre"
31,"DBPEDIA_ID/Lugnet,_Falun","ArchitecturalStructure,Place,Venue,Location"
32,DBPEDIA_ID/Lyric_Theatre_(1903_New_York_City),"ArchitecturalStructure,Place,Venue,Location,Theatre"
33,DBPEDIA_ID/Lyric_Theatre_(1998_New_York_City),"ArchitecturalStructure,Place,Venue,Location"
34,DBPEDIA_ID/Lyric_Theatre_(Hammersmith),"ArchitecturalStructure,Place,Venue,Location"
35,"DBPEDIA_ID/Lyric_Theatre_(Kansas_City,_Missouri)","ArchitecturalStructure,Place,Venue,Location,Theatre"
36,DBPEDIA_ID/MCS_Rukh,"ArchitecturalStructure,Place,Venue,Location"
37,MSV-Arena,"ArchitecturalStructure,Place,Venue,Location"
38,DBPEDIA_ID/Market_Street_Cinema,"ArchitecturalStructure,Place,Venue,Location,Theatre"
39,"DBPEDIA_ID/Memorial_Auditorium_(Louisville,_Kentucky)","ArchitecturalStructure,Place,Venue,Location,Theatre"
40,DBPEDIA_ID/Mojo_Club,"ArchitecturalStructure,Place,Venue,Location"
41,DBPEDIA_ID/Morton_H._Meyerson_Symphony_Center,"ArchitecturalStructure,Place,Venue,Location"
42,DBPEDIA_ID/Opera_Comique,"ArchitecturalStructure,Place,Venue,Location"
43,"DBPEDIA_ID/Orpheum_Theater_(Flagstaff,_Arizona)","ArchitecturalStructure,Place,Venue,Location,Theatre"
44,DBPEDIA_ID/Orpheum_Theatre_(Boston),"ArchitecturalStructure,Place,Venue,Location,Theatre"
45,DBPEDIA_ID/Orpheum_Theatre_(Los_Angeles),"ArchitecturalStructure,Place,Venue,Location"
46,"DBPEDIA_ID/Orpheum_Theatre_(Madison,_Wisconsin)","ArchitecturalStructure,Place,Venue,Location,Theatre"
47,DBPEDIA_ID/Orpheum_Theatre_(Manhattan),"ArchitecturalStructure,Place,Venue,Location,Theatre"
48,"DBPEDIA_ID/Orpheum_Theatre_(New_Bedford,_Massachusetts)","ArchitecturalStructure,Place,Venue,Location"
49,DBPEDIA_ID/Orpheum_Theatre_(Omaha),"ArchitecturalStructure,Place,Venue,Location,Theatre"
50,"DBPEDIA_ID/Orpheum_Theatre_(Phoenix,_Arizona)","ArchitecturalStructure,Place,Venue,Location,Theatre"
51,DBPEDIA_ID/Orpheum_Theatre_(San_Francisco),"ArchitecturalStructure,Place,Venue,Location,Theatre"
52,DBPEDIA_ID/Palais_des_Sports_de_Pau,"ArchitecturalStructure,Place,Venue,Location"
53,DBPEDIA_ID/Palais_des_sports_de_Marseille,"ArchitecturalStructure,Place,Venue,Location"
54,DBPEDIA_ID/Pantages_Theatre_(Hollywood),"ArchitecturalStructure,Place,Venue,Location"
55,DBPEDIA_ID/Pantages_Theatre_(Minneapolis),"ArchitecturalStructure,Place,Venue,Location,Theatre"
56,DBPEDIA_ID/Pavilion_Theatre_(Bournemouth),"ArchitecturalStructure,Place,Venue,Location"
57,DBPEDIA_ID/Pendle_Hippodrome_Theatre,"ArchitecturalStructure,Place,Venue,Location"
58,DBPEDIA_ID/Perth_Entertainment_Centre,"ArchitecturalStructure,Place,Venue,Location"
59,DBPEDIA_ID/Princes_Park_(Dartford),"ArchitecturalStructure,Place,Venue,Location"
60,DBPEDIA_ID/Queen's_Park_Hippodrome,"ArchitecturalStructure,Place,Venue,Location"
61,DBPEDIA_ID/Richard_Rodgers_Theatre,"ArchitecturalStructure,Place,Venue,Location"
62,DBPEDIA_ID/Riverbank_Arts_Centre,"ArchitecturalStructure,Place,Venue,Location"
63,DBPEDIA_ID/Rizal_Memorial_Sports_Complex,"ArchitecturalStructure,Place,Venue,Location"
64,DBPEDIA_ID/Royal_Hippodrome_Theatre,"ArchitecturalStructure,Place,Venue,Location"
65,DBPEDIA_ID/Royce_Hall,"ArchitecturalStructure,Place,Venue,Location,Theatre"
66,DBPEDIA_ID/Shaftesbury_Theatre,"ArchitecturalStructure,Place,Venue,Location"
67,DBPEDIA_ID/Skoda_Xanthi_Arena,"ArchitecturalStructure,Place,Venue,Location"
68,DBPEDIA_ID/St._Jakob_Stadium,"ArchitecturalStructure,Place,Venue,Location"
69,DBPEDIA_ID/Stephen_Joseph_Theatre,"ArchitecturalStructure,Place,Venue,Location"
70,DBPEDIA_ID/Studio_Theatre_(Brighton),"ArchitecturalStructure,Place,Venue,Location"
71,DBPEDIA_ID/Sydney_Lyric,"ArchitecturalStructure,Place,Venue,Location"
72,DBPEDIA_ID/Tavastia_Club,"ArchitecturalStructure,Place,Venue,Location"
73,"DBPEDIA_ID/The_Anvil,_Basingstoke","ArchitecturalStructure,Place,Venue,Location"
74,DBPEDIA_ID/The_Chameleon_Club,"ArchitecturalStructure,Place,Venue,Location"
75,"DBPEDIA_ID/The_Dell,_Kingussie","ArchitecturalStructure,Place,Venue,Location"
76,DBPEDIA_ID/The_Flamingo_Club,"ArchitecturalStructure,Place,Venue,Location,Theatre"
77,DBPEDIA_ID/The_Space_(Connecticut),"ArchitecturalStructure,Place,Venue,Location"
78,DBPEDIA_ID/The_Space_(Theatre),"ArchitecturalStructure,Place,Venue,Location"
79,DBPEDIA_ID/The_Tote_Hotel,"ArchitecturalStructure,Place,Venue,Location"
80,DBPEDIA_ID/Thorp_Arch_(training_ground),"ArchitecturalStructure,Place,Venue,Location"
81,DBPEDIA_ID/Théâtre_de_l'Atelier,"ArchitecturalStructure,Place,Venue,Location,Theatre"
82,"DBPEDIA_ID/Unity_Theatre,_London","ArchitecturalStructure,Place,Venue,Location,Theatre"
83,DBPEDIA_ID/Vivian_Beaumont_Theater,"ArchitecturalStructure,Place,Venue,Location,Theatre"
84,DBPEDIA_ID/Wang_Theatre,"ArchitecturalStructure,Place,Venue,Location"
85,DBPEDIA_ID/Water_Street_Music_Hall,"ArchitecturalStructure,Place,Venue,Location"
86,DBPEDIA_ID/Žalgiris_Stadium,"ArchitecturalStructure,Place,Venue,Location"
87,DBPEDIA_ID/Antoinette_Hatfield_Hall,"ArchitecturalStructure,Place,Venue,Location,Theatre"
88,DBPEDIA_ID/Doha_Stadium,"ArchitecturalStructure,Place,Venue,Location"
89,DBPEDIA_ID/Goodwin_Sports_Centre,"ArchitecturalStructure,Place,Venue,Location"
