,entity,classes
0,DBPEDIA_ID/Asteroids_(video_game),"VideoGame,Work,Software"
1,DBPEDIA_ID/Bubble_Bobble,"VideoGame,Work,Software"
2,DBPEDIA_ID/Castle_of_the_Winds,"VideoGame,Work,Software"
3,DBPEDIA_ID/Chrono_Cross,"VideoGame,Work,Software"
4,DBPEDIA_ID/Chrono_Trigger,"VideoGame,Work,Software"
5,DBPEDIA_ID/Civilization_(video_game),"VideoGame,Work,Software"
6,Counter-Strike,"VideoGame,Work,Software"
7,DBPEDIA_ID/Day_of_the_Tentacle,"VideoGame,Work,Software"
8,DBPEDIA_ID/Deus_Ex,"VideoGame,Work,Software"
9,DBPEDIA_ID/Diablo_II,"VideoGame,Work,Software"
10,DBPEDIA_ID/Doom_(1993_video_game),"VideoGame,Work,Software"
11,DBPEDIA_ID/Duck_Hunt,"VideoGame,Work,Software"
12,DBPEDIA_ID/Duke_Nukem_3D,"VideoGame,Work,Software"
13,EverQuest,"VideoGame,Work,Software"
14,DBPEDIA_ID/F-Zero:_Maximum_Velocity,"VideoGame,Work,Software"
15,DBPEDIA_ID/Gradius_(video_game),"VideoGame,Work,Software"
16,DBPEDIA_ID/Heretic_(video_game),"VideoGame,Work,Software"
17,DBPEDIA_ID/Heretic_II,"VideoGame,Work,Software"
18,DBPEDIA_ID/Hexen:_Beyond_Heretic,"VideoGame,Work,Software"
19,DBPEDIA_ID/Hexen_II,"VideoGame,Work,Software"
20,DBPEDIA_ID/Hunt_the_Wumpus,"VideoGame,Work,Software"
21,DBPEDIA_ID/Kid_Icarus,"VideoGame,Work,Software"
22,LambdaMOO,"VideoGame,Work,Software"
23,DBPEDIA_ID/Maniac_Mansion,"VideoGame,Work,Software"
24,Neopets,"VideoGame,Work,Software"
25,DBPEDIA_ID/Nights_into_Dreams...,"VideoGame,Work,Software"
26,Pong,"VideoGame,Work,Software"
27,DBPEDIA_ID/Puzzle_Bobble,"VideoGame,Work,Software"
28,DBPEDIA_ID/Quake_(video_game),"VideoGame,Work,Software"
29,DBPEDIA_ID/Quake_II,"VideoGame,Work,Software"
30,DBPEDIA_ID/Quake_III_Arena,"VideoGame,Work,Software"
31,R-Type,"VideoGame,Work,Software"
32,DBPEDIA_ID/Radical_Dreamers,"VideoGame,Work,Software"
33,DBPEDIA_ID/Red_Faction,"VideoGame,Work,Software"
34,DBPEDIA_ID/Return_to_Castle_Wolfenstein,"VideoGame,Work,Software"
