,entity,classes
0,DBPEDIA_ID/Eiko_Masuyama,"Person,VoiceActor,Actor,Agent,Artist"
1,DBPEDIA_ID/Emi_Nitta,"Person,VoiceActor,Actor,Agent,Artist"
2,DBPEDIA_ID/Hiroko_Taguchi,"Person,VoiceActor,Actor,Agent,Artist"
3,DBPEDIA_ID/Hisako_Kyōda,"Person,VoiceActor,Actor,Agent,Artist"
4,DBPEDIA_ID/Kaoru_Fujino,"Person,VoiceActor,Actor,Agent,Artist"
5,DBPEDIA_ID/Noriko_Ohara,"Person,VoiceActor,Actor,Agent,Artist"
6,DBPEDIA_ID/Omi_Minami,"Person,VoiceActor,Actor,Agent,Artist"
7,DBPEDIA_ID/Runa_Akiyama,"Person,VoiceActor,Actor,Agent,Artist"
8,DBPEDIA_ID/Shinji_Kawada,"Person,VoiceActor,Actor,Agent,Artist"
9,DBPEDIA_ID/Yumiko_Hosono,"Person,VoiceActor,Actor,Agent,Artist"
10,DBPEDIA_ID/Yuriko_Hishimi,"Person,VoiceActor,Actor,Agent,Artist"
11,DBPEDIA_ID/Yuriko_Yamaguchi_(voice_actress),"Person,VoiceActor,Actor,Agent,Artist"
12,DBPEDIA_ID/Akari_Hibino,"Person,VoiceActor,Actor,Agent,Artist"
13,DBPEDIA_ID/Minoru_Shiraishi,"Person,VoiceActor,Actor,Agent,Artist"
14,DBPEDIA_ID/Rie_Ishizuka,"Person,VoiceActor,Actor,Agent,Artist"
15,DBPEDIA_ID/Rie_Kanda,"Person,VoiceActor,Actor,Agent,Artist"
16,DBPEDIA_ID/Rie_Nakagawa,"Person,VoiceActor,Actor,Agent,Artist"
17,DBPEDIA_ID/Shino_Kakinuma,"Person,VoiceActor,Actor,Agent,Artist"
18,DBPEDIA_ID/Tsutomu_Kashiwakura,"Person,VoiceActor,Actor,Agent,Artist"
19,DBPEDIA_ID/Yura_Hinata,"Person,VoiceActor,Actor,Agent,Artist"
20,DBPEDIA_ID/Yurika_Hino,"Person,VoiceActor,Actor,Agent,Artist"
21,DBPEDIA_ID/Yurina_Hase,"Person,VoiceActor,Actor,Agent,Artist"
22,DBPEDIA_ID/Kanako_Sakai,"Person,VoiceActor,Actor,Agent,Artist"
23,DBPEDIA_ID/Mari_Mashiba,"Person,VoiceActor,Actor,Agent,Artist"
24,DBPEDIA_ID/Naomi_Wakabayashi,"Person,VoiceActor,Actor,Agent,Artist"
25,DBPEDIA_ID/Wakana_Yamazaki,"Person,VoiceActor,Actor,Agent,Artist"
26,DBPEDIA_ID/Keiko_Aizawa,"Person,VoiceActor,Actor,Agent,Artist"
27,DBPEDIA_ID/Mai_Goto_(voice_actress),"Person,VoiceActor,Actor,Agent,Artist"
28,DBPEDIA_ID/Murasaki_Wakaba,"Person,VoiceActor,Actor,Agent,Artist"
29,DBPEDIA_ID/Saki_Nakajima_(voice_actress),"Person,VoiceActor,Actor,Agent,Artist"
30,DBPEDIA_ID/Sayaka_Kinoshita,"Person,VoiceActor,Actor,Agent,Artist"
31,DBPEDIA_ID/Sayaka_Kobayashi,"Person,VoiceActor,Actor,Agent,Artist"
32,DBPEDIA_ID/Shinichiro_Ohta,"Person,VoiceActor,Actor,Agent,Artist"
33,DBPEDIA_ID/Toshiya_Ueda,"Person,VoiceActor,Actor,Agent,Artist"
34,DBPEDIA_ID/Yasunori_Masutani,"Person,VoiceActor,Actor,Agent,Artist"
35,DBPEDIA_ID/Erina_Yamazaki,"Person,VoiceActor,Actor,Agent,Artist"
36,DBPEDIA_ID/Minori_Matsushima,"Person,VoiceActor,Actor,Agent,Artist"
37,DBPEDIA_ID/Takumi_Yamazaki,"Person,VoiceActor,Actor,Agent,Artist"
38,DBPEDIA_ID/Kazue_Ikura,"Person,VoiceActor,Actor,Agent,Artist"
39,DBPEDIA_ID/Ai_Tokunaga,"Person,VoiceActor,Actor,Agent,Artist"
40,DBPEDIA_ID/Aya_Uchida,"Person,VoiceActor,Actor,Agent,Artist"
41,DBPEDIA_ID/Azusa_Kataoka,"Person,VoiceActor,Actor,Agent,Artist"
42,DBPEDIA_ID/Michitaka_Kobayashi,"Person,VoiceActor,Actor,Agent,Artist"
43,DBPEDIA_ID/Kazuko_Yanaga,"Person,VoiceActor,Actor,Agent,Artist"
44,DBPEDIA_ID/Kazuyuki_Sogabe,"Person,VoiceActor,Actor,Agent,Artist"
45,DBPEDIA_ID/Tamaki_Nakanishi,"Person,VoiceActor,Actor,Agent,Artist"
46,DBPEDIA_ID/Tomoyuki_Dan,"Person,VoiceActor,Actor,Agent,Artist"
47,DBPEDIA_ID/Yoshio_Kawai,"Person,VoiceActor,Actor,Agent,Artist"
48,DBPEDIA_ID/Yuka_Koyama,"Person,VoiceActor,Actor,Agent,Artist"
49,DBPEDIA_ID/Yukiko_Iwai,"Person,VoiceActor,Actor,Agent,Artist"
50,DBPEDIA_ID/Yūya_Uchida_(voice_actor),"Person,VoiceActor,Actor,Agent,Artist"
51,DBPEDIA_ID/Fushigi_Yamada,"Person,VoiceActor,Actor,Agent,Artist"
52,DBPEDIA_ID/Kurumi_Mamiya,"Person,VoiceActor,Actor,Agent,Artist"
53,DBPEDIA_ID/Yūto_Kazama,"Person,VoiceActor,Actor,Agent,Artist"
54,DBPEDIA_ID/Marina_Ōno,"Person,VoiceActor,Actor,Agent,Artist"
55,DBPEDIA_ID/Yukiko_Takaguchi,"Person,VoiceActor,Actor,Agent,Artist"
56,DBPEDIA_ID/Ryohei_Odai,"Person,VoiceActor,Actor,Agent,Artist"
57,DBPEDIA_ID/Asuka_Ōgame,"Person,VoiceActor,Actor,Agent,Artist"
58,DBPEDIA_ID/Shōto_Kashii,"Person,VoiceActor,Actor,Agent,Artist"
59,DBPEDIA_ID/Ari_Ozawa,"Person,VoiceActor,Actor,Agent,Artist"
60,DBPEDIA_ID/Kenji_Roa,"Person,VoiceActor,Actor,Agent,Artist"
61,DBPEDIA_ID/Masanori_Ikeda,"Person,VoiceActor,Actor,Agent,Artist"
62,DBPEDIA_ID/Mayuki_Makiguchi,"Person,VoiceActor,Actor,Agent,Artist"
63,DBPEDIA_ID/Tsuyoshi_Koyama,"Person,VoiceActor,Actor,Agent,Artist"
64,DBPEDIA_ID/Yuri_Yamaoka,"Person,VoiceActor,Actor,Agent,Artist"
65,DBPEDIA_ID/Yurika_Endō,"Person,VoiceActor,Actor,Agent,Artist"
66,DBPEDIA_ID/Yūki_Kaneko,"Person,VoiceActor,Actor,Agent,Artist"
67,DBPEDIA_ID/Kyousei_Tsukui,"Person,VoiceActor,Actor,Agent,Artist"
68,DBPEDIA_ID/Mioko_Fujiwara,"Person,VoiceActor,Actor,Agent,Artist"
69,DBPEDIA_ID/Asuka_Tanii,"Person,VoiceActor,Actor,Agent,Artist"
70,DBPEDIA_ID/Erina_Nakayama,"Person,VoiceActor,Actor,Agent,Artist"
71,DBPEDIA_ID/Taishi_Murata,"Person,VoiceActor,Actor,Agent,Artist"
72,DBPEDIA_ID/Ao_Takahashi,"Person,VoiceActor,Actor,Agent,Artist"
73,DBPEDIA_ID/Ayaka_Hibiki,"Person,VoiceActor,Actor,Agent,Artist"
74,DBPEDIA_ID/Chihiro_Suzuki__Japan-voice-actor-stub__1,"Person,VoiceActor,Actor,Agent,Artist"
75,DBPEDIA_ID/Konami_Yoshida,"Person,VoiceActor,Actor,Agent,Artist"
76,DBPEDIA_ID/Nami_Miyahara__Japan-voice-actor-stub__1,"Person,VoiceActor,Actor,Agent,Artist"
77,DBPEDIA_ID/Rina_Hidaka,"Person,VoiceActor,Actor,Agent,Artist"
78,DBPEDIA_ID/Takashi_Onozuka,"Person,VoiceActor,Actor,Agent,Artist"
79,DBPEDIA_ID/Hiroko_Kasahara,"Person,VoiceActor,Actor,Agent,Artist"
80,DBPEDIA_ID/Inuko_Inuyama,"Person,VoiceActor,Actor,Agent,Artist"
81,DBPEDIA_ID/Yōko_Asada,"Person,VoiceActor,Actor,Agent,Artist"
82,DBPEDIA_ID/Yūki_Masuda,"Person,VoiceActor,Actor,Agent,Artist"
83,DBPEDIA_ID/Dai_Matsumoto,"Person,VoiceActor,Actor,Agent,Artist"
84,DBPEDIA_ID/Kumiko_Takizawa,"Person,VoiceActor,Actor,Agent,Artist"
85,DBPEDIA_ID/Mami_Kosuge,"Person,VoiceActor,Actor,Agent,Artist"
86,DBPEDIA_ID/Mariko_Suzuki,"Person,VoiceActor,Actor,Agent,Artist"
87,DBPEDIA_ID/Miho_Yamada,"Person,VoiceActor,Actor,Agent,Artist"
88,DBPEDIA_ID/Ayaka_Kimura_(voice_actress),"Person,VoiceActor,Actor,Agent,Artist"
89,DBPEDIA_ID/Katsue_Miwa,"Person,VoiceActor,Actor,Agent,Artist"
90,DBPEDIA_ID/Kan_Tanaka,"Person,VoiceActor,Actor,Agent,Artist"
91,DBPEDIA_ID/Sanae_Miyuki,"Person,VoiceActor,Actor,Agent,Artist"
92,DBPEDIA_ID/Azumi_Asakura,"Person,VoiceActor,Actor,Agent,Artist"
93,DBPEDIA_ID/Sachika_Misawa__Japan-voice-actor-stub__1,"Person,VoiceActor,Actor,Agent,Artist"
94,DBPEDIA_ID/Kazumi_Tanaka,"Person,VoiceActor,Actor,Agent,Artist"
95,DBPEDIA_ID/Nobuyo_Ōyama,"Person,VoiceActor,Actor,Agent,Artist"
96,DBPEDIA_ID/Yuka_Imai,"Person,VoiceActor,Actor,Agent,Artist"
97,DBPEDIA_ID/Yuri_Shiratori,"Person,VoiceActor,Actor,Agent,Artist"
98,DBPEDIA_ID/Matsumi_Ōshiro,"Person,VoiceActor,Actor,Agent,Artist"
99,DBPEDIA_ID/Chinami_Nishimura,"Person,VoiceActor,Actor,Agent,Artist"
100,DBPEDIA_ID/Yūna_Inamura,"Person,VoiceActor,Actor,Agent,Artist"
101,DBPEDIA_ID/Takashi_Aoyagi,"Person,VoiceActor,Actor,Agent,Artist"
102,DBPEDIA_ID/Ayaka_Fukuhara,"Person,VoiceActor,Actor,Agent,Artist"
103,DBPEDIA_ID/Himika_Akaneya,"Person,VoiceActor,Actor,Agent,Artist"
104,DBPEDIA_ID/Kiyono_Yasuno,"Person,VoiceActor,Actor,Agent,Artist"
105,DBPEDIA_ID/Masumi_Tazawa,"Person,VoiceActor,Actor,Agent,Artist"
106,DBPEDIA_ID/Mikako_Izawa,"Person,VoiceActor,Actor,Agent,Artist"
107,DBPEDIA_ID/Yuuma_Uchida,"Person,VoiceActor,Actor,Agent,Artist"
108,DBPEDIA_ID/Ayaka_Asai,"Person,VoiceActor,Actor,Agent,Artist"
109,DBPEDIA_ID/Ayaka_Imamura,"Person,VoiceActor,Actor,Agent,Artist"
110,DBPEDIA_ID/Ayaka_Suwa,"Person,VoiceActor,Actor,Agent,Artist"
111,DBPEDIA_ID/Binbin_Takaoka,"Person,VoiceActor,Actor,Agent,Artist"
112,DBPEDIA_ID/Haruka_Yoshimura,"Person,VoiceActor,Actor,Agent,Artist"
113,DBPEDIA_ID/Kōtarō_Nishiyama,"Person,VoiceActor,Actor,Agent,Artist"
114,DBPEDIA_ID/Machico_(singer),"Person,VoiceActor,Actor,Agent,Artist"
115,DBPEDIA_ID/Rikako_Yamaguchi,"Person,VoiceActor,Actor,Agent,Artist"
116,DBPEDIA_ID/Sachi_Kokuryu,"Person,VoiceActor,Actor,Agent,Artist"
117,DBPEDIA_ID/Shunsuke_Shima,"Person,VoiceActor,Actor,Agent,Artist"
118,DBPEDIA_ID/Tomomi_Isomura,"Person,VoiceActor,Actor,Agent,Artist"
119,DBPEDIA_ID/Yasuaki_Takumi,"Person,VoiceActor,Actor,Agent,Artist"
120,DBPEDIA_ID/Yumiri_Hanamori,"Person,VoiceActor,Actor,Agent,Artist"
121,DBPEDIA_ID/Yū_Serizawa,"Person,VoiceActor,Actor,Agent,Artist"
122,DBPEDIA_ID/Tamaki_Matsumoto,"Person,VoiceActor,Actor,Agent,Artist"
123,DBPEDIA_ID/Yuuki_Matsuda,"Person,VoiceActor,Actor,Agent,Artist"
124,DBPEDIA_ID/Miki_Takahashi,"Person,VoiceActor,Actor,Agent,Artist"
125,DBPEDIA_ID/Aimi_(actress),"Person,VoiceActor,Actor,Agent,Artist"
126,DBPEDIA_ID/Hisayo_Mochizuki,"Person,VoiceActor,Actor,Agent,Artist"
127,DBPEDIA_ID/Issei_Miyazaki,"Person,VoiceActor,Actor,Agent,Artist"
128,DBPEDIA_ID/Junko_Kusayanagi,"Person,VoiceActor,Actor,Agent,Artist"
129,DBPEDIA_ID/Sayuri_Hara,"Person,VoiceActor,Actor,Agent,Artist"
130,DBPEDIA_ID/Takayasu_Usui,"Person,VoiceActor,Actor,Agent,Artist"
131,DBPEDIA_ID/Akiko_Kawase_(actress),"Person,VoiceActor,Actor,Agent,Artist"
132,DBPEDIA_ID/Haruka_Terui,"Person,VoiceActor,Actor,Agent,Artist"
133,DBPEDIA_ID/Naoko_Watanabe_(voice_actress),"Person,VoiceActor,Actor,Agent,Artist"
134,DBPEDIA_ID/Shiho_Hisajima,"Person,VoiceActor,Actor,Agent,Artist"
135,DBPEDIA_ID/Takayuki_Kondō,"Person,VoiceActor,Actor,Agent,Artist"
136,DBPEDIA_ID/Mika_Itō,"Person,VoiceActor,Actor,Agent,Artist"
137,DBPEDIA_ID/Fuyuka_Ōura,"Person,VoiceActor,Actor,Agent,Artist"
138,DBPEDIA_ID/Nana_Yamaguchi,"Person,VoiceActor,Actor,Agent,Artist"
139,DBPEDIA_ID/Juri_Kimura,"Person,VoiceActor,Actor,Agent,Artist"
140,DBPEDIA_ID/Nina_Kumagaya,"Person,VoiceActor,Actor,Agent,Artist"
141,DBPEDIA_ID/Keiko_Suzuki,"Person,VoiceActor,Actor,Agent,Artist"
142,DBPEDIA_ID/Nao_Minakami__Japan-voice-actor-stub__1,"Person,VoiceActor,Actor,Agent,Artist"
143,DBPEDIA_ID/Minami_Tsuda,"Person,VoiceActor,Actor,Agent,Artist"
144,DBPEDIA_ID/Asuka_Nishi,"Person,VoiceActor,Actor,Agent,Artist"
145,DBPEDIA_ID/Kenichi_Ono,"Person,VoiceActor,Actor,Agent,Artist"
146,DBPEDIA_ID/Shigeru_Shibuya,"Person,VoiceActor,Actor,Agent,Artist"
147,DBPEDIA_ID/Yayoi_Jinguji,"Person,VoiceActor,Actor,Agent,Artist"
148,DBPEDIA_ID/Katashi_Ishizuka,"Person,VoiceActor,Actor,Agent,Artist"
149,DBPEDIA_ID/Sara_Nakayama,"Person,VoiceActor,Actor,Agent,Artist"
150,DBPEDIA_ID/Shizuka_Ishigami,"Person,VoiceActor,Actor,Agent,Artist"
151,DBPEDIA_ID/Taiki_Matsuno,"Person,VoiceActor,Actor,Agent,Artist"
152,DBPEDIA_ID/Yūki_Tokiwa,"Person,VoiceActor,Actor,Agent,Artist"
153,DBPEDIA_ID/Ayana_Sasagawa,"Person,VoiceActor,Actor,Agent,Artist"
154,DBPEDIA_ID/Ayano_Niina,"Person,VoiceActor,Actor,Agent,Artist"
155,DBPEDIA_ID/Fuyumi_Shiraishi,"Person,VoiceActor,Actor,Agent,Artist"
156,DBPEDIA_ID/Hayashiya_Shōzō_IX,"Person,VoiceActor,Actor,Agent,Artist"
157,DBPEDIA_ID/Hideyuki_Umezu,"Person,VoiceActor,Actor,Agent,Artist"
158,DBPEDIA_ID/Hirokazu_Hiramatsu,"Person,VoiceActor,Actor,Agent,Artist"
159,DBPEDIA_ID/Kyōsuke_Ikeda,"Person,VoiceActor,Actor,Agent,Artist"
160,DBPEDIA_ID/Mahito_Tsujimura,"Person,VoiceActor,Actor,Agent,Artist"
161,DBPEDIA_ID/Masahiko_Tanaka,"Person,VoiceActor,Actor,Agent,Artist"
162,DBPEDIA_ID/Maya_Okamoto,"Person,VoiceActor,Actor,Agent,Artist"
163,DBPEDIA_ID/Narumi_Tsunoda,"Person,VoiceActor,Actor,Agent,Artist"
164,DBPEDIA_ID/Saburo_Kamei,"Person,VoiceActor,Actor,Agent,Artist"
165,DBPEDIA_ID/Shiho_Kawaragi,"Person,VoiceActor,Actor,Agent,Artist"
166,DBPEDIA_ID/Tamao_Hayashi,"Person,VoiceActor,Actor,Agent,Artist"
167,DBPEDIA_ID/Tamao_Satō,"Person,VoiceActor,Actor,Agent,Artist"
168,DBPEDIA_ID/Tomoko_Akiya,"Person,VoiceActor,Actor,Agent,Artist"
169,DBPEDIA_ID/Toshiharu_Sakurai,"Person,VoiceActor,Actor,Agent,Artist"
170,DBPEDIA_ID/Yasuo_Iwata,"Person,VoiceActor,Actor,Agent,Artist"
171,DBPEDIA_ID/Yasuo_Tanaka_(voice_actor),"Person,VoiceActor,Actor,Agent,Artist"
172,DBPEDIA_ID/Yukie_Maeda,"Person,VoiceActor,Actor,Agent,Artist"
173,DBPEDIA_ID/Atsushi_Tamaru,"Person,VoiceActor,Actor,Agent,Artist"
174,DBPEDIA_ID/Mami_Horikoshi,"Person,VoiceActor,Actor,Agent,Artist"
175,DBPEDIA_ID/Akio_Nojima,"Person,VoiceActor,Actor,Agent,Artist"
176,DBPEDIA_ID/Chieko_Honda,"Person,VoiceActor,Actor,Agent,Artist"
177,DBPEDIA_ID/Katsuji_Mori,"Person,VoiceActor,Actor,Agent,Artist"
178,DBPEDIA_ID/Kazue_Komiya,"Person,VoiceActor,Actor,Agent,Artist"
179,DBPEDIA_ID/Konomi_Maeda,"Person,VoiceActor,Actor,Agent,Artist"
180,DBPEDIA_ID/Mami_Deguchi,"Person,VoiceActor,Actor,Agent,Artist"
181,DBPEDIA_ID/Masahiro_Kobayashi_(actor),"Person,VoiceActor,Actor,Agent,Artist"
182,DBPEDIA_ID/Mayako_Nigo,"Person,VoiceActor,Actor,Agent,Artist"
183,DBPEDIA_ID/Shigeru_Nakahara,"Person,VoiceActor,Actor,Agent,Artist"
184,DBPEDIA_ID/Tomo_Saeki,"Person,VoiceActor,Actor,Agent,Artist"
185,DBPEDIA_ID/Tomoko_Maruo,"Person,VoiceActor,Actor,Agent,Artist"
186,DBPEDIA_ID/Monster_Maezuka,"Person,VoiceActor,Actor,Agent,Artist"
187,DBPEDIA_ID/Keiko_Nemoto__Japan-voice-actor-stub__1,"Person,VoiceActor,Actor,Agent,Artist"
188,DBPEDIA_ID/Moe_Toyota__Japan-voice-actor-stub__1,"Person,VoiceActor,Actor,Agent,Artist"
189,DBPEDIA_ID/Atsuko_Takahata,"Person,VoiceActor,Actor,Agent,Artist"
190,DBPEDIA_ID/Atsuko_Yuya,"Person,VoiceActor,Actor,Agent,Artist"
191,DBPEDIA_ID/Chiharu_Suzuka,"Person,VoiceActor,Actor,Agent,Artist"
192,DBPEDIA_ID/Chiharu_Tezuka,"Person,VoiceActor,Actor,Agent,Artist"
193,DBPEDIA_ID/Eriko_Hara,"Person,VoiceActor,Actor,Agent,Artist"
194,DBPEDIA_ID/Harumi_Ikoma,"Person,VoiceActor,Actor,Agent,Artist"
195,DBPEDIA_ID/Ikuo_Nishikawa,"Person,VoiceActor,Actor,Agent,Artist"
196,DBPEDIA_ID/Kaoru_Shimamura,"Person,VoiceActor,Actor,Agent,Artist"
197,DBPEDIA_ID/Kazuko_Sugiyama,"Person,VoiceActor,Actor,Agent,Artist"
198,DBPEDIA_ID/Maria_Kawamura,"Person,VoiceActor,Actor,Agent,Artist"
199,DBPEDIA_ID/Mayumi_Shintani,"Person,VoiceActor,Actor,Agent,Artist"
200,DBPEDIA_ID/Mayumi_Yamaguchi,"Person,VoiceActor,Actor,Agent,Artist"
201,DBPEDIA_ID/Mitsuaki_Hoshino,"Person,VoiceActor,Actor,Agent,Artist"
202,DBPEDIA_ID/Miyū_Tsuzurahara,"Person,VoiceActor,Actor,Agent,Artist"
203,DBPEDIA_ID/Naoko_Kouda,"Person,VoiceActor,Actor,Agent,Artist"
204,DBPEDIA_ID/Noriko_Uemura,"Person,VoiceActor,Actor,Agent,Artist"
205,DBPEDIA_ID/Sayuri_Yamauchi,"Person,VoiceActor,Actor,Agent,Artist"
206,DBPEDIA_ID/Shiori_Izawa,"Person,VoiceActor,Actor,Agent,Artist"
207,DBPEDIA_ID/Takanori_Hoshino,"Person,VoiceActor,Actor,Agent,Artist"
208,DBPEDIA_ID/Takuo_Kawamura,"Person,VoiceActor,Actor,Agent,Artist"
209,DBPEDIA_ID/Takurō_Kitagawa,"Person,VoiceActor,Actor,Agent,Artist"
210,DBPEDIA_ID/Tatsuya_Nagatomo,"Person,VoiceActor,Actor,Agent,Artist"
211,DBPEDIA_ID/Tetsuya_Iwanaga,"Person,VoiceActor,Actor,Agent,Artist"
212,DBPEDIA_ID/Yonehiko_Kitagawa,"Person,VoiceActor,Actor,Agent,Artist"
213,DBPEDIA_ID/Yuki_Masuda,"Person,VoiceActor,Actor,Agent,Artist"
214,DBPEDIA_ID/Yū_Kamonomiya,"Person,VoiceActor,Actor,Agent,Artist"
215,DBPEDIA_ID/Yū_Sugimoto,"Person,VoiceActor,Actor,Agent,Artist"
216,DBPEDIA_ID/Yūji_Fujishiro,"Person,VoiceActor,Actor,Agent,Artist"
217,DBPEDIA_ID/Yūji_Takada,"Person,VoiceActor,Actor,Agent,Artist"
218,DBPEDIA_ID/Yūko_Nagashima,"Person,VoiceActor,Actor,Agent,Artist"
219,DBPEDIA_ID/Hiromi_Tsunakake,"Person,VoiceActor,Actor,Agent,Artist"
220,DBPEDIA_ID/Eriko_Nakamura,"Person,VoiceActor,Actor,Agent,Artist"
221,DBPEDIA_ID/Miyako_Itō,"Person,VoiceActor,Actor,Agent,Artist"
222,DBPEDIA_ID/Chizuko_Hoshino,"Person,VoiceActor,Actor,Agent,Artist"
223,DBPEDIA_ID/Fumi_Hirano,"Person,VoiceActor,Actor,Agent,Artist"
224,DBPEDIA_ID/Nobunaga_Shimazaki,"Person,VoiceActor,Actor,Agent,Artist"
225,DBPEDIA_ID/Ryūsaku_Chiziwa,"Person,VoiceActor,Actor,Agent,Artist"
226,DBPEDIA_ID/Ryō_Ishihara,"Person,VoiceActor,Actor,Agent,Artist"
227,DBPEDIA_ID/Chiaki_Maeda,"Person,VoiceActor,Actor,Agent,Artist"
