,entity,classes
0,DBPEDIA_ID/Mount_Baker,"Volcano,NaturalPlace,Location,Place"
1,Beerenberg,"Volcano,NaturalPlace,Location,Place"
2,DBPEDIA_ID/Mount_Erebus,"Volcano,NaturalPlace,Location,Place"
3,DBPEDIA_ID/Demon_(volcano),"Volcano,NaturalPlace,Location,Place"
4,DBPEDIA_ID/Mount_Griggs,"Volcano,NaturalPlace,Location,Place"
5,DBPEDIA_ID/Mount_Ibu,"Volcano,NaturalPlace,Location,Place"
6,DBPEDIA_ID/Mount_Malabar,"Volcano,NaturalPlace,Location,Place"
7,DBPEDIA_ID/Mount_Mariveles,"Volcano,NaturalPlace,Location,Place"
8,DBPEDIA_ID/Mount_Pavlof,"Volcano,NaturalPlace,Location,Place"
9,DBPEDIA_ID/Mount_Santo_Tomas,"Volcano,NaturalPlace,Location,Place"
10,DBPEDIA_ID/Mount_Yasur,"Volcano,NaturalPlace,Location,Place"
11,DBPEDIA_ID/Red_Rock_Reserve,"Volcano,NaturalPlace,Location,Place"
12,DBPEDIA_ID/San_Vicente_(volcano),"Volcano,NaturalPlace,Location,Place"
13,DBPEDIA_ID/Tiger_Island,"Volcano,NaturalPlace,Location,Place"
14,DBPEDIA_ID/Volcán_Tolimán,"Volcano,NaturalPlace,Location,Place"
15,Avachinsky,"Volcano,NaturalPlace,Location,Place"
16,Cabaray,"Volcano,NaturalPlace,Location,Place"
17,Koryaksky,"Volcano,NaturalPlace,Location,Place"
18,DBPEDIA_ID/Mount_Liamuiga,"Volcano,NaturalPlace,Location,Place"
19,DBPEDIA_ID/Mount_Talang,"Volcano,NaturalPlace,Location,Place"
20,Tronador,"Volcano,NaturalPlace,Location,Place"
21,Ulawun,"Volcano,NaturalPlace,Location,Place"
22,DBPEDIA_ID/Volcán_Barú,"Volcano,NaturalPlace,Location,Place"
23,DBPEDIA_ID/Casablanca_(volcano),"Volcano,NaturalPlace,Location,Place"
24,Acatenango,"Volcano,NaturalPlace,Location,Place"
25,Acotango,"Volcano,NaturalPlace,Location,Place"
26,Almolonga,"Volcano,NaturalPlace,Location,Place"
