,entity,classes
0,DBPEDIA_ID/Brazilian_Men's_Volleyball_Superliga,"Organisation,VolleyballLeague,SportsLeague,Agent"
1,DBPEDIA_ID/Superliga_Femenina_de_Voleibol,"Organisation,VolleyballLeague,SportsLeague,Agent"
2,DBPEDIA_ID/Superliga_de_Voleibol_Masculina,"Organisation,VolleyballLeague,SportsLeague,Agent"
3,DBPEDIA_ID/FIVB_Volleyball_World_Grand_Champions_Cup,"Organisation,VolleyballLeague,SportsLeague,Agent"
4,DBPEDIA_ID/Elitserien_(women's_volleyball),"Organisation,VolleyballLeague,SportsLeague,Agent"
5,DBPEDIA_ID/Proliga_(Indonesia),"Organisation,VolleyballLeague,SportsLeague,Agent"
6,DBPEDIA_ID/CEV_Women's_Champions_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
7,DBPEDIA_ID/Portuguese_Volleyball_First_Division,"Organisation,VolleyballLeague,SportsLeague,Agent"
8,DBPEDIA_ID/Women's_CEV_Cup,"Organisation,VolleyballLeague,SportsLeague,Agent"
9,DBPEDIA_ID/Azerbaijan_Women's_Volleyball_Super_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
10,DBPEDIA_ID/Istanbul_Men's_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
11,DBPEDIA_ID/Istanbul_Women's_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
12,DBPEDIA_ID/Liga_Argentina_de_Voleibol_–_Serie_A1,"Organisation,VolleyballLeague,SportsLeague,Agent"
13,DBPEDIA_ID/Turkish_Men's_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
14,DBPEDIA_ID/Turkish_Women's_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
15,DBPEDIA_ID/2012–13_Turkish_Women's_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
16,DBPEDIA_ID/Minas_Gerais_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
17,DBPEDIA_ID/NCAA_Division_II_Women's_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
18,DBPEDIA_ID/Volleyball_Division_2_(Pro_Challenge),"Organisation,VolleyballLeague,SportsLeague,Agent"
19,DBPEDIA_ID/2013–14_Azerbaijan_Women's_Volleyball_Super_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
20,DBPEDIA_ID/FIVB_Volleyball_Men's_U23_World_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
21,DBPEDIA_ID/Montenegrin_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
22,DBPEDIA_ID/Supercopa_de_España_de_Voleibol,"Organisation,VolleyballLeague,SportsLeague,Agent"
23,DBPEDIA_ID/Supercopa_de_España_de_Voleibol_Femenino,"Organisation,VolleyballLeague,SportsLeague,Agent"
24,DBPEDIA_ID/Volleyball_Thai-Denmark_Super_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
25,DBPEDIA_ID/African_Clubs_Championship_(volleyball),"Organisation,VolleyballLeague,SportsLeague,Agent"
26,DBPEDIA_ID/Greek_Volleyball_Super_Cup,"Organisation,VolleyballLeague,SportsLeague,Agent"
27,PlusLiga,"Organisation,VolleyballLeague,SportsLeague,Agent"
28,DBPEDIA_ID/Girl's_Africa_Volleyball_Championship_U18,"Organisation,VolleyballLeague,SportsLeague,Agent"
29,DBPEDIA_ID/Baltic_Men_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
30,DBPEDIA_ID/FIVB_Volleyball_World_Cup,"Organisation,VolleyballLeague,SportsLeague,Agent"
31,DBPEDIA_ID/Tunisian_Men's_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
32,DBPEDIA_ID/Chinese_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
33,DBPEDIA_ID/Superliga_2_Femenina_de_Voleibol,"Organisation,VolleyballLeague,SportsLeague,Agent"
34,DBPEDIA_ID/FIVB_Volleyball_World_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
35,DBPEDIA_ID/UAAP_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
36,DBPEDIA_ID/Turkish_Women's_Volleyball_Cup,"Organisation,VolleyballLeague,SportsLeague,Agent"
37,DBPEDIA_ID/2015–16_Azerbaijan_Women's_Volleyball_Super_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
38,DBPEDIA_ID/Algerian_Men's_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
39,DBPEDIA_ID/Beach_Volleyball_Republic,"Organisation,VolleyballLeague,SportsLeague,Agent"
40,DBPEDIA_ID/FIVB_Volleyball_Men's_World_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
41,DBPEDIA_ID/FIVB_Volleyball_Women's_World_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
42,DBPEDIA_ID/Italian_Women's_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
43,DBPEDIA_ID/NCAA_Beach_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
44,DBPEDIA_ID/Polish_Men's_Volleyball_Cup,"Organisation,VolleyballLeague,SportsLeague,Agent"
45,DBPEDIA_ID/Qatari_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
46,DBPEDIA_ID/West_Midlands_Volleyball_Association,"Organisation,VolleyballLeague,SportsLeague,Agent"
47,DBPEDIA_ID/FIVB_Volleyball_Women's_U23_World_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
48,DBPEDIA_ID/Shakey's_V-League,"Organisation,VolleyballLeague,SportsLeague,Agent"
49,DBPEDIA_ID/Spikers'_Turf,"Organisation,VolleyballLeague,SportsLeague,Agent"
50,DBPEDIA_ID/NAIA_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
51,DBPEDIA_ID/FIVB_Volleyball_World_Grand_Prix,"Organisation,VolleyballLeague,SportsLeague,Agent"
52,DBPEDIA_ID/CEV_Challenge_Cup,"Organisation,VolleyballLeague,SportsLeague,Agent"
53,DBPEDIA_ID/Enterprise_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
54,DBPEDIA_ID/Brazilian_Women's_Volleyball_Superliga,"Organisation,VolleyballLeague,SportsLeague,Agent"
55,DBPEDIA_ID/Russian_Volleyball_Super_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
56,DBPEDIA_ID/Slovakia_Men's_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
57,DBPEDIA_ID/Liga_de_Voleibol_Superior_Femenino,"Organisation,VolleyballLeague,SportsLeague,Agent"
58,DBPEDIA_ID/All_Japan_Intercollegiate_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
59,DBPEDIA_ID/Dominican_Republic_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
60,DBPEDIA_ID/Superliga_2_de_Voleibol_Masculina,"Organisation,VolleyballLeague,SportsLeague,Agent"
61,DBPEDIA_ID/African_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
62,DBPEDIA_ID/African_Volleyball_Championship_U21,"Organisation,VolleyballLeague,SportsLeague,Agent"
63,DBPEDIA_ID/Greek_Women's_Volleyball_Super_Cup,"Organisation,VolleyballLeague,SportsLeague,Agent"
64,DBPEDIA_ID/A2_Ethniki_Volleyball,"Organisation,VolleyballLeague,SportsLeague,Agent"
65,DBPEDIA_ID/A2_Ethniki_Women's_Volleyball,"Organisation,VolleyballLeague,SportsLeague,Agent"
66,DBPEDIA_ID/Women's_African_Clubs_Championship_(volleyball),"Organisation,VolleyballLeague,SportsLeague,Agent"
67,DBPEDIA_ID/Association_of_Volleyball_Professionals,"Organisation,VolleyballLeague,SportsLeague,Agent"
68,DBPEDIA_ID/FIVB_Volleyball_World_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
69,DBPEDIA_ID/Midwestern_Intercollegiate_Volleyball_Association,"Organisation,VolleyballLeague,SportsLeague,Agent"
70,DBPEDIA_ID/CEV_Women's_Challenge_Cup,"Organisation,VolleyballLeague,SportsLeague,Agent"
71,DBPEDIA_ID/V.Challenge_League_(Japan),"Organisation,VolleyballLeague,SportsLeague,Agent"
72,DBPEDIA_ID/Volleyball_at_the_Philippine_National_Games,"Organisation,VolleyballLeague,SportsLeague,Agent"
73,DBPEDIA_ID/Copa_del_Rey_de_Voleibol,"Organisation,VolleyballLeague,SportsLeague,Agent"
74,DBPEDIA_ID/United_States_Professional_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
75,DBPEDIA_ID/FIVB_Volleyball_Club_World_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
76,DBPEDIA_ID/Volleyball_Thailand_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
77,DBPEDIA_ID/2012–13_Azerbaijan_Women's_Volleyball_Super_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
78,DBPEDIA_ID/Arab_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
79,DBPEDIA_ID/Arab_Youth_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
80,DBPEDIA_ID/Liga_Nacional_Superior_de_Voleibol,"Organisation,VolleyballLeague,SportsLeague,Agent"
81,DBPEDIA_ID/NCAA_Men's_Division_III_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
82,DBPEDIA_ID/Ukrainian_Men's_Volleyball_Super_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
83,DBPEDIA_ID/Ukrainian_Women's_Volleyball_Super_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
84,DBPEDIA_ID/A1_Ethniki_Volleyball,"Organisation,VolleyballLeague,SportsLeague,Agent"
85,DBPEDIA_ID/FIVB_Volleyball_Men's_U21_World_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
86,DBPEDIA_ID/FIVB_Volleyball_Women's_U20_World_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
87,DBPEDIA_ID/Arab_Clubs_Championship_(volleyball),"Organisation,VolleyballLeague,SportsLeague,Agent"
88,DBPEDIA_ID/CEV_Champions_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
89,DBPEDIA_ID/Copa_de_la_Reina_de_Voleibol,"Organisation,VolleyballLeague,SportsLeague,Agent"
90,DBPEDIA_ID/A1_Ethniki_Women's_Volleyball,"Organisation,VolleyballLeague,SportsLeague,Agent"
91,DBPEDIA_ID/Divizia_A1_(Volei_Masculin),"Organisation,VolleyballLeague,SportsLeague,Agent"
92,DBPEDIA_ID/NCAA_Division_III_Women's_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
93,DBPEDIA_ID/NCAA_Division_I_Women's_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
94,DBPEDIA_ID/V.League_(Japan),"Organisation,VolleyballLeague,SportsLeague,Agent"
95,DBPEDIA_ID/FIVB_Volleyball_Boys'_U19_World_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
96,DBPEDIA_ID/FIVB_Volleyball_Girls'_U18_World_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
97,DBPEDIA_ID/AASCA_Volleyball_Tournament,"Organisation,VolleyballLeague,SportsLeague,Agent"
98,DBPEDIA_ID/Philippine_Super_Liga,"Organisation,VolleyballLeague,SportsLeague,Agent"
99,DBPEDIA_ID/V-League_(South_Korea),"Organisation,VolleyballLeague,SportsLeague,Agent"
100,DBPEDIA_ID/Algerian_Women's_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
101,DBPEDIA_ID/NCAA_Men's_National_Collegiate_Volleyball_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
102,DBPEDIA_ID/Portuguese_Volleyball_Super_Cup,"Organisation,VolleyballLeague,SportsLeague,Agent"
103,DBPEDIA_ID/Iranian_Volleyball_Super_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
104,DBPEDIA_ID/Volleyball_League_of_Serbia,"Organisation,VolleyballLeague,SportsLeague,Agent"
105,DBPEDIA_ID/Turkish_Men's_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
106,DBPEDIA_ID/Turkish_Women's_Volleyball_League,"Organisation,VolleyballLeague,SportsLeague,Agent"
107,DBPEDIA_ID/Liga_de_Voleibol_Superior_Masculino,"Organisation,VolleyballLeague,SportsLeague,Agent"
108,DBPEDIA_ID/2014_Men's_Volleyball_Division_2_(Pro_Challenge),"Organisation,VolleyballLeague,SportsLeague,Agent"
109,DBPEDIA_ID/African_Volleyball_Championship_U19,"Organisation,VolleyballLeague,SportsLeague,Agent"
110,DBPEDIA_ID/Women's_Africa_Volleyball_Championship_U20,"Organisation,VolleyballLeague,SportsLeague,Agent"
111,DBPEDIA_ID/Elitserien_(men's_volleyball),"Organisation,VolleyballLeague,SportsLeague,Agent"
112,DBPEDIA_ID/Fit_To_Hit:_Philippine_Beach_Volleyball_Invitational,"Organisation,VolleyballLeague,SportsLeague,Agent"
113,DBPEDIA_ID/GCC_Volleyball_Club_Championship,"Organisation,VolleyballLeague,SportsLeague,Agent"
