,entity,classes
0,DBPEDIA_ID/Chirk_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
1,DBPEDIA_ID/Pennsylvania_Canal_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
2,DBPEDIA_ID/Shrewley_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
3,DBPEDIA_ID/Lapal_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
4,DBPEDIA_ID/Norwood_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
5,DBPEDIA_ID/Harecastle_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
6,DBPEDIA_ID/Wast_Hills_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
7,DBPEDIA_ID/Braunston_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
8,DBPEDIA_ID/Islington_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
9,DBPEDIA_ID/Bruce_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
10,DBPEDIA_ID/Butterley_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
11,DBPEDIA_ID/Bosporus_Water_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
12,DBPEDIA_ID/Eyre's_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
13,DBPEDIA_ID/Maida_Hill_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
14,DBPEDIA_ID/Riqueval_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
15,DBPEDIA_ID/Chalifert_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
16,DBPEDIA_ID/Netherton_Tunnel_Branch_Canal,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
17,DBPEDIA_ID/Greywell_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
18,DBPEDIA_ID/Berwick_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
19,DBPEDIA_ID/Dudley_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
20,DBPEDIA_ID/Blisworth_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
21,DBPEDIA_ID/Standedge_Tunnels,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
22,DBPEDIA_ID/Sapperton_Canal_Tunnel,"Infrastructure,WaterwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
