,entity,classes
0,DBPEDIA_ID/Darwin_Awards,"Website,Work"
1,Ethnologue,"Website,Work"
2,DBPEDIA_ID/Free_On-line_Dictionary_of_Computing,"Website,Work"
3,DBPEDIA_ID/Google_Search,"Website,Work"
4,DBPEDIA_ID/Hot_or_Not,"Website,Work"
5,MeatballWiki,"Website,Work"
6,MusicBrainz,"Website,Work"
7,DBPEDIA_ID/Project_Runeberg,"Website,Work"
8,RPGnet,"Website,Work"
9,Slashdot,"Website,Work"
10,Airliners.net,"Website,Work"
11,Ibiblio,"Website,Work"
12,DBPEDIA_ID/Mutopia_Project,"Website,Work"
13,PlanetMath,"Website,Work"
14,DBPEDIA_ID/Liberal_Democrat_Voice,"Website,Work"
15,Pogo.com,"Website,Work"
16,DBPEDIA_ID/Ricochet_(website),"Website,Work"
17,DBPEDIA_ID/World_Tibet_News,"Website,Work"
18,DBPEDIA_ID/Aardvark_(search_engine),"Website,Work"
19,AnimeSuki,"Website,Work"
20,AnyDecentMusic%3F,"Website,Work"
21,DBPEDIA_ID/Ask_Yahoo!,"Website,Work"
22,DBPEDIA_ID/Aviation_Safety_Network,"Website,Work"
23,Bartleby.com,"Website,Work"
24,BoardGameGeek,"Website,Work"
25,DBPEDIA_ID/Boy_Genius_Report,"Website,Work"
26,Clara.io,"Website,Work"
27,Cram.com,"Website,Work"
28,DBPEDIA_ID/Daily_Kos,"Website,Work"
29,DBPEDIA_ID/Delicious_(website),"Website,Work"
30,DBPEDIA_ID/Digital_Averroes_Research_Environment,"Website,Work"
31,DBPEDIA_ID/Encyclopedia_of_Earth,"Website,Work"
32,Fathom.com,"Website,Work"
33,Gmail,"Website,Work"
34,DBPEDIA_ID/Heartless_Bitches_International,"Website,Work"
35,DBPEDIA_ID/Home_of_the_Underdogs,"Website,Work"
36,DBPEDIA_ID/Hungarian_Unix_Portal,"Website,Work"
37,LUGNET,"Website,Work"
38,DBPEDIA_ID/Le_Québécois_Libre,"Website,Work"
39,DBPEDIA_ID/Media_Take_Out,"Website,Work"
40,DBPEDIA_ID/Media_Whores_Online,"Website,Work"
41,DBPEDIA_ID/Natter_Social_Network,"Website,Work"
42,DBPEDIA_ID/New_Game_Network,"Website,Work"
43,OpenDesktop.org,"Website,Work"
44,DBPEDIA_ID/Outpost_Gallifrey,"Website,Work"
45,PbNation,"Website,Work"
46,DBPEDIA_ID/Polygon_(website),"Website,Work"
47,DBPEDIA_ID/Rivalry_(computer_game),"Website,Work"
48,Rivals.com,"Website,Work"
49,Rivals.ph,"Website,Work"
50,DBPEDIA_ID/San_Francisco_Bay_Area_Independent_Media_Center,"Website,Work"
51,Shadowstats.com,"Website,Work"
52,Stuff.co.nz,"Website,Work"
53,Stupid.com,"Website,Work"
54,TMZ,"Website,Work"
55,DBPEDIA_ID/The_Escapist_(magazine),"Website,Work"
56,DBPEDIA_ID/The_Escapist_(website),"Website,Work"
57,DBPEDIA_ID/The_Hub_(forum),"Website,Work"
58,DBPEDIA_ID/The_Morning_News_(online_magazine),"Website,Work"
59,DBPEDIA_ID/The_Smoking_Gun,"Website,Work"
60,DBPEDIA_ID/Trader_Classified_Media,"Website,Work"
61,DBPEDIA_ID/Vox_(website),"Website,Work"
62,Wikivoyage,"Website,Work"
63,DBPEDIA_ID/Yahoo!_Search,"Website,Work"
