,entity,classes
0,DBPEDIA_ID/Grand_Valley_AVA,"WineRegion,Place,Location"
1,DBPEDIA_ID/Ozark_Highlands_AVA,"WineRegion,Place,Location"
2,Beaujolais,"WineRegion,Place,Location"
3,DBPEDIA_ID/Châteauneuf-du-Pape_AOC,"WineRegion,Place,Location"
4,DBPEDIA_ID/Côtes_du_Ventoux_AOC,"WineRegion,Place,Location"
5,DBPEDIA_ID/Grand_River_Valley_AVA,"WineRegion,Place,Location"
6,DBPEDIA_ID/Lake_Michigan_Shore_AVA,"WineRegion,Place,Location"
7,DBPEDIA_ID/Robe_wine_region,"WineRegion,Place,Location"
8,DBPEDIA_ID/San_Antonio_Valley_AVA,"WineRegion,Place,Location"
9,DBPEDIA_ID/San_Lucas_AVA,"WineRegion,Place,Location"
10,DBPEDIA_ID/Chalk_Hill_AVA,"WineRegion,Place,Location"
11,DBPEDIA_ID/Currency_Creek_wine_region,"WineRegion,Place,Location"
12,DBPEDIA_ID/Dry_Creek_Valley_AVA,"WineRegion,Place,Location"
13,DBPEDIA_ID/Grignan-Les_Adhemar_AOC,"WineRegion,Place,Location"
14,DBPEDIA_ID/Knights_Valley_AVA,"WineRegion,Place,Location"
15,DBPEDIA_ID/Salado_Creek_AVA,"WineRegion,Place,Location"
16,DBPEDIA_ID/South_Coast_AVA,"WineRegion,Place,Location"
17,DBPEDIA_ID/Wild_Horse_Valley_AVA,"WineRegion,Place,Location"
18,DBPEDIA_ID/Arroyo_Seco_AVA,"WineRegion,Place,Location"
19,DBPEDIA_ID/Oak_Knoll_District_of_Napa_Valley_AVA,"WineRegion,Place,Location"
20,DBPEDIA_ID/Tokaj_(Slovakia),"WineRegion,Place,Location"
21,DBPEDIA_ID/Rocky_Knob_AVA,"WineRegion,Place,Location"
22,DBPEDIA_ID/San_Pasqual_Valley_AVA,"WineRegion,Place,Location"
23,DBPEDIA_ID/Ribbon_Ridge_AVA,"WineRegion,Place,Location"
24,DBPEDIA_ID/Côtes_du_Rhône_AOC,"WineRegion,Place,Location"
25,DBPEDIA_ID/Côtes_du_Vivarais_AOC,"WineRegion,Place,Location"
26,DBPEDIA_ID/Missouri_wine,"WineRegion,Place,Location"
27,DBPEDIA_ID/Rasteau_AOC,"WineRegion,Place,Location"
28,DBPEDIA_ID/Sagrantino_di_Montefalco,"WineRegion,Place,Location"
29,Pouilly-Fumé,"WineRegion,Place,Location"
30,DBPEDIA_ID/Lake_County_wine,"WineRegion,Place,Location"
31,DBPEDIA_ID/Coteaux_de_Pierrevert_AOC,"WineRegion,Place,Location"
32,DBPEDIA_ID/Côtes_du_Luberon_AOC,"WineRegion,Place,Location"
33,DBPEDIA_ID/Côtes_du_Rhône_Villages_AOC,"WineRegion,Place,Location"
34,DBPEDIA_ID/Barossa_Valley_(wine),"WineRegion,Place,Location"
35,DBPEDIA_ID/Adelaide_Plains_wine_region,"WineRegion,Place,Location"
36,DBPEDIA_ID/Balti_(wine),"WineRegion,Place,Location"
37,DBPEDIA_ID/Kansas_wine,"WineRegion,Place,Location"
38,DBPEDIA_ID/Marcillac_AOC,"WineRegion,Place,Location"
39,DBPEDIA_ID/Mount_Veeder_AVA,"WineRegion,Place,Location"
40,DBPEDIA_ID/Texas_Davis_Mountains_AVA,"WineRegion,Place,Location"
41,DBPEDIA_ID/Idaho_wine,"WineRegion,Place,Location"
42,DBPEDIA_ID/Lower_Murray_zone_(wine),"WineRegion,Place,Location"
43,DBPEDIA_ID/Nebraska_wine,"WineRegion,Place,Location"
44,DBPEDIA_ID/Ribeiro_(DO),"WineRegion,Place,Location"
45,DBPEDIA_ID/Cornas_AOC,"WineRegion,Place,Location"
46,DBPEDIA_ID/Massachusetts_wine,"WineRegion,Place,Location"
47,DBPEDIA_ID/Adelaide_Hills_wine_region,"WineRegion,Place,Location"
48,DBPEDIA_ID/Padthaway_wine_region,"WineRegion,Place,Location"
49,Jasnières,"WineRegion,Place,Location"
50,DBPEDIA_ID/Ajaccio_AOC,"WineRegion,Place,Location"
51,DBPEDIA_ID/Antelope_Valley_of_the_California_High_Desert_AVA,"WineRegion,Place,Location"
52,DBPEDIA_ID/Arkansas_wine,"WineRegion,Place,Location"
53,DBPEDIA_ID/Oklahoma_wine,"WineRegion,Place,Location"
54,DBPEDIA_ID/Saddle_Rock-Malibu_AVA,"WineRegion,Place,Location"
55,DBPEDIA_ID/Yakima_Valley_AVA,"WineRegion,Place,Location"
56,DBPEDIA_ID/Mount_Gambier_wine_region,"WineRegion,Place,Location"
57,DBPEDIA_ID/Santa_Cruz_Mountains_AVA,"WineRegion,Place,Location"
