,entity,classes
0,DBPEDIA_ID/Gundlach_Bundschu,"Organisation,Company,Winery,Agent"
1,DBPEDIA_ID/Almaden_Vineyards,"Organisation,Company,Winery,Agent"
2,DBPEDIA_ID/Arsenal_Cider_House,"Organisation,Company,Winery,Agent"
3,DBPEDIA_ID/Auburn_Road_Vineyards,"Organisation,Company,Winery,Agent"
4,DBPEDIA_ID/Dominus_Estate,"Organisation,Company,Winery,Agent"
5,DBPEDIA_ID/Franz_Wilhelm_Langguth_Erben,"Organisation,Company,Winery,Agent"
6,DBPEDIA_ID/Schramsberg_Vineyards,"Organisation,Company,Winery,Agent"
7,DBPEDIA_ID/Westfall_Winery,"Organisation,Company,Winery,Agent"
8,DBPEDIA_ID/Château_Ausone,"Organisation,Company,Winery,Agent"
9,DBPEDIA_ID/Opus_One_Winery,"Organisation,Company,Winery,Agent"
10,Piper-Heidsieck,"Organisation,Company,Winery,Agent"
11,DBPEDIA_ID/Ponty_vineyards,"Organisation,Company,Winery,Agent"
12,DBPEDIA_ID/Silver_Oak_Cellars,"Organisation,Company,Winery,Agent"
13,DBPEDIA_ID/Sokol_Blosser_Winery,"Organisation,Company,Winery,Agent"
14,DBPEDIA_ID/French_Camp_Vineyards,"Organisation,Company,Winery,Agent"
15,DBPEDIA_ID/Bethel_Heights_Vineyard,"Organisation,Company,Winery,Agent"
16,DBPEDIA_ID/Messina_Hof,"Organisation,Company,Winery,Agent"
17,DBPEDIA_ID/Page_Springs_Cellars,"Organisation,Company,Winery,Agent"
18,DBPEDIA_ID/Summerhill_Pyramid_Winery,"Organisation,Company,Winery,Agent"
19,DBPEDIA_ID/Force_Majeure_Vineyards,"Organisation,Company,Winery,Agent"
20,DBPEDIA_ID/Leeuwin_Estate,"Organisation,Company,Winery,Agent"
21,DBPEDIA_ID/Oak_Knoll_Winery,"Organisation,Company,Winery,Agent"
22,Ruffino,"Organisation,Company,Winery,Agent"
23,DBPEDIA_ID/Terhune_Orchards,"Organisation,Company,Winery,Agent"
24,DBPEDIA_ID/Abreu_Vineyards,"Organisation,Company,Winery,Agent"
25,DBPEDIA_ID/Château_Haut-Marbuzet,"Organisation,Company,Winery,Agent"
26,DBPEDIA_ID/B._R._Cohn_Winery,"Organisation,Company,Winery,Agent"
27,DBPEDIA_ID/Château_Angélus,"Organisation,Company,Winery,Agent"
28,DBPEDIA_ID/Burrowing_Owl_Estate,"Organisation,Company,Winery,Agent"
29,"DBPEDIA_ID/Taylor,_Fladgate,_&_Yeatman","Organisation,Company,Winery,Agent"
30,DBPEDIA_ID/Jalama_Wines,"Organisation,Company,Winery,Agent"
31,DBPEDIA_ID/Château_Cantemerle,"Organisation,Company,Winery,Agent"
32,DBPEDIA_ID/Andrew_Murray_Vineyards,"Organisation,Company,Winery,Agent"
33,DBPEDIA_ID/Araujo_Estate_Wines,"Organisation,Company,Winery,Agent"
34,DBPEDIA_ID/Bass_Phillip,"Organisation,Company,Winery,Agent"
35,DBPEDIA_ID/Charles_Creek_Vineyard,"Organisation,Company,Winery,Agent"
36,DBPEDIA_ID/Charles_Melton_Wines,"Organisation,Company,Winery,Agent"
37,DBPEDIA_ID/Château_Golan,"Organisation,Company,Winery,Agent"
38,DBPEDIA_ID/Cristom_Vineyards,"Organisation,Company,Winery,Agent"
39,DBPEDIA_ID/Domaine_de_Baron'arques,"Organisation,Company,Winery,Agent"
40,DBPEDIA_ID/Gloria_Ferrer_Caves_&_Vineyards,"Organisation,Company,Winery,Agent"
41,DBPEDIA_ID/Haywire_Winery,"Organisation,Company,Winery,Agent"
42,DBPEDIA_ID/Jordan_Vineyard_&_Winery,"Organisation,Company,Winery,Agent"
43,DBPEDIA_ID/Kingston_Family_Vineyards,"Organisation,Company,Winery,Agent"
44,DBPEDIA_ID/Mission_Hill_Winery,"Organisation,Company,Winery,Agent"
45,DBPEDIA_ID/Mount_Avoca_Vineyard,"Organisation,Company,Winery,Agent"
46,DBPEDIA_ID/Roederer_Estate,"Organisation,Company,Winery,Agent"
47,DBPEDIA_ID/Daniel_Vineyards,"Organisation,Company,Winery,Agent"
48,DBPEDIA_ID/Dominio_del_Plata_Winery,"Organisation,Company,Winery,Agent"
49,DBPEDIA_ID/Fermoy_Estate,"Organisation,Company,Winery,Agent"
50,DBPEDIA_ID/Lenton_Brae_Estate,"Organisation,Company,Winery,Agent"
51,DBPEDIA_ID/Alkoomi_Wines,"Organisation,Company,Winery,Agent"
