,entity,classes
0,DBPEDIA_ID/George_Allen_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
1,DBPEDIA_ID/Bernie_Federko,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
2,DBPEDIA_ID/Brian_Boitano,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
3,DBPEDIA_ID/Garnet_Bailey,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
4,DBPEDIA_ID/Kristi_Yamaguchi,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
5,DBPEDIA_ID/Gordie_Howe,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
6,DBPEDIA_ID/Mario_Lemieux,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
7,DBPEDIA_ID/Michelle_Kwan,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
8,DBPEDIA_ID/Pernilla_Wiberg,"Person,Athlete,WinterSportPlayer,Agent,Skier"
9,DBPEDIA_ID/Steve_Yzerman,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
10,DBPEDIA_ID/Al_Johnson_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
11,DBPEDIA_ID/Allie_Hann-McCurdy,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
12,DBPEDIA_ID/Angus_Beck,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
13,DBPEDIA_ID/Angus_Duford,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
14,DBPEDIA_ID/Bob_Stewart_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
15,DBPEDIA_ID/Colin_Forbes_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
16,"DBPEDIA_ID/Colin_Miller_(ice_hockey,_born_1992)","Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
17,DBPEDIA_ID/Dirk_Else,"Person,Athlete,WinterSportPlayer,Agent,Skier"
18,DBPEDIA_ID/Enrico_Fabris,"Person,Athlete,Skater,Agent,WinterSportPlayer"
19,DBPEDIA_ID/Gump_Worsley,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
20,DBPEDIA_ID/Gérard_Balanche,"Person,Athlete,WinterSportPlayer,Agent,Skier"
21,DBPEDIA_ID/Henri_Richard,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
22,DBPEDIA_ID/Juri_Litvinov,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
23,DBPEDIA_ID/Michiko_Horibe,"Person,Athlete,WinterSportPlayer,Agent,Skier"
24,DBPEDIA_ID/Moris_Pfeifhofer,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
25,DBPEDIA_ID/Ola_Vigen_Hattestad,"Person,Athlete,WinterSportPlayer,Agent,Skier"
26,DBPEDIA_ID/Peja_Lindholm,"Curler,Athlete,WinterSportPlayer,Agent,Person"
27,DBPEDIA_ID/Rika_Hongo,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
