,entity,classes
0,DBPEDIA_ID/...Baby_One_More_Time_(album),"Album,MusicalWork,Work"
1,DBPEDIA_ID/A.D._Police:_Dead_End_City,"Comic,Work,Manga,WrittenWork"
2,DBPEDIA_ID/ALF_Tales,"Work,TelevisionShow"
3,DBPEDIA_ID/AOL_Instant_Messenger,"Work,Software"
4,DBPEDIA_ID/A_Doll's_House,"Play,Work,WrittenWork"
5,DBPEDIA_ID/A_Funny_Thing_Happened_on_the_Way_to_the_Forum,"MusicalWork,Work,Musical"
6,DBPEDIA_ID/A_Little_Night_Music,"MusicalWork,Work,Musical"
7,DBPEDIA_ID/A_Modest_Proposal,"Book,WrittenWork,Work"
8,DBPEDIA_ID/A_Wizard_of_Earthsea,"Book,WrittenWork,Work"
9,AbiWord,"Work,Software"
10,DBPEDIA_ID/Active_Server_Pages,"Work,Software"
11,Actrius,"Work,Wikidata:Q11424,Film"
12,DBPEDIA_ID/Adobe_Photoshop,"Work,Software"
13,DBPEDIA_ID/Adobe_RoboHelp,"Work,Software"
14,DBPEDIA_ID/Adventures_of_Huckleberry_Finn,"Book,WrittenWork,Work"
15,DBPEDIA_ID/Ain't_I_a_Woman%3F_(book),"Book,WrittenWork,Work"
16,DBPEDIA_ID/Algorithms_(journal),"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
17,DBPEDIA_ID/Ally_McBeal,"Work,TelevisionShow"
18,DBPEDIA_ID/America_the_Beautiful,"MusicalWork,Work,Song"
19,DBPEDIA_ID/Animal_Farm,"Book,WrittenWork,Work"
20,DBPEDIA_ID/Animalia_(book),"Book,WrittenWork,Work"
21,DBPEDIA_ID/Annals_of_Mathematics,"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
22,DBPEDIA_ID/Anyone_Can_Whistle,"MusicalWork,Work,Musical"
23,DBPEDIA_ID/Apache_HTTP_Server,"Work,Software"
24,DBPEDIA_ID/Applesoft_BASIC,"Work,Software"
25,ArgoUML,"Work,Software"
26,DBPEDIA_ID/Army_of_Darkness,"Work,Wikidata:Q11424,Film"
27,DBPEDIA_ID/Asteroids_(video_game),"VideoGame,Work,Software"
28,AutoCAD,"Work,Software"
29,BIND,"Work,Software"
30,DBPEDIA_ID/Babylon_5,"Work,TelevisionShow"
31,Bagpuss,"Work,TelevisionShow"
32,DBPEDIA_ID/Ballad_of_the_Green_Berets,"MusicalWork,Work,Single"
33,Banacek,"Work,TelevisionShow"
34,DBPEDIA_ID/Bar_Kokhba_(album),"Album,MusicalWork,Work"
35,DBPEDIA_ID/Barry_Lyndon,"Work,Wikidata:Q11424,Film"
36,DBPEDIA_ID/Bash_(Unix_shell),"Work,Software"
37,DBPEDIA_ID/Batman_&_Robin_(film),"Work,Wikidata:Q11424,Film"
38,DBPEDIA_ID/Batman_(1966_film),"Work,Wikidata:Q11424,Film"
39,DBPEDIA_ID/Batman_(1989_film),"Work,Wikidata:Q11424,Film"
40,DBPEDIA_ID/Batman_Forever,"Work,Wikidata:Q11424,Film"
41,DBPEDIA_ID/Batman_Returns,"Work,Wikidata:Q11424,Film"
42,BeOS,"Work,Software"
43,BearShare,"Work,Software"
44,DBPEDIA_ID/Beavis_and_Butt-Head,"Work,TelevisionShow"
45,DBPEDIA_ID/Berkeley_DB,"Work,Software"
46,DBPEDIA_ID/Big_Brother_(franchise),"Work,TelevisionShow"
47,BitchX,"Work,Software"
48,Blackadder,"Work,TelevisionShow"
49,DBPEDIA_ID/Blade_Runner,"Work,Wikidata:Q11424,Film"
50,DBPEDIA_ID/Blazing_Saddles,"Work,Wikidata:Q11424,Film"
51,DBPEDIA_ID/Blitz_BASIC,"Work,Software"
52,DBPEDIA_ID/Blood_on_the_Tracks,"Album,MusicalWork,Work"
53,DBPEDIA_ID/Blue_Velvet_(film),"Work,Wikidata:Q11424,Film"
