,entity,classes
0,DBPEDIA_ID/Acropolis_of_Athens,"Place,Location,WorldHeritageSite"
1,DBPEDIA_ID/Ajanta_Caves,"Place,Location,WorldHeritageSite"
2,Baptism,"Place,Location,WorldHeritageSite"
3,Bauhaus,"Place,Location,WorldHeritageSite"
4,DBPEDIA_ID/Behistun_Inscription,"Place,Location,WorldHeritageSite"
5,DBPEDIA_ID/Great_Rift_Valley,"Place,Location,WorldHeritageSite"
6,Lascaux,"Place,Location,WorldHeritageSite"
7,DBPEDIA_ID/Dacian_Fortresses_of_the_Orăștie_Mountains,"Place,Location,WorldHeritageSite"
8,DBPEDIA_ID/Villages_with_fortified_churches_in_Transylvania,"Place,Location,WorldHeritageSite"
9,DBPEDIA_ID/Wooden_churches_of_Maramureș,"Place,Location,WorldHeritageSite"
10,DBPEDIA_ID/Terracotta_Army,"Place,Location,WorldHeritageSite"
11,DBPEDIA_ID/Acueducto_de_los_Milagros,"Place,Location,WorldHeritageSite"
12,DBPEDIA_ID/Albula_Railway,"Place,Location,WorldHeritageSite"
13,DBPEDIA_ID/Fagus_Factory,"Place,Location,WorldHeritageSite"
14,DBPEDIA_ID/San_Basilio_de_Palenque,"Place,Location,WorldHeritageSite"
15,"DBPEDIA_ID/Sewell,_Chile","Place,Location,WorldHeritageSite"
16,DBPEDIA_ID/Torre_della_Ghirlandina,"Place,Location,WorldHeritageSite"
17,DBPEDIA_ID/Wooden_churches_of_Southern_Lesser_Poland,"Place,Location,WorldHeritageSite"
18,DBPEDIA_ID/Wooden_churches_of_the_Slovak_Carpathians,"Place,Location,WorldHeritageSite"
19,DBPEDIA_ID/Zhao_Mausoleum_(Qing_dynasty),"Place,Location,WorldHeritageSite"
20,Ash-Shams,"Place,Location,WorldHeritageSite"
21,DBPEDIA_ID/Kroměříž_Castle,"Place,Location,WorldHeritageSite"
22,DBPEDIA_ID/Sangha_Trinational,"Place,Location,WorldHeritageSite"
23,DBPEDIA_ID/Church_of_the_Acheiropoietos,"Place,Location,WorldHeritageSite"
24,DBPEDIA_ID/Cornwall_and_West_Devon_Mining_Landscape,"Place,Location,WorldHeritageSite"
25,DBPEDIA_ID/Saryarka_—_Steppe_and_Lakes_of_Northern_Kazakhstan,"Place,Location,WorldHeritageSite"
26,"DBPEDIA_ID/Goiás,_Goiás","Place,Location,WorldHeritageSite"
27,DBPEDIA_ID/Kamphaeng_Phet_Historical_Park,"Place,Location,WorldHeritageSite"
28,DBPEDIA_ID/Willandra_Lakes_Region,"Place,Location,WorldHeritageSite"
29,"DBPEDIA_ID/Great_Rift_Valley,_Kenya","Place,Location,WorldHeritageSite"
30,DBPEDIA_ID/Airavatesvara_Temple,"Place,Location,WorldHeritageSite"
31,DBPEDIA_ID/Dobšinská_Ice_Cave,"Place,Location,WorldHeritageSite"
32,DBPEDIA_ID/Heart_of_Neolithic_Orkney,"Place,Location,WorldHeritageSite"
33,DBPEDIA_ID/Kaiping_Diaolou,"Place,Location,WorldHeritageSite"
34,DBPEDIA_ID/Kondoa_Irangi_Rock_Paintings,"Place,Location,WorldHeritageSite"
35,DBPEDIA_ID/Medieval_Monuments_in_Kosovo,"Place,Location,WorldHeritageSite"
36,DBPEDIA_ID/Oaxaca_Valley,"Place,Location,WorldHeritageSite"
37,DBPEDIA_ID/Petäjävesi_Old_Church,"Place,Location,WorldHeritageSite"
38,Pythagoreion,"Place,Location,WorldHeritageSite"
39,Richtersveld,"Place,Location,WorldHeritageSite"
40,DBPEDIA_ID/Serra_de_Tramuntana,"Place,Location,WorldHeritageSite"
41,DBPEDIA_ID/Church_of_Aldachildo,"Place,Location,WorldHeritageSite"
42,DBPEDIA_ID/China_Danxia,"Place,Location,WorldHeritageSite"
43,Vallenato,"Place,Location,WorldHeritageSite"
44,DBPEDIA_ID/Monastery_of_Saint_Euthymius,"Place,Location,WorldHeritageSite"
45,DBPEDIA_ID/Prehistoric_pile_dwellings_around_the_Alps,"Place,Location,WorldHeritageSite"
46,DBPEDIA_ID/Tourist_attractions_in_Vienna,"Place,Location,WorldHeritageSite"
47,DBPEDIA_ID/Causses_and_Cévennes,"Place,Location,WorldHeritageSite"
48,DBPEDIA_ID/Gagron_Fort,"Place,Location,WorldHeritageSite"
49,DBPEDIA_ID/Sheikh_Safi_al-Din_Khānegāh_and_Shrine_Ensemble,"Place,Location,WorldHeritageSite"
50,DBPEDIA_ID/Chotyniec__Wooden_Tserkvas_of_Carpathian_Region_in_Poland_and__1,"Place,Location,WorldHeritageSite"
51,DBPEDIA_ID/Vall_de_Boí__Catalan_Romanesque_Churches_of_the_Vall_de_Boí__1,"Place,Location,WorldHeritageSite"
52,DBPEDIA_ID/Militello_in_Val_di_Catania__Late_Baroque_Towns_of_the_Val_di_Noto_South-Easter__1,"Place,Location,WorldHeritageSite"
53,"DBPEDIA_ID/Nara,_Nara__Historic_Monuments_of_Ancient_Nara__1","Place,Location,WorldHeritageSite"
54,DBPEDIA_ID/Central_Island,"Place,Location,WorldHeritageSite"
55,DBPEDIA_ID/Nea_Moni_of_Chios,"Place,Location,WorldHeritageSite"
56,Wachau,"Place,Location,WorldHeritageSite"
57,DBPEDIA_ID/Properties_of_the_Holy_See,"Place,Location,WorldHeritageSite"
58,DBPEDIA_ID/Beckhampton_Avenue,"Place,Location,WorldHeritageSite"
59,DBPEDIA_ID/Bernina_railway,"Place,Location,WorldHeritageSite"
60,DBPEDIA_ID/Decorated_Farmhouses_of_Hälsingland,"Place,Location,WorldHeritageSite"
61,DBPEDIA_ID/Shrines_and_Temples_of_Nikkō,"Place,Location,WorldHeritageSite"
62,DBPEDIA_ID/Asante_Traditional_Buildings,"Place,Location,WorldHeritageSite"
63,DBPEDIA_ID/Buddhist_Monuments_in_the_Hōryū-ji_Area,"Place,Location,WorldHeritageSite"
64,DBPEDIA_ID/Buildings_and_architecture_of_Bath,"Place,Location,WorldHeritageSite"
65,DBPEDIA_ID/Falun_Mine,"Place,Location,WorldHeritageSite"
66,DBPEDIA_ID/Ilulissat_Icefjord,"Place,Location,WorldHeritageSite"
67,DBPEDIA_ID/Jesuit_Missions_of_La_Santísima_Trinidad_de_Paraná_and_Jesús_de_Tavarangue,"Place,Location,WorldHeritageSite"
68,DBPEDIA_ID/Roman_Walls_of_Lugo,"Place,Location,WorldHeritageSite"
