,entity,classes
0,DBPEDIA_ID/Antonio_Thomas_(wrestler),"Person,Athlete,Wrestler,Agent"
1,DBPEDIA_ID/Atlantis_(wrestler),"Person,Athlete,Wrestler,Agent"
2,DBPEDIA_ID/Beth_Phoenix,"Person,Athlete,Wrestler,Agent"
3,DBPEDIA_ID/Billy_Boy_(wrestler),"Person,Athlete,Wrestler,Agent"
4,DBPEDIA_ID/Buff_Bagwell,"Person,Athlete,Wrestler,Agent"
5,DBPEDIA_ID/Christian_Cage,"Person,Athlete,Wrestler,Agent"
6,DBPEDIA_ID/Crowbar_(wrestler),"Person,Athlete,Wrestler,Agent"
7,DBPEDIA_ID/Don_Callis,"Person,Athlete,Wrestler,Agent"
8,DBPEDIA_ID/Egotistico_Fantastico,"Person,Athlete,Wrestler,Agent"
9,DBPEDIA_ID/Elektra_(wrestling),"Person,Athlete,Wrestler,Agent"
10,DBPEDIA_ID/Elizabeth_Miklosi,"Person,Athlete,Wrestler,Agent"
11,DBPEDIA_ID/Germán_Figueroa,"Person,Athlete,Wrestler,Agent"
12,DBPEDIA_ID/Hercules_(wrestler),"Person,Athlete,Wrestler,Agent"
13,DBPEDIA_ID/Jeff_Farmer_(wrestler),"Person,Athlete,Wrestler,Agent"
14,DBPEDIA_ID/Jeremy_Borash,"Person,Athlete,Wrestler,Agent"
15,DBPEDIA_ID/Maria_Kanellis,"Person,Athlete,Wrestler,Agent"
16,DBPEDIA_ID/Matt_Bloom,"Person,Athlete,Wrestler,Agent"
17,DBPEDIA_ID/Maximum_Capacity,"Person,Athlete,Wrestler,Agent"
18,DBPEDIA_ID/ODB_(wrestler),"Person,Athlete,Wrestler,Agent"
19,DBPEDIA_ID/Pierroth_Jr.,"Person,Athlete,Wrestler,Agent"
20,DBPEDIA_ID/Rico_Suave_(wrestler),"Person,Athlete,Wrestler,Agent"
21,DBPEDIA_ID/Sailor_Art_Thomas,"Person,Athlete,Wrestler,Agent"
22,DBPEDIA_ID/Taylor_Wilde,"Person,Athlete,Wrestler,Agent"
23,DBPEDIA_ID/Virgil_(wrestler),"Person,Athlete,Wrestler,Agent"
