,entity,classes
0,DBPEDIA_ID/DGUSA_Fearless,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
1,DBPEDIA_ID/Chikara_High_Noon,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
2,DBPEDIA_ID/In_Your_House_12:_It's_Time,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
3,DBPEDIA_ID/Sacrifice_(2008),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
4,DBPEDIA_ID/Sacrifice_(2009),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
5,DBPEDIA_ID/Sacrifice_(2010),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
6,DBPEDIA_ID/Sacrifice_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
7,DBPEDIA_ID/Sacrifice_(2012),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
8,DBPEDIA_ID/Sacrifice_(2014),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
9,DBPEDIA_ID/TNA_No_Surrender,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
10,DBPEDIA_ID/TNA_Sacrifice,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
11,DBPEDIA_ID/WrestleMania_I,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
12,DBPEDIA_ID/Backlash_(2004),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
13,DBPEDIA_ID/Bunkhouse_Stampede_(1988),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
14,DBPEDIA_ID/CMLL_Super_Viernes_(November_2012),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
15,DBPEDIA_ID/CMLL_Universal_Championship_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
16,DBPEDIA_ID/CMLL_singles_wrestling_tournaments,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
17,DBPEDIA_ID/EMLL_7th_Anniversary_Show,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
18,DBPEDIA_ID/Fourth_Annual_Square_Go,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
19,DBPEDIA_ID/Genesis_(2007),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
20,DBPEDIA_ID/Heroes_of_Wrestling,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
21,DBPEDIA_ID/Judgment_Day_(2000),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
22,DBPEDIA_ID/CMLL_75th_Anniversary_Show,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
23,DBPEDIA_ID/Sin_Piedad_(2007),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
24,DBPEDIA_ID/Survivor_Series_(2010),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
25,DBPEDIA_ID/Wrestling_Dontaku_2014,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
26,DBPEDIA_ID/Wrestling_Summit,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
27,DBPEDIA_ID/List_of_WWA_pay-per-view_events,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
28,DBPEDIA_ID/NXT_TakeOver,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
29,DBPEDIA_ID/ROH_New_Horizons,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
30,DBPEDIA_ID/Take_No_Prisoners_(2008),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
31,DBPEDIA_ID/Take_No_Prisoners_(2009),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
32,DBPEDIA_ID/WWE_Breaking_Point,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
33,DBPEDIA_ID/WWE_Rebellion,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
34,DBPEDIA_ID/EMLL_22nd_Anniversary_Show,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
35,DBPEDIA_ID/Sin_Salida,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
36,DBPEDIA_ID/Vengeance_(2001),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
37,DBPEDIA_ID/Night_of_Champions_(2010),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
38,DBPEDIA_ID/No_Surrender_(2009),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
39,DBPEDIA_ID/WCW_Greed,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
40,DBPEDIA_ID/WrestleMania_2,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
41,DBPEDIA_ID/Royal_Rumble_(2008),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
42,DBPEDIA_ID/Slammiversary_(2007),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
43,DBPEDIA_ID/Hatchet_Attacks_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
44,DBPEDIA_ID/Mike_Lockwood_Memorial_Show,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
45,DBPEDIA_ID/Mike_Lockwood_Memorial_Tournament,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
46,DBPEDIA_ID/Pitbull/Public_Enemy_Memorial_Cup,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
47,DBPEDIA_ID/SummerSlam_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
48,DBPEDIA_ID/Yokozuna_Memorial_Show,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
49,DBPEDIA_ID/Best_in_the_World_2011,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
50,DBPEDIA_ID/Bloodymania_5,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
51,DBPEDIA_ID/Bound_for_Glory_(2010),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
52,DBPEDIA_ID/Bound_for_Glory_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
53,DBPEDIA_ID/Deaf_Wrestlefest,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
54,DBPEDIA_ID/Death_Before_Dishonor_IX,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
55,DBPEDIA_ID/Destination_X_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
56,DBPEDIA_ID/Elimination_Chamber_(2012),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
57,DBPEDIA_ID/Extreme_Rules_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
58,DBPEDIA_ID/Final_Resolution_(2010),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
59,DBPEDIA_ID/Final_Resolution_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
60,DBPEDIA_ID/Genesis_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
61,DBPEDIA_ID/Hell_in_a_Cell_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
62,DBPEDIA_ID/Lockdown_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
63,DBPEDIA_ID/Money_in_the_Bank_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
64,DBPEDIA_ID/Night_of_Champions_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
65,DBPEDIA_ID/No_Surrender_(2010),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
66,DBPEDIA_ID/Over_the_Limit_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
67,DBPEDIA_ID/Survivor_Series_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
68,"DBPEDIA_ID/TLC:_Tables,_Ladders_and_Chairs_(2011)","SportsEvent,WrestlingEvent,Event,SocietalEvent"
69,DBPEDIA_ID/Victory_Road_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
