,entity,classes
0,DBPEDIA_ID/Dante_Alighieri,"Person,Writer,Agent"
1,DBPEDIA_ID/Joost_van_den_Vondel,"Person,Writer,Agent"
2,DBPEDIA_ID/Jules_Renard,"Person,Writer,Agent"
3,DBPEDIA_ID/Luís_Romano_de_Madeira_Melo,"Person,Writer,Agent"
4,Martial,"Person,Writer,Agent"
5,DBPEDIA_ID/Michael_North_(professor),"Person,Writer,Agent"
6,Molière,"Person,Writer,Agent"
7,DBPEDIA_ID/Personal_life_of_Cicero,"Person,Writer,Agent"
8,DBPEDIA_ID/Richard_Wagner_(novelist),"Person,Writer,Agent"
9,DBPEDIA_ID/Russell_Smith_(writer),"Person,Writer,Agent"
10,Voltaire,"Person,Writer,Agent"
11,DBPEDIA_ID/Yuasa_Yoshiko,"Person,Writer,Agent"
12,DBPEDIA_ID/A._A._Milne,"Person,Writer,Agent"
13,DBPEDIA_ID/A._E._Housman,"Person,Writer,Agent"
14,DBPEDIA_ID/A._E._van_Vogt,"Person,Writer,Agent"
15,DBPEDIA_ID/Agatha_Christie,"Person,Writer,Agent"
16,DBPEDIA_ID/Alan_Ayckbourn,"Person,Writer,Agent"
17,DBPEDIA_ID/Alan_Garner,"Person,Writer,Agent"
18,DBPEDIA_ID/Aldous_Huxley,"Person,Writer,Agent"
19,DBPEDIA_ID/Aleksandr_Solzhenitsyn,"Person,Writer,Agent"
20,DBPEDIA_ID/Alfred_Jarry,"Person,Writer,Agent"
21,DBPEDIA_ID/Allen_Ginsberg,"Person,Writer,Agent"
22,DBPEDIA_ID/Anatole_France,"Person,Writer,Agent"
23,DBPEDIA_ID/Anaïs_Nin,"Person,Writer,Agent"
24,DBPEDIA_ID/Andrzej_Sapkowski,"Person,Writer,Agent"
25,DBPEDIA_ID/André_Gide,"Person,Writer,Agent"
26,DBPEDIA_ID/Anne_Brontë,"Person,Writer,Agent"
27,DBPEDIA_ID/Anton_Chekhov,"Person,Writer,Agent"
28,Apuleius,"Person,Writer,Agent"
29,DBPEDIA_ID/Arthur_Laurents,"Person,Writer,Agent"
30,DBPEDIA_ID/Arthur_Miller,"Person,Writer,Agent"
31,DBPEDIA_ID/August_Derleth,"Person,Writer,Agent"
32,DBPEDIA_ID/Ayn_Rand,"Person,Writer,Agent"
33,DBPEDIA_ID/Beatrix_Potter,"Person,Writer,Agent"
34,DBPEDIA_ID/Ben_Bova,"Person,Writer,Agent"
35,DBPEDIA_ID/Bill_Bryson,"Person,Writer,Agent"
36,DBPEDIA_ID/Bjørn_Lomborg,"Person,Writer,Agent"
37,DBPEDIA_ID/Boris_Pasternak,"Person,Writer,Agent"
38,DBPEDIA_ID/Bram_Stoker,"Person,Writer,Agent"
39,DBPEDIA_ID/Brian_Aldiss,"Person,Writer,Agent"
40,DBPEDIA_ID/Brion_Gysin,"Person,Writer,Agent"
41,DBPEDIA_ID/Bruce_Sterling,"Person,Writer,Agent"
42,DBPEDIA_ID/C._L._Moore,"Person,Writer,Agent"
43,DBPEDIA_ID/C._Northcote_Parkinson,"Person,Writer,Agent"
44,DBPEDIA_ID/C._S._Forester,"Person,Writer,Agent"
45,DBPEDIA_ID/C._S._Lewis,"Person,Writer,Agent"
46,DBPEDIA_ID/Carlo_Collodi,"Person,Writer,Agent"
47,DBPEDIA_ID/Carlo_Goldoni,"Person,Writer,Agent"
48,DBPEDIA_ID/Charles_Baudelaire,"Person,Writer,Agent"
49,DBPEDIA_ID/Charles_Dickens,"Person,Writer,Agent"
50,DBPEDIA_ID/Charles_Williams_(British_writer),"Person,Writer,Agent"
51,DBPEDIA_ID/Charlotte_Brontë,"Person,Writer,Agent"
52,DBPEDIA_ID/Christopher_Marlowe,"Person,Writer,Agent"
53,DBPEDIA_ID/Clark_Ashton_Smith,"Person,Writer,Agent"
54,DBPEDIA_ID/Clive_Barker,"Person,Writer,Agent"
55,Colette,"Person,Writer,Agent"
56,DBPEDIA_ID/Colin_Dexter,"Person,Writer,Agent"
57,DBPEDIA_ID/Cordwainer_Smith,"Person,Writer,Agent"
58,DBPEDIA_ID/Cyril_M._Kornbluth,"Person,Writer,Agent"
59,DBPEDIA_ID/Czesław_Miłosz,"Person,Writer,Agent"
60,DBPEDIA_ID/Dalton_Trumbo,"Person,Writer,Agent"
61,DBPEDIA_ID/Damon_Runyon,"Person,Writer,Agent"
62,DBPEDIA_ID/Dan_Simmons,"Person,Writer,Agent"
63,DBPEDIA_ID/Daniel_Defoe,"Person,Writer,Agent"
64,DBPEDIA_ID/Dave_Barry,"Person,Writer,Agent"
65,DBPEDIA_ID/David_Mamet,"Person,Writer,Agent"
66,DBPEDIA_ID/Dean_Koontz,"Person,Writer,Agent"
67,DBPEDIA_ID/Derek_Walcott,"Person,Writer,Agent"
68,DBPEDIA_ID/Donald_A._Wollheim,"Person,Writer,Agent"
69,DBPEDIA_ID/Dorothy_Parker,"Person,Writer,Agent"
70,DBPEDIA_ID/Douglas_Adams,"Person,Writer,Agent"
71,DBPEDIA_ID/Dr._Seuss,"Person,Writer,Agent"
72,DBPEDIA_ID/Dylan_Thomas,"Person,Writer,Agent"
73,DBPEDIA_ID/E._B._White,"Person,Writer,Agent"
74,DBPEDIA_ID/E._E._Smith,"Person,Writer,Agent"
75,DBPEDIA_ID/E._T._A._Hoffmann,"Person,Writer,Agent"
76,DBPEDIA_ID/Edgar_Allan_Poe,"Person,Writer,Agent"
77,DBPEDIA_ID/Edgar_Rice_Burroughs,"Person,Writer,Agent"
78,DBPEDIA_ID/Edmund_Spenser,"Person,Writer,Agent"
79,DBPEDIA_ID/Edna_St._Vincent_Millay,"Person,Writer,Agent"
80,DBPEDIA_ID/Eduardo_Blasco_Ferrer,"Person,Writer,Agent"
81,DBPEDIA_ID/Edward_Bellamy,"Person,Writer,Agent"
82,DBPEDIA_ID/Edward_Lear,"Person,Writer,Agent"
83,"DBPEDIA_ID/Edward_Plunkett,_18th_Baron_of_Dunsany","Person,Writer,Agent"
84,DBPEDIA_ID/Elias_Canetti,"Person,Writer,Agent"
85,DBPEDIA_ID/Elie_Wiesel,"Person,Writer,Agent"
86,DBPEDIA_ID/Elizabeth_Barrett_Browning,"Person,Writer,Agent"
87,DBPEDIA_ID/Emily_Brontë,"Person,Writer,Agent"
88,DBPEDIA_ID/Enid_Blyton,"Person,Writer,Agent"
89,DBPEDIA_ID/Eric_Hoffer,"Person,Writer,Agent"
90,DBPEDIA_ID/Ernest_Hemingway,"Person,Writer,Agent"
91,DBPEDIA_ID/Ernest_Thayer,"Person,Writer,Agent"
92,FM-2030,"Person,Writer,Agent"
93,DBPEDIA_ID/Fernando_Pessoa,"Person,Writer,Agent"
94,DBPEDIA_ID/Filippo_Tommaso_Marinetti,"Person,Writer,Agent"
95,DBPEDIA_ID/Frank_Herbert,"Person,Writer,Agent"
96,DBPEDIA_ID/Frank_Kelly_Freas,"Person,Writer,Agent"
97,DBPEDIA_ID/Frans_Eemil_Sillanpää,"Person,Writer,Agent"
98,DBPEDIA_ID/Fred_Reed,"Person,Writer,Agent"
99,DBPEDIA_ID/Frederik_Pohl,"Person,Writer,Agent"
100,DBPEDIA_ID/Fritz_Leiber,"Person,Writer,Agent"
101,DBPEDIA_ID/Fyodor_Dostoyevsky,"Person,Writer,Agent"
102,DBPEDIA_ID/G._K._Chesterton,"Person,Writer,Agent"
103,DBPEDIA_ID/Gary_Gygax,"Person,Writer,Agent"
104,DBPEDIA_ID/Gary_Snyder,"Person,Writer,Agent"
105,DBPEDIA_ID/Geoff_Ryman,"Person,Writer,Agent"
106,DBPEDIA_ID/George_Bernard_Shaw,"Person,Writer,Agent"
107,DBPEDIA_ID/George_Eliot,"Person,Writer,Agent"
108,DBPEDIA_ID/George_Orwell,"Person,Writer,Agent"
109,DBPEDIA_ID/George_R._R._Martin,"Person,Writer,Agent"
110,DBPEDIA_ID/George_Robert_Aberigh-Mackay,"Person,Writer,Agent"
111,DBPEDIA_ID/Giosuè_Carducci,"Person,Writer,Agent"
112,DBPEDIA_ID/Giovanni_Boccaccio,"Person,Writer,Agent"
113,DBPEDIA_ID/Gotthold_Ephraim_Lessing,"Person,Writer,Agent"
114,DBPEDIA_ID/Grazia_Deledda,"Person,Writer,Agent"
115,DBPEDIA_ID/Greg_Egan,"Person,Writer,Agent"
116,DBPEDIA_ID/Gustave_Flaubert,"Person,Writer,Agent"
117,DBPEDIA_ID/Guy_de_Maupassant,"Person,Writer,Agent"
118,DBPEDIA_ID/H._G._Wells,"Person,Writer,Agent"
119,DBPEDIA_ID/H._P._Lovecraft,"Person,Writer,Agent"
120,DBPEDIA_ID/Hal_Clement,"Person,Writer,Agent"
121,DBPEDIA_ID/Halldór_Laxness,"Person,Writer,Agent"
122,DBPEDIA_ID/Hannes_Bok,"Person,Writer,Agent"
123,DBPEDIA_ID/Hans_Christian_Andersen,"Person,Writer,Agent"
124,DBPEDIA_ID/Harlan_Ellison,"Person,Writer,Agent"
125,DBPEDIA_ID/Helen_Keller,"Person,Writer,Agent"
126,DBPEDIA_ID/Henrik_Ibsen,"Person,Writer,Agent"
127,DBPEDIA_ID/Henry_Chadwick_(writer),"Person,Writer,Agent"
128,DBPEDIA_ID/Henry_Fielding,"Person,Writer,Agent"
129,DBPEDIA_ID/Henryk_Sienkiewicz,"Person,Writer,Agent"
130,DBPEDIA_ID/Herman_Melville,"Person,Writer,Agent"
131,DBPEDIA_ID/Hermann_Hesse,"Person,Writer,Agent"
132,Horace,"Person,Writer,Agent"
133,DBPEDIA_ID/Hugo_Gernsback,"Person,Writer,Agent"
134,DBPEDIA_ID/Hunter_S._Thompson,"Person,Writer,Agent"
135,DBPEDIA_ID/Iain_Banks,"Person,Writer,Agent"
136,DBPEDIA_ID/Isaac_Asimov,"Person,Writer,Agent"
137,DBPEDIA_ID/Isaac_Bashevis_Singer,"Person,Writer,Agent"
138,DBPEDIA_ID/Italo_Calvino,"Person,Writer,Agent"
139,DBPEDIA_ID/Ivar_Aasen,"Person,Writer,Agent"
140,DBPEDIA_ID/J._G._Ballard,"Person,Writer,Agent"
141,DBPEDIA_ID/J._K._Rowling,"Person,Writer,Agent"
142,DBPEDIA_ID/J._R._R._Tolkien,"Person,Writer,Agent"
143,DBPEDIA_ID/Jack_Kerouac,"Person,Writer,Agent"
144,DBPEDIA_ID/Jacob_Abbott,"Person,Writer,Agent"
145,DBPEDIA_ID/Jacob_Grimm,"Person,Writer,Agent"
146,DBPEDIA_ID/James_Alan_McPherson,"Person,Writer,Agent"
147,DBPEDIA_ID/James_Blaylock,"Person,Writer,Agent"
148,DBPEDIA_ID/James_Blish,"Person,Writer,Agent"
149,DBPEDIA_ID/James_Branch_Cabell,"Person,Writer,Agent"
150,DBPEDIA_ID/James_Clavell,"Person,Writer,Agent"
151,DBPEDIA_ID/James_Thurber,"Person,Writer,Agent"
152,"DBPEDIA_ID/James_Tiptree,_Jr.","Person,Writer,Agent"
153,DBPEDIA_ID/Jan_Karon,"Person,Writer,Agent"
154,DBPEDIA_ID/Jane_Austen,"Person,Writer,Agent"
155,DBPEDIA_ID/Janusz_Zajdel,"Person,Writer,Agent"
156,DBPEDIA_ID/Jerome_K._Jerome,"Person,Writer,Agent"
157,DBPEDIA_ID/Jerry_Pournelle,"Person,Writer,Agent"
158,DBPEDIA_ID/Joanna_Russ,"Person,Writer,Agent"
159,DBPEDIA_ID/John_Brunner_(novelist),"Person,Writer,Agent"
160,DBPEDIA_ID/John_Donne,"Person,Writer,Agent"
161,DBPEDIA_ID/John_Grierson,"Person,Writer,Agent"
162,DBPEDIA_ID/John_Irving,"Person,Writer,Agent"
163,DBPEDIA_ID/John_Keats,"Person,Writer,Agent"
164,DBPEDIA_ID/John_Masefield,"Person,Writer,Agent"
165,DBPEDIA_ID/John_Milton,"Person,Writer,Agent"
166,DBPEDIA_ID/John_Steinbeck,"Person,Writer,Agent"
167,DBPEDIA_ID/John_Updike,"Person,Writer,Agent"
168,DBPEDIA_ID/John_W._Campbell,"Person,Writer,Agent"
169,DBPEDIA_ID/John_William_Polidori,"Person,Writer,Agent"
170,DBPEDIA_ID/John_van_Melle,"Person,Writer,Agent"
171,DBPEDIA_ID/Jonathan_Swift,"Person,Writer,Agent"
172,DBPEDIA_ID/Jorge_Luis_Borges,"Person,Writer,Agent"
173,DBPEDIA_ID/Joseph_Campbell,"Person,Writer,Agent"
174,DBPEDIA_ID/Joseph_Conrad,"Person,Writer,Agent"
175,DBPEDIA_ID/Judy_Blume,"Person,Writer,Agent"
176,DBPEDIA_ID/Jules_Verne,"Person,Writer,Agent"
177,DBPEDIA_ID/Karel_Hynek_Mácha,"Person,Writer,Agent"
178,DBPEDIA_ID/Karel_van_het_Reve,"Person,Writer,Agent"
179,DBPEDIA_ID/Kathy_Acker,"Person,Writer,Agent"
180,DBPEDIA_ID/Ken_Kesey,"Person,Writer,Agent"
181,DBPEDIA_ID/Ken_MacLeod,"Person,Writer,Agent"
182,DBPEDIA_ID/Kim_Stanley_Robinson,"Person,Writer,Agent"
183,DBPEDIA_ID/Kingsley_Amis,"Person,Writer,Agent"
184,DBPEDIA_ID/Knut_Hamsun,"Person,Writer,Agent"
185,DBPEDIA_ID/Konstantin_Stanislavsky,"Person,Writer,Agent"
186,DBPEDIA_ID/Kurt_Vonnegut,"Person,Writer,Agent"
187,DBPEDIA_ID/L._Frank_Baum,"Person,Writer,Agent"
188,DBPEDIA_ID/Lafcadio_Hearn,"Person,Writer,Agent"
189,DBPEDIA_ID/Larry_Niven,"Person,Writer,Agent"
190,DBPEDIA_ID/Laurence_Sterne,"Person,Writer,Agent"
191,DBPEDIA_ID/Lester_Bangs,"Person,Writer,Agent"
192,DBPEDIA_ID/Li_Bai,"Person,Writer,Agent"
193,Livy,"Person,Writer,Agent"
194,DBPEDIA_ID/Lois_McMaster_Bujold,"Person,Writer,Agent"
195,DBPEDIA_ID/Louisa_May_Alcott,"Person,Writer,Agent"
196,DBPEDIA_ID/Louise_Erdrich,"Person,Writer,Agent"
197,DBPEDIA_ID/Ludovico_Ariosto,"Person,Writer,Agent"
198,DBPEDIA_ID/Luigi_Pirandello,"Person,Writer,Agent"
199,DBPEDIA_ID/Margaret_Mitchell,"Person,Writer,Agent"
200,DBPEDIA_ID/Marina_Tsvetaeva,"Person,Writer,Agent"
201,DBPEDIA_ID/Marsilio_Ficino,"Person,Writer,Agent"
202,DBPEDIA_ID/Martin_Gardner,"Person,Writer,Agent"
203,DBPEDIA_ID/Mary_Wollstonecraft,"Person,Writer,Agent"
204,DBPEDIA_ID/Michael_Crichton,"Person,Writer,Agent"
205,DBPEDIA_ID/Michael_Moorcock,"Person,Writer,Agent"
206,DBPEDIA_ID/Michele_Columbu,"Person,Writer,Agent"
207,DBPEDIA_ID/Miguel_de_Cervantes,"Person,Writer,Agent"
208,DBPEDIA_ID/Naguib_Mahfouz,"Person,Writer,Agent"
209,DBPEDIA_ID/Naomi_Klein,"Person,Writer,Agent"
210,DBPEDIA_ID/Naomi_Wolf,"Person,Writer,Agent"
211,DBPEDIA_ID/Nathaniel_Hawthorne,"Person,Writer,Agent"
212,DBPEDIA_ID/Neal_Stephenson,"Person,Writer,Agent"
213,DBPEDIA_ID/Neil_Gaiman,"Person,Writer,Agent"
214,DBPEDIA_ID/Nicholas_Lemann,"Person,Writer,Agent"
215,DBPEDIA_ID/Oscar_Wilde,"Person,Writer,Agent"
216,Ouida,"Person,Writer,Agent"
217,DBPEDIA_ID/Pat_Cadigan,"Person,Writer,Agent"
218,DBPEDIA_ID/Patrick_White,"Person,Writer,Agent"
219,DBPEDIA_ID/Paul_Auster,"Person,Writer,Agent"
220,DBPEDIA_ID/Peter_Altenberg,"Person,Writer,Agent"
221,DBPEDIA_ID/Peter_Carey_(novelist),"Person,Writer,Agent"
222,DBPEDIA_ID/Peter_F._Hamilton,"Person,Writer,Agent"
223,DBPEDIA_ID/Peter_Handke,"Person,Writer,Agent"
224,Petrarch,"Person,Writer,Agent"
225,DBPEDIA_ID/Philip_K._Dick,"Person,Writer,Agent"
226,DBPEDIA_ID/Piers_Anthony,"Person,Writer,Agent"
227,Plutarch,"Person,Writer,Agent"
228,DBPEDIA_ID/Poul_Anderson,"Person,Writer,Agent"
229,Procopius,"Person,Writer,Agent"
230,DBPEDIA_ID/Rainer_Maria_Rilke,"Person,Writer,Agent"
231,DBPEDIA_ID/Ray_Bradbury,"Person,Writer,Agent"
232,DBPEDIA_ID/Raymond_Chandler,"Person,Writer,Agent"
233,DBPEDIA_ID/Richard_Bach,"Person,Writer,Agent"
234,DBPEDIA_ID/Richard_Lovelace,"Person,Writer,Agent"
235,DBPEDIA_ID/Richard_Matheson,"Person,Writer,Agent"
236,DBPEDIA_ID/Robert_A._Heinlein,"Person,Writer,Agent"
237,DBPEDIA_ID/Robert_Bloch,"Person,Writer,Agent"
238,DBPEDIA_ID/Robert_Chambers_(publisher_born_1802),"Person,Writer,Agent"
239,DBPEDIA_ID/Robert_E._Howard,"Person,Writer,Agent"
240,DBPEDIA_ID/Robert_Frost,"Person,Writer,Agent"
241,DBPEDIA_ID/Robert_Jordan,"Person,Writer,Agent"
242,DBPEDIA_ID/Robert_Louis_Stevenson,"Person,Writer,Agent"
243,DBPEDIA_ID/Robert_M._Pirsig,"Person,Writer,Agent"
244,DBPEDIA_ID/Robert_Musil,"Person,Writer,Agent"
245,DBPEDIA_ID/Robert_Penn_Warren,"Person,Writer,Agent"
246,DBPEDIA_ID/Robertson_Davies,"Person,Writer,Agent"
247,DBPEDIA_ID/Roger_Angell,"Person,Writer,Agent"
248,DBPEDIA_ID/Rudyard_Kipling,"Person,Writer,Agent"
249,Saki,"Person,Writer,Agent"
250,DBPEDIA_ID/Salman_Rushdie,"Person,Writer,Agent"
251,DBPEDIA_ID/Samuel_Beckett,"Person,Writer,Agent"
252,DBPEDIA_ID/Saul_Bellow,"Person,Writer,Agent"
253,DBPEDIA_ID/Sheridan_Le_Fanu,"Person,Writer,Agent"
254,DBPEDIA_ID/Stanisław_Lem,"Person,Writer,Agent"
255,Stendhal,"Person,Writer,Agent"
256,DBPEDIA_ID/Stephen_King,"Person,Writer,Agent"
257,DBPEDIA_ID/Stéphane_Mallarmé,"Person,Writer,Agent"
258,DBPEDIA_ID/Sylvia_Plath,"Person,Writer,Agent"
259,DBPEDIA_ID/Walter_Scott,"Person,Writer,Agent"
260,DBPEDIA_ID/Édouard_de_Pomiane,"Person,Writer,Agent"
261,DBPEDIA_ID/Alex_Haley,"Person,Writer,Agent"
