,entity,classes
0,DBPEDIA_ID/A.D._Police:_Dead_End_City,"Comic,Work,Manga,WrittenWork"
1,DBPEDIA_ID/A_Doll's_House,"Play,Work,WrittenWork"
2,DBPEDIA_ID/A_Modest_Proposal,"Book,WrittenWork,Work"
3,DBPEDIA_ID/A_Wizard_of_Earthsea,"Book,WrittenWork,Work"
4,DBPEDIA_ID/Adventures_of_Huckleberry_Finn,"Book,WrittenWork,Work"
5,DBPEDIA_ID/Ain't_I_a_Woman%3F_(book),"Book,WrittenWork,Work"
6,DBPEDIA_ID/Algorithms_(journal),"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
7,DBPEDIA_ID/Animal_Farm,"Book,WrittenWork,Work"
8,DBPEDIA_ID/Animalia_(book),"Book,WrittenWork,Work"
9,DBPEDIA_ID/Annals_of_Mathematics,"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
10,DBPEDIA_ID/Boston_Herald,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
11,DBPEDIA_ID/Cahiers_du_cinéma,"PeriodicalLiterature,Magazine,Work,WrittenWork"
12,Candide,"Book,WrittenWork,Work"
13,Carmilla,"Book,WrittenWork,Work"
14,DBPEDIA_ID/Cell_Cycle_(journal),"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
15,DBPEDIA_ID/Constellations_(journal),"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
16,Cosmicomics,"Book,WrittenWork,Work"
17,DBPEDIA_ID/Cowboy_Bebop,"Comic,Work,Manga,WrittenWork"
18,DBPEDIA_ID/Crash_(J._G._Ballard_novel),"Book,WrittenWork,Work"
19,DBPEDIA_ID/Darwin's_Dangerous_Idea,"Book,WrittenWork,Work"
20,DirkJan,"ComicStrip,Comic,Work,WrittenWork"
21,DBPEDIA_ID/Do_Androids_Dream_of_Electric_Sheep%3F,"Book,WrittenWork,Work"
22,DBPEDIA_ID/Don_Quixote,"Book,WrittenWork,Work"
23,Doraemon,"Comic,Work,Manga,WrittenWork"
24,Dracula,"Book,WrittenWork,Work"
25,DBPEDIA_ID/Dune_Messiah,"Book,WrittenWork,Work"
26,DBPEDIA_ID/Enchiridion_of_Epictetus,"Book,WrittenWork,Work"
27,DBPEDIA_ID/Encyclopædia_Britannica,"Book,WrittenWork,Work"
28,Erewhon,"Book,WrittenWork,Work"
29,DBPEDIA_ID/Farmer_Giles_of_Ham,"Book,WrittenWork,Work"
30,DBPEDIA_ID/Fossil_Record,"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
31,DBPEDIA_ID/Gaudy_Night,"Book,WrittenWork,Work"
32,DBPEDIA_ID/Heart_of_Darkness,"Book,WrittenWork,Work"
33,DBPEDIA_ID/Hymn_to_Proserpine,"Poem,Work,WrittenWork"
34,"DBPEDIA_ID/I,_Robot","Book,WrittenWork,Work"
35,Icehenge,"Book,WrittenWork,Work"
36,Invictus,"Work,WrittenWork"
37,Ivanhoe,"Book,WrittenWork,Work"
38,DBPEDIA_ID/Johnny_Got_His_Gun,"Book,WrittenWork,Work"
39,Kalevala,"Book,WrittenWork,Work"
40,DBPEDIA_ID/Larousse_Gastronomique,"Book,WrittenWork,Work"
41,DBPEDIA_ID/Mad_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
42,DBPEDIA_ID/Manufacturing_Consent,"Book,WrittenWork,Work"
43,DBPEDIA_ID/Mein_Kampf,"Book,WrittenWork,Work"
44,DBPEDIA_ID/Mere_Christianity,"Book,WrittenWork,Work"
45,Moby-Dick,"Book,WrittenWork,Work"
46,Moonfleet,"Book,WrittenWork,Work"
47,DBPEDIA_ID/National_Lampoon_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
48,DBPEDIA_ID/New_Oxford_American_Dictionary,"Book,WrittenWork,Work"
49,DBPEDIA_ID/On_Fairy-Stories,"Work,WrittenWork"
50,DBPEDIA_ID/Oxford_English_Dictionary,"Book,WrittenWork,Work"
51,DBPEDIA_ID/Philosophical_Investigations,"Book,WrittenWork,Work"
52,Playboy,"PeriodicalLiterature,Magazine,Work,WrittenWork"
53,DBPEDIA_ID/Preacher_(comics),"Comic,Work,WrittenWork"
54,DBPEDIA_ID/Pride_and_Prejudice,"Book,WrittenWork,Work"
55,DBPEDIA_ID/Punch_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
56,DBPEDIA_ID/Ranma_½,"Comic,Work,Manga,WrittenWork"
57,DBPEDIA_ID/Rendezvous_with_Rama,"Book,WrittenWork,Work"
58,Ringworld,"Book,WrittenWork,Work"
59,DBPEDIA_ID/Rolling_Stone,"PeriodicalLiterature,Magazine,Work,WrittenWork"
60,DBPEDIA_ID/Rosencrantz_and_Guildenstern_Are_Dead,"Play,Work,WrittenWork"
61,DBPEDIA_ID/Rubaiyat_of_Omar_Khayyam,"Book,WrittenWork,Work"
62,DBPEDIA_ID/Sailor_Moon,"Comic,Work,Manga,WrittenWork"
63,DBPEDIA_ID/Sense_and_Sensibility,"Book,WrittenWork,Work"
64,DBPEDIA_ID/Svenska_Dagbladet,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
65,DBPEDIA_ID/Tao_Te_Ching,"Book,WrittenWork,Work"
66,DBPEDIA_ID/The_Amazing_Spider-Man,"Comic,Work,WrittenWork"
67,DBPEDIA_ID/The_Beano,"Comic,Work,WrittenWork"
