,entity,classes
0,2,"TimePeriod,Year"
1,420,"TimePeriod,Year"
2,1776,"TimePeriod,Year"
3,1909,"TimePeriod,Year"
4,1345,"TimePeriod,Year"
5,2067,"TimePeriod,Year"
6,2046,"TimePeriod,Year"
7,2047,"TimePeriod,Year"
8,2060,"TimePeriod,Year"
9,2050,"TimePeriod,Year"
10,2052,"TimePeriod,Year"
11,2053,"TimePeriod,Year"
12,2054,"TimePeriod,Year"
13,2055,"TimePeriod,Year"
14,2056,"TimePeriod,Year"
15,2057,"TimePeriod,Year"
16,2058,"TimePeriod,Year"
17,2059,"TimePeriod,Year"
18,2012,"TimePeriod,Year"
19,2013,"TimePeriod,Year"
20,2014,"TimePeriod,Year"
21,2015,"TimePeriod,Year"
22,2016,"TimePeriod,Year"
23,2017,"TimePeriod,Year"
24,2018,"TimePeriod,Year"
25,2019,"TimePeriod,Year"
26,2020,"TimePeriod,Year"
27,2021,"TimePeriod,Year"
28,2022,"TimePeriod,Year"
29,2023,"TimePeriod,Year"
30,2024,"TimePeriod,Year"
31,2025,"TimePeriod,Year"
32,2026,"TimePeriod,Year"
33,2027,"TimePeriod,Year"
34,2028,"TimePeriod,Year"
35,2029,"TimePeriod,Year"
36,2030,"TimePeriod,Year"
37,2039,"TimePeriod,Year"
38,2040,"TimePeriod,Year"
39,212,"TimePeriod,Year"
40,214,"TimePeriod,Year"
41,215,"TimePeriod,Year"
42,216,"TimePeriod,Year"
43,218,"TimePeriod,Year"
44,219,"TimePeriod,Year"
45,220,"TimePeriod,Year"
46,221,"TimePeriod,Year"
47,223,"TimePeriod,Year"
48,224,"TimePeriod,Year"
49,225,"TimePeriod,Year"
50,226,"TimePeriod,Year"
51,227,"TimePeriod,Year"
52,228,"TimePeriod,Year"
53,229,"TimePeriod,Year"
54,306,"TimePeriod,Year"
55,307,"TimePeriod,Year"
56,308,"TimePeriod,Year"
57,309,"TimePeriod,Year"
58,310,"TimePeriod,Year"
59,311,"TimePeriod,Year"
60,314,"TimePeriod,Year"
61,315,"TimePeriod,Year"
62,316,"TimePeriod,Year"
63,317,"TimePeriod,Year"
64,318,"TimePeriod,Year"
65,319,"TimePeriod,Year"
66,320,"TimePeriod,Year"
67,326,"TimePeriod,Year"
68,327,"TimePeriod,Year"
69,328,"TimePeriod,Year"
70,332,"TimePeriod,Year"
71,333,"TimePeriod,Year"
72,334,"TimePeriod,Year"
73,335,"TimePeriod,Year"
74,336,"TimePeriod,Year"
75,337,"TimePeriod,Year"
76,338,"TimePeriod,Year"
77,339,"TimePeriod,Year"
78,340,"TimePeriod,Year"
79,341,"TimePeriod,Year"
80,342,"TimePeriod,Year"
81,344,"TimePeriod,Year"
82,345,"TimePeriod,Year"
83,346,"TimePeriod,Year"
84,347,"TimePeriod,Year"
85,348,"TimePeriod,Year"
86,349,"TimePeriod,Year"
87,350,"TimePeriod,Year"
88,351,"TimePeriod,Year"
89,353,"TimePeriod,Year"
90,354,"TimePeriod,Year"
91,357,"TimePeriod,Year"
92,358,"TimePeriod,Year"
93,359,"TimePeriod,Year"
94,360,"TimePeriod,Year"
95,361,"TimePeriod,Year"
96,362,"TimePeriod,Year"
97,363,"TimePeriod,Year"
98,364,"TimePeriod,Year"
99,365,"TimePeriod,Year"
100,367,"TimePeriod,Year"
101,368,"TimePeriod,Year"
102,369,"TimePeriod,Year"
103,433,"TimePeriod,Year"
104,435,"TimePeriod,Year"
105,438,"TimePeriod,Year"
106,441,"TimePeriod,Year"
107,442,"TimePeriod,Year"
108,444,"TimePeriod,Year"
109,445,"TimePeriod,Year"
110,446,"TimePeriod,Year"
111,447,"TimePeriod,Year"
112,448,"TimePeriod,Year"
113,449,"TimePeriod,Year"
114,460,"TimePeriod,Year"
115,469,"TimePeriod,Year"
116,575,"TimePeriod,Year"
117,576,"TimePeriod,Year"
118,578,"TimePeriod,Year"
119,580,"TimePeriod,Year"
120,591,"TimePeriod,Year"
121,595,"TimePeriod,Year"
122,596,"TimePeriod,Year"
123,598,"TimePeriod,Year"
124,599,"TimePeriod,Year"
125,880,"TimePeriod,Year"
126,882,"TimePeriod,Year"
127,883,"TimePeriod,Year"
128,889,"TimePeriod,Year"
129,890,"TimePeriod,Year"
130,892,"TimePeriod,Year"
131,893,"TimePeriod,Year"
132,894,"TimePeriod,Year"
133,895,"TimePeriod,Year"
134,896,"TimePeriod,Year"
135,898,"TimePeriod,Year"
136,901,"TimePeriod,Year"
137,902,"TimePeriod,Year"
138,903,"TimePeriod,Year"
139,904,"TimePeriod,Year"
140,905,"TimePeriod,Year"
141,906,"TimePeriod,Year"
142,907,"TimePeriod,Year"
143,908,"TimePeriod,Year"
144,910,"TimePeriod,Year"
145,911,"TimePeriod,Year"
146,912,"TimePeriod,Year"
147,914,"TimePeriod,Year"
148,915,"TimePeriod,Year"
149,916,"TimePeriod,Year"
150,917,"TimePeriod,Year"
151,918,"TimePeriod,Year"
152,919,"TimePeriod,Year"
153,920,"TimePeriod,Year"
154,924,"TimePeriod,Year"
155,925,"TimePeriod,Year"
156,927,"TimePeriod,Year"
157,928,"TimePeriod,Year"
158,929,"TimePeriod,Year"
159,932,"TimePeriod,Year"
160,933,"TimePeriod,Year"
161,934,"TimePeriod,Year"
162,936,"TimePeriod,Year"
163,937,"TimePeriod,Year"
164,938,"TimePeriod,Year"
165,940,"TimePeriod,Year"
166,941,"TimePeriod,Year"
167,942,"TimePeriod,Year"
168,944,"TimePeriod,Year"
169,945,"TimePeriod,Year"
170,947,"TimePeriod,Year"
171,951,"TimePeriod,Year"
172,953,"TimePeriod,Year"
173,956,"TimePeriod,Year"
174,957,"TimePeriod,Year"
175,958,"TimePeriod,Year"
176,960,"TimePeriod,Year"
177,964,"TimePeriod,Year"
178,965,"TimePeriod,Year"
179,970,"TimePeriod,Year"
180,971,"TimePeriod,Year"
181,973,"TimePeriod,Year"
182,974,"TimePeriod,Year"
183,975,"TimePeriod,Year"
184,977,"TimePeriod,Year"
185,978,"TimePeriod,Year"
186,981,"TimePeriod,Year"
187,982,"TimePeriod,Year"
188,985,"TimePeriod,Year"
189,987,"TimePeriod,Year"
190,988,"TimePeriod,Year"
191,989,"TimePeriod,Year"
192,1,"TimePeriod,Year"
193,10,"TimePeriod,Year"
194,100,"TimePeriod,Year"
195,1000,"TimePeriod,Year"
196,1001,"TimePeriod,Year"
197,1002,"TimePeriod,Year"
198,1003,"TimePeriod,Year"
199,1004,"TimePeriod,Year"
200,1005,"TimePeriod,Year"
201,1006,"TimePeriod,Year"
202,1007,"TimePeriod,Year"
203,1008,"TimePeriod,Year"
204,1009,"TimePeriod,Year"
205,101,"TimePeriod,Year"
206,1010,"TimePeriod,Year"
207,1011,"TimePeriod,Year"
208,1012,"TimePeriod,Year"
209,1013,"TimePeriod,Year"
210,1014,"TimePeriod,Year"
211,1015,"TimePeriod,Year"
212,1016,"TimePeriod,Year"
213,1017,"TimePeriod,Year"
214,1018,"TimePeriod,Year"
215,1019,"TimePeriod,Year"
216,102,"TimePeriod,Year"
217,1020,"TimePeriod,Year"
218,1021,"TimePeriod,Year"
219,1022,"TimePeriod,Year"
220,1023,"TimePeriod,Year"
221,1024,"TimePeriod,Year"
222,1025,"TimePeriod,Year"
223,1026,"TimePeriod,Year"
224,1027,"TimePeriod,Year"
225,1028,"TimePeriod,Year"
226,1029,"TimePeriod,Year"
227,103,"TimePeriod,Year"
228,1030,"TimePeriod,Year"
229,1031,"TimePeriod,Year"
230,1032,"TimePeriod,Year"
231,1033,"TimePeriod,Year"
232,1034,"TimePeriod,Year"
233,1035,"TimePeriod,Year"
234,1036,"TimePeriod,Year"
235,1037,"TimePeriod,Year"
236,1038,"TimePeriod,Year"
237,1039,"TimePeriod,Year"
238,104,"TimePeriod,Year"
239,1040,"TimePeriod,Year"
240,1041,"TimePeriod,Year"
241,1042,"TimePeriod,Year"
242,1043,"TimePeriod,Year"
243,1044,"TimePeriod,Year"
244,1045,"TimePeriod,Year"
245,1046,"TimePeriod,Year"
246,1047,"TimePeriod,Year"
247,1048,"TimePeriod,Year"
248,1049,"TimePeriod,Year"
249,105,"TimePeriod,Year"
250,1050,"TimePeriod,Year"
251,1051,"TimePeriod,Year"
252,1052,"TimePeriod,Year"
253,1053,"TimePeriod,Year"
254,1054,"TimePeriod,Year"
255,1055,"TimePeriod,Year"
256,1056,"TimePeriod,Year"
257,1057,"TimePeriod,Year"
258,1058,"TimePeriod,Year"
259,1059,"TimePeriod,Year"
260,106,"TimePeriod,Year"
261,1060,"TimePeriod,Year"
262,1061,"TimePeriod,Year"
263,1062,"TimePeriod,Year"
264,1063,"TimePeriod,Year"
265,1064,"TimePeriod,Year"
266,1065,"TimePeriod,Year"
267,1067,"TimePeriod,Year"
268,1068,"TimePeriod,Year"
269,1069,"TimePeriod,Year"
270,107,"TimePeriod,Year"
271,1070,"TimePeriod,Year"
272,1071,"TimePeriod,Year"
273,1072,"TimePeriod,Year"
274,1073,"TimePeriod,Year"
275,1074,"TimePeriod,Year"
276,1075,"TimePeriod,Year"
277,1076,"TimePeriod,Year"
278,1077,"TimePeriod,Year"
279,1078,"TimePeriod,Year"
280,1079,"TimePeriod,Year"
281,108,"TimePeriod,Year"
282,1081,"TimePeriod,Year"
283,1082,"TimePeriod,Year"
284,1083,"TimePeriod,Year"
285,1084,"TimePeriod,Year"
286,1085,"TimePeriod,Year"
287,1086,"TimePeriod,Year"
288,1087,"TimePeriod,Year"
289,1088,"TimePeriod,Year"
290,1089,"TimePeriod,Year"
291,109,"TimePeriod,Year"
292,1090,"TimePeriod,Year"
293,1091,"TimePeriod,Year"
294,1092,"TimePeriod,Year"
295,1094,"TimePeriod,Year"
296,1095,"TimePeriod,Year"
297,1096,"TimePeriod,Year"
298,1097,"TimePeriod,Year"
299,1098,"TimePeriod,Year"
300,1099,"TimePeriod,Year"
301,11,"TimePeriod,Year"
302,110,"TimePeriod,Year"
303,1100,"TimePeriod,Year"
304,1101,"TimePeriod,Year"
305,1102,"TimePeriod,Year"
306,1103,"TimePeriod,Year"
307,1104,"TimePeriod,Year"
308,1105,"TimePeriod,Year"
309,1106,"TimePeriod,Year"
310,1107,"TimePeriod,Year"
311,1108,"TimePeriod,Year"
312,1109,"TimePeriod,Year"
313,111,"TimePeriod,Year"
314,1110,"TimePeriod,Year"
315,1111,"TimePeriod,Year"
316,1112,"TimePeriod,Year"
317,1113,"TimePeriod,Year"
318,1114,"TimePeriod,Year"
319,1115,"TimePeriod,Year"
320,1116,"TimePeriod,Year"
321,1117,"TimePeriod,Year"
322,1118,"TimePeriod,Year"
323,1119,"TimePeriod,Year"
324,112,"TimePeriod,Year"
325,1120,"TimePeriod,Year"
326,1121,"TimePeriod,Year"
327,1122,"TimePeriod,Year"
328,1123,"TimePeriod,Year"
329,1124,"TimePeriod,Year"
330,1125,"TimePeriod,Year"
331,1126,"TimePeriod,Year"
332,1127,"TimePeriod,Year"
333,1128,"TimePeriod,Year"
334,1129,"TimePeriod,Year"
335,113,"TimePeriod,Year"
336,1130,"TimePeriod,Year"
337,1131,"TimePeriod,Year"
338,1132,"TimePeriod,Year"
339,1133,"TimePeriod,Year"
340,1134,"TimePeriod,Year"
341,1135,"TimePeriod,Year"
342,1136,"TimePeriod,Year"
343,1137,"TimePeriod,Year"
344,1138,"TimePeriod,Year"
345,1139,"TimePeriod,Year"
346,114,"TimePeriod,Year"
347,1140,"TimePeriod,Year"
348,1141,"TimePeriod,Year"
349,1142,"TimePeriod,Year"
350,1143,"TimePeriod,Year"
351,1144,"TimePeriod,Year"
352,1145,"TimePeriod,Year"
353,1146,"TimePeriod,Year"
354,1147,"TimePeriod,Year"
355,1148,"TimePeriod,Year"
356,1149,"TimePeriod,Year"
357,115,"TimePeriod,Year"
358,1150,"TimePeriod,Year"
359,1151,"TimePeriod,Year"
360,1152,"TimePeriod,Year"
361,1153,"TimePeriod,Year"
362,1154,"TimePeriod,Year"
363,1155,"TimePeriod,Year"
364,1156,"TimePeriod,Year"
365,1157,"TimePeriod,Year"
366,1158,"TimePeriod,Year"
367,1159,"TimePeriod,Year"
368,116,"TimePeriod,Year"
369,1160,"TimePeriod,Year"
370,1161,"TimePeriod,Year"
371,1162,"TimePeriod,Year"
372,1163,"TimePeriod,Year"
373,1164,"TimePeriod,Year"
374,1165,"TimePeriod,Year"
375,1166,"TimePeriod,Year"
376,1167,"TimePeriod,Year"
377,1168,"TimePeriod,Year"
378,1169,"TimePeriod,Year"
379,117,"TimePeriod,Year"
380,1170,"TimePeriod,Year"
381,1171,"TimePeriod,Year"
382,1172,"TimePeriod,Year"
383,1173,"TimePeriod,Year"
384,1174,"TimePeriod,Year"
385,1175,"TimePeriod,Year"
386,1176,"TimePeriod,Year"
387,1177,"TimePeriod,Year"
388,1178,"TimePeriod,Year"
389,1179,"TimePeriod,Year"
390,118,"TimePeriod,Year"
391,1180,"TimePeriod,Year"
392,1181,"TimePeriod,Year"
393,1182,"TimePeriod,Year"
394,1183,"TimePeriod,Year"
395,1184,"TimePeriod,Year"
396,1185,"TimePeriod,Year"
397,1186,"TimePeriod,Year"
398,1187,"TimePeriod,Year"
399,1188,"TimePeriod,Year"
400,1189,"TimePeriod,Year"
401,119,"TimePeriod,Year"
402,1190,"TimePeriod,Year"
403,1191,"TimePeriod,Year"
404,1192,"TimePeriod,Year"
405,1193,"TimePeriod,Year"
406,1194,"TimePeriod,Year"
407,1195,"TimePeriod,Year"
408,1196,"TimePeriod,Year"
409,1197,"TimePeriod,Year"
410,1198,"TimePeriod,Year"
411,1199,"TimePeriod,Year"
412,12,"TimePeriod,Year"
413,120,"TimePeriod,Year"
414,1200,"TimePeriod,Year"
415,1201,"TimePeriod,Year"
416,1202,"TimePeriod,Year"
417,1203,"TimePeriod,Year"
418,1204,"TimePeriod,Year"
419,1205,"TimePeriod,Year"
420,1206,"TimePeriod,Year"
421,1207,"TimePeriod,Year"
422,1208,"TimePeriod,Year"
423,1209,"TimePeriod,Year"
424,121,"TimePeriod,Year"
425,1210,"TimePeriod,Year"
426,1211,"TimePeriod,Year"
427,1212,"TimePeriod,Year"
428,1213,"TimePeriod,Year"
429,1214,"TimePeriod,Year"
430,1215,"TimePeriod,Year"
431,1216,"TimePeriod,Year"
432,1217,"TimePeriod,Year"
433,1218,"TimePeriod,Year"
434,1219,"TimePeriod,Year"
435,1220,"TimePeriod,Year"
436,1221,"TimePeriod,Year"
437,1222,"TimePeriod,Year"
438,1223,"TimePeriod,Year"
439,1224,"TimePeriod,Year"
440,1225,"TimePeriod,Year"
441,1226,"TimePeriod,Year"
442,1227,"TimePeriod,Year"
443,1228,"TimePeriod,Year"
444,1229,"TimePeriod,Year"
445,123,"TimePeriod,Year"
446,1230,"TimePeriod,Year"
447,1231,"TimePeriod,Year"
448,1232,"TimePeriod,Year"
449,1233,"TimePeriod,Year"
450,1234,"TimePeriod,Year"
451,1235,"TimePeriod,Year"
452,1236,"TimePeriod,Year"
453,1237,"TimePeriod,Year"
454,1238,"TimePeriod,Year"
455,1239,"TimePeriod,Year"
456,124,"TimePeriod,Year"
457,1240,"TimePeriod,Year"
458,1241,"TimePeriod,Year"
459,1242,"TimePeriod,Year"
460,1243,"TimePeriod,Year"
461,1244,"TimePeriod,Year"
462,1245,"TimePeriod,Year"
463,1246,"TimePeriod,Year"
464,1247,"TimePeriod,Year"
465,1248,"TimePeriod,Year"
466,1249,"TimePeriod,Year"
467,125,"TimePeriod,Year"
468,1250,"TimePeriod,Year"
469,1251,"TimePeriod,Year"
470,1252,"TimePeriod,Year"
471,1253,"TimePeriod,Year"
472,1254,"TimePeriod,Year"
473,1255,"TimePeriod,Year"
474,1256,"TimePeriod,Year"
475,1257,"TimePeriod,Year"
476,1258,"TimePeriod,Year"
477,1259,"TimePeriod,Year"
478,126,"TimePeriod,Year"
479,1260,"TimePeriod,Year"
480,1261,"TimePeriod,Year"
