,entity,classes
0,DBPEDIA_ID/2001_in_spaceflight,"TimePeriod,YearInSpaceflight"
1,DBPEDIA_ID/2002_in_spaceflight,"TimePeriod,YearInSpaceflight"
2,DBPEDIA_ID/2013_in_spaceflight,"TimePeriod,YearInSpaceflight"
3,DBPEDIA_ID/1993_in_spaceflight,"TimePeriod,YearInSpaceflight"
4,DBPEDIA_ID/1957_in_spaceflight,"TimePeriod,YearInSpaceflight"
5,DBPEDIA_ID/1958_in_spaceflight,"TimePeriod,YearInSpaceflight"
6,DBPEDIA_ID/1959_in_spaceflight,"TimePeriod,YearInSpaceflight"
7,DBPEDIA_ID/1992_in_spaceflight,"TimePeriod,YearInSpaceflight"
8,DBPEDIA_ID/1991_in_spaceflight,"TimePeriod,YearInSpaceflight"
9,DBPEDIA_ID/1997_in_spaceflight,"TimePeriod,YearInSpaceflight"
10,DBPEDIA_ID/1998_in_spaceflight,"TimePeriod,YearInSpaceflight"
11,DBPEDIA_ID/Spaceflight_before_1951,"TimePeriod,YearInSpaceflight"
12,DBPEDIA_ID/1982_in_spaceflight,"TimePeriod,YearInSpaceflight"
13,DBPEDIA_ID/1983_in_spaceflight,"TimePeriod,YearInSpaceflight"
14,DBPEDIA_ID/1984_in_spaceflight,"TimePeriod,YearInSpaceflight"
15,DBPEDIA_ID/1985_in_spaceflight,"TimePeriod,YearInSpaceflight"
16,DBPEDIA_ID/2003_in_spaceflight,"TimePeriod,YearInSpaceflight"
17,DBPEDIA_ID/2000_in_spaceflight,"TimePeriod,YearInSpaceflight"
18,DBPEDIA_ID/1999_in_spaceflight,"TimePeriod,YearInSpaceflight"
19,DBPEDIA_ID/2008_in_spaceflight,"TimePeriod,YearInSpaceflight"
20,DBPEDIA_ID/2009_in_spaceflight,"TimePeriod,YearInSpaceflight"
21,DBPEDIA_ID/1954_in_spaceflight,"TimePeriod,YearInSpaceflight"
22,DBPEDIA_ID/1955_in_spaceflight,"TimePeriod,YearInSpaceflight"
23,DBPEDIA_ID/1994_in_spaceflight,"TimePeriod,YearInSpaceflight"
24,DBPEDIA_ID/1995_in_spaceflight,"TimePeriod,YearInSpaceflight"
25,DBPEDIA_ID/1996_in_spaceflight,"TimePeriod,YearInSpaceflight"
26,DBPEDIA_ID/1989_in_spaceflight,"TimePeriod,YearInSpaceflight"
27,DBPEDIA_ID/1990_in_spaceflight,"TimePeriod,YearInSpaceflight"
28,DBPEDIA_ID/2011_in_spaceflight,"TimePeriod,YearInSpaceflight"
29,DBPEDIA_ID/1970_in_spaceflight,"TimePeriod,YearInSpaceflight"
30,DBPEDIA_ID/1976_in_spaceflight,"TimePeriod,YearInSpaceflight"
31,DBPEDIA_ID/1979_in_spaceflight,"TimePeriod,YearInSpaceflight"
32,DBPEDIA_ID/1980_in_spaceflight,"TimePeriod,YearInSpaceflight"
33,DBPEDIA_ID/1987_in_spaceflight,"TimePeriod,YearInSpaceflight"
34,DBPEDIA_ID/1988_in_spaceflight,"TimePeriod,YearInSpaceflight"
35,DBPEDIA_ID/1975_in_spaceflight,"TimePeriod,YearInSpaceflight"
36,DBPEDIA_ID/1977_in_spaceflight,"TimePeriod,YearInSpaceflight"
37,DBPEDIA_ID/1978_in_spaceflight,"TimePeriod,YearInSpaceflight"
38,DBPEDIA_ID/1960_in_spaceflight,"TimePeriod,YearInSpaceflight"
39,DBPEDIA_ID/1961_in_spaceflight,"TimePeriod,YearInSpaceflight"
40,DBPEDIA_ID/1962_in_spaceflight,"TimePeriod,YearInSpaceflight"
41,DBPEDIA_ID/1963_in_spaceflight,"TimePeriod,YearInSpaceflight"
42,DBPEDIA_ID/1964_in_spaceflight,"TimePeriod,YearInSpaceflight"
43,DBPEDIA_ID/1965_in_spaceflight,"TimePeriod,YearInSpaceflight"
44,DBPEDIA_ID/1966_in_spaceflight,"TimePeriod,YearInSpaceflight"
45,DBPEDIA_ID/1968_in_spaceflight,"TimePeriod,YearInSpaceflight"
46,DBPEDIA_ID/2007_in_spaceflight,"TimePeriod,YearInSpaceflight"
47,DBPEDIA_ID/1986_in_spaceflight,"TimePeriod,YearInSpaceflight"
48,DBPEDIA_ID/2010_in_spaceflight,"TimePeriod,YearInSpaceflight"
49,DBPEDIA_ID/1971_in_spaceflight,"TimePeriod,YearInSpaceflight"
50,DBPEDIA_ID/2004_in_spaceflight,"TimePeriod,YearInSpaceflight"
51,DBPEDIA_ID/1981_in_spaceflight,"TimePeriod,YearInSpaceflight"
52,DBPEDIA_ID/2006_in_spaceflight,"TimePeriod,YearInSpaceflight"
53,DBPEDIA_ID/2005_in_spaceflight,"TimePeriod,YearInSpaceflight"
54,DBPEDIA_ID/2014_in_spaceflight,"TimePeriod,YearInSpaceflight"
55,DBPEDIA_ID/2015_in_spaceflight,"TimePeriod,YearInSpaceflight"
56,DBPEDIA_ID/2016_in_spaceflight,"TimePeriod,YearInSpaceflight"
57,DBPEDIA_ID/2012_in_spaceflight,"TimePeriod,YearInSpaceflight"
58,DBPEDIA_ID/1973_in_spaceflight,"TimePeriod,YearInSpaceflight"
59,DBPEDIA_ID/2017_in_spaceflight,"TimePeriod,YearInSpaceflight"
